Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Alu sheet with primer paint spryed on sound insulation;;;;EX3-1;External body shell, underframe;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 15:53:15
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;43;85.36;21.84;;;130.56;13.1;14.28;;2.4;;50.8;0.00884;;2011-08-17;BRD6011c3;8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;-1.7416283293064;-0.0157056357007338;130.56
2;-1.74806363922049;-0.027754508653246;130.487909
4;-0.741485918186351;-0.0203210393539283;130.468889
6;-1.17589292272577;-0.0165306520571693;130.539898
8;-0.70442083199357;-0.000803516247565122;130.541373
10;-0.103185087356089;-0.00645473928313603;130.562401
12;-0.68620447184438;-0.00522110635236929;130.561244
14;-0.234040441861839;-0.0205404973606254;130.56323
16;-0.246274651008481;-0.017296015131514;130.560651
18;-0.519053636677884;0.0108075315145787;130.658506
20;0.0542929648005021;0.0195972301433261;130.674282
22;-1.02609127709298;0.0502554213670173;130.672104
24;-0.842098618590616;0.0704276172411996;130.560868
26;0.215402927824371;0.144615869307967;130.581732
28;0.906180847014649;0.145657960709559;130.671233
30;0.930741574880082;0.312470944887631;130.670994
32;2.87091227865913;0.274990406990717;130.581779
34;3.45794151853599;0.127533592799977;130.456864
36;4.96705435821564;0.429729744816206;130.488428
38;8.62341113525132;0.181754767092926;130.472083
40;12.001731791751;0.483214082804197;130.383185
42;15.6429255429152;0.343529420275329;130.360288
44;22.4475083973693;0.0825870134438957;130.362332
46;30.3649656221686;0.0313005765147233;130.290557
48;35.3678759209577;-0.00569798160708676;130.182697
50;42.6695193380218;-0.0108298505820137;129.975796
52;50.6800293153384;-0.0529723744158529;129.982102
54;56.732877069692;-0.025246652254075;129.961357
56;63.7061486215384;-0.0278833049983039;129.890606
58;68.5324483975532;-0.0344087143713117;129.871203
60;72.8857440449905;-0.0386224826710243;129.763134
62;77.1646356083769;-0.012286560999045;129.675655
64;78.657866392988;-0.0205002455668528;129.56635
66;81.5920702241354;-0.0188428864629672;129.486286
68;82.8787260393775;-0.00687174881893231;129.290163
70;83.08571271125;0.00480613249745068;129.269153
72;85.1698174124491;-0.01457705832607;129.091338
74;85.3590889315869;-0.0118144088324567;128.891085
76;84.2161327352156;-0.0087770888738303;128.845201
78;81.9040839739666;-0.0149043375183476;128.776689
80;81.5132458608343;-0.00843404459789002;128.830253
82;80.0801039943225;0.00585922563695565;128.777448
84;80.3826922502562;-0.00759998073646461;128.671551
86;79.7600713522057;-0.00734139020970945;128.565333
88;78.979716675263;-0.00116894264358614;128.378919
90;76.6872342724288;-0.00444784509922318;128.272965
92;75.4714738677441;-0.00473267971338433;128.251513
94;72.9068745399222;-0.00406480666029216;128.181616
96;73.4354351326701;-0.0197514653235911;128.181687
98;73.0418273610224;-0.0157239272291124;128.075067
100;71.8488194115537;-0.0221843301083563;128.053293
102;71.4974412120511;-0.0340666869025003;127.864023
104;71.591517591048;-0.0101699649761782;127.842613
106;69.252391857702;-0.000480634043693372;127.668636
108;67.2023365672182;-0.0151186691030849;127.576712
110;67.3865739960415;-0.0217829873634118;127.559373
112;65.8320906735019;-0.0109965674796004;127.468131
114;66.6245121859078;-0.00221623462972111;127.356304
116;66.0184083569492;-0.0168183682386683;127.356063
118;65.6961056148824;-0.0359577392778351;127.244913
120;64.8428930727649;-0.0140415795463464;127.1513
122;65.180590623751;-0.0390050383470259;127.04604
124;64.947435559232;-0.00827957806948589;127.049641
126;63.2536495691103;-0.024116556491779;126.977101
128;61.0710263754626;-0.0227636498281134;126.805979
130;60.9121421662991;-0.0159169460287464;126.853041
132;61.756015724652;-0.0299998618861307;126.783259
134;61.4547421045381;-0.0224287366721666;126.653648
136;58.8699485660935;-0.0127185243499264;126.623069
138;59.2833379426832;-0.0153075835932014;126.651459
140;59.5614258857124;-0.0287133268534068;126.471453
