Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Spruce;;;;Unvarnished mass timber (M12);;;ISO 5660;SBI Project;C000416_m12;;1;2003-08-12 12:44:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;27;196;53.84;86.13;103.55;30.1;11.83;NA;NA;40.94;0.0088;10;450
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0001
5; 0.0; 24; 0.0001
10; 0.0; 31; 0.0004
15; 0.0; 74; 0.0009
20; 0.0; 247; 0.0021
25; 0.0; 121; 0.0037
30; 47.5; 34; 0.0033
35; 120.7; 38; 0.0046
40; 137.1; 45; 0.0043
45; 122.6; 35; 0.0034
50; 111.3; 34; 0.0032
55; 103.7; 37; 0.0029
60; 101.0; 38; 0.0030
65; 98.9; 31; 0.0026
70; 96.1; 34; 0.0029
75; 94.3; 32; 0.0026
80; 92.4; 33; 0.0026
85; 90.4; 30; 0.0023
90; 88.2; 27; 0.0021
95; 86.3; 22; 0.0018
100; 84.9; 22; 0.0018
105; 83.5; 21; 0.0015
110; 81.3; 21; 0.0016
115; 80.1; 18; 0.0014
120; 78.8; 17; 0.0013
125; 77.5; 17; 0.0012
130; 76.8; 8; 0.0005
135; 76.1; 10; 0.0007
140; 75.1; 13; 0.0009
145; 75.1; 9; 0.0006
150; 74.7; 8; 0.0005
155; 74.2; 13; 0.0009
160; 73.5; 11; 0.0007
165; 73.1; 7; 0.0004
170; 73.8; 9; 0.0006
175; 74.8; 13; 0.0009
180; 74.8; 12; 0.0007
185; 74.9; 10; 0.0006
190; 76.1; 14; 0.0009
195; 76.4; 16; 0.0011
200; 77.4; 18; 0.0011
205; 80.0; 19; 0.0013
210; 81.7; 17; 0.0012
215; 83.8; 20; 0.0014
220; 87.1; 20; 0.0014
225; 89.4; 20; 0.0015
230; 93.0; 22; 0.0017
235; 96.1; 25; 0.0019
240; 100.0; 24; 0.0020
245; 104.0; 30; 0.0025
250; 107.8; 33; 0.0030
255; 113.4; 34; 0.0031
260; 118.0; 40; 0.0035
265; 123.3; 44; 0.0043
270; 128.4; 51; 0.0049
275; 133.9; 55; 0.0054
280; 138.1; 57; 0.0060
285; 143.1; 46; 0.0049
290; 148.3; 55; 0.0058
295; 152.6; 49; 0.0055
300; 155.9; 52; 0.0061
305; 162.1; 61; 0.0067
310; 161.0; 65; 0.0070
315; 165.8; 87; 0.0102
320; 176.8; 79; 0.0098
325; 192.1; 89; 0.0111
330; 196.1; 100; 0.0123
335; 185.1; 107; 0.0115
340; 170.3; 109; 0.0109
345; 163.6; 118; 0.0108
350; 150.9; 120; 0.0096
355; 129.9; 139; 0.0092
360; 107.2; 59; 0.0030
365; 90.0; 48; 0.0020
370; 77.8; 41; 0.0016
375; 68.9; 35; 0.0012
380; 63.0; 22; 0.0007
385; 57.1; 10; 0.0003
390; 51.6; 0; 0.0000
395; 47.5; 0; 0.0000
400; 44.0; 0; 0.0000
405; 42.3; 0; 0.0000
410; 41.1; 0; 0.0000
415; 39.4; 0; 0.0000
420; 38.6; 9; 0.0001
425; 38.1; 6; 0.0001
430; 37.0; 15; 0.0003
435; 36.2; 18; 0.0003
440; 35.1; 21; 0.0004
445; 33.8; 13; 0.0002
450; 33.1; 17; 0.0002
455; 32.3; 19; 0.0002
460; 32.3; 18; 0.0003
465; 31.7; 10; 0.0001
470; 31.1; 8; 0.0001
475; 30.5; 31; 0.0003
480; 30.8; 0; 0.0000
485; 29.8; 13; 0.0001
490; 29.7; 4; 0.0001
495; 29.2; 11; 0.0001
500; 28.1; 21; 0.0002
505; 28.1; 5; 0.0001
510; 27.8; 11; 0.0001
515; 27.1; 0; 0.0000
520; 27.1; 7; 0.0001
525; 26.2; 13; 0.0002
530; 26.3; 11; 0.0002
535; 26.0; 22; 0.0001
540; 25.6; 20; 0.0002
545; 25.7; 2; 0.0000
550; 25.3; 14; 0.0001
555; 24.8; 5; 0.0000
560; 24.5; 32; 0.0004
565; 24.4; 34; 0.0004
570; 24.1; 28; 0.0003
575; 24.1; 20; 0.0002
