Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR PUR;Plasterboard;;;(M27);;;ISO 5660;SBI Project;C000419_m27;;1;2003-08-12 12:50:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;87;87;18.62;12.50;7.50;31.5;4.53;NA;NA;87.17;0.0088;13;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.6; 0; 0.0000
5; 2.7; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0000
25; 0.0; 0; 0.0000
30; 0.0; 0; 0.0000
35; 0.0; 24; 0.0005
40; 0.0; 47; 0.0009
45; 0.0; 47; 0.0013
50; 0.0; 62; 0.0020
55; 0.0; 94; 0.0026
60; 0.0; 115; 0.0033
65; 0.0; 140; 0.0039
70; 0.0; 148; 0.0047
75; 0.0; 147; 0.0056
80; 0.0; 195; 0.0068
85; 0.0; 220; 0.0085
90; 34.0; 29; 0.0024
95; 81.5; 0; 0.0000
100; 87.4; 0; 0.0000
105; 65.1; 0; 0.0000
110; 38.6; 0; 0.0000
115; 22.8; 0; 0.0000
120; 18.4; 0; 0.0000
125; 18.2; 0; 0.0000
130; 17.5; 0; 0.0000
135; 16.1; 0; 0.0000
140; 14.5; 0; 0.0000
145; 12.2; 0; 0.0000
150; 10.3; 0; 0.0000
155; 8.9; 0; 0.0000
160; 7.1; 0; 0.0000
165; 5.0; 0; 0.0000
170; 4.0; 0; 0.0000
175; 2.6; 0; 0.0000
180; 1.7; 0; 0.0000
185; 1.0; 0; 0.0000
190; 0.0; 0; 0.0000
195; 0.0; 0; 0.0000
200; 0.0; 0; 0.0000
205; 0.0; 0; 0.0000
210; 0.0; 0; 0.0000
215; 0.0; 0; 0.0000
220; 0.0; 0; 0.0000
225; 0.0; 0; 0.0000
230; 0.0; 0; 0.0000
235; 0.0; 0; 0.0000
240; 0.0; 0; 0.0000
245; 0.0; 0; 0.0000
250; 0.0; 0; 0.0000
255; 0.0; 0; 0.0000
260; 0.0; 0; 0.0000
265; 0.0; 0; 0.0000
270; 0.0; 0; 0.0000
275; 0.0; 0; 0.0000
280; 0.0; 0; 0.0000
285; 0.0; 0; 0.0000
290; 0.0; 0; 0.0000
295; 0.0; 0; 0.0000
300; 0.0; 0; 0.0000
305; 0.0; 0; 0.0000
310; 0.0; 0; 0.0000
315; 0.0; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 0; 0.0000
335; 0.0; 0; 0.0000
340; 0.0; 0; 0.0000
345; 0.0; 0; 0.0000
350; 0.0; 0; 0.0000
355; 0.0; 0; 0.0000
360; 0.0; 0; 0.0000
365; 0.0; 0; 0.0000
370; 0.0; 0; 0.0000
375; 0.0; 0; 0.0000
380; 0.0; 0; 0.0000
385; 0.0; 0; 0.0000
390; 0.0; 0; 0.0000
395; 0.0; 0; 0.0000
400; 0.0; 0; 0.0000
405; 0.0; 0; 0.0000
410; 0.0; 0; 0.0000
415; 0.0; 0; 0.0000
420; 0.0; 0; 0.0000
425; 0.0; 0; 0.0000
430; 0.0; 0; 0.0000
435; 0.0; 0; 0.0000
440; 0.0; 0; 0.0000
445; 0.0; 0; 0.0000
450; 0.0; 0; 0.0000
455; 0.0; 0; 0.0000
460; 0.0; 0; 0.0000
465; 0.0; 0; 0.0000
470; 0.0; 0; 0.0000
475; 0.0; 0; 0.0000
480; 0.0; 0; 0.0000
485; 0.0; 0; 0.0000
490; 0.0; 0; 0.0000
495; 0.0; 0; 0.0000
500; 0.0; 0; 0.0000
505; 0.0; 0; 0.0000
510; 0.0; 0; 0.0000
515; 0.0; 0; 0.0000
520; 0.0; 0; 0.0000
525; 0.0; 0; 0.0000
530; 0.0; 0; 0.0000
535; 0.0; 0; 0.0000
540; 0.0; 0; 0.0000
545; 0.0; 0; 0.0000
550; 0.0; 0; 0.0000
555; 0.0; 0; 0.0000
560; 0.0; 0; 0.0000
565; 0.0; 0; 0.0000
570; 0.0; 0; 0.0000
575; 0.0; 0; 0.0000
580; 0.0; 0; 0.0000
585; 0.0; 0; 0.0000
590; 0.0; 0; 0.0000
595; 0.0; 0; 0.0000
600; 0.0; 0; 0.0000
605; 0.0; 0; 0.0000
610; 0.0; 0; 0.0000
615; 0.0; 0; 0.0000
620; 0.0; 0; 0.0000
625; 0.0; 0; 0.0000
630; 0.0; 0; 0.0000
635; 0.0; 0; 0.0000
640; 0.0; 0; 0.0000
645; 0.0; 0; 0.0000
650; 0.0; 0; 0.0000
655; 0.0; 0; 0.0000
660; 0.0; 0; 0.0000
665; 0.0; 0; 0.0000
670; 0.0; 0; 0.0000
675; 0.0; 0; 0.0000
680; 0.0; 0; 0.0000
685; 0.0; 0; 0.0000
690; 0.0; 0; 0.0000
695; 0.0; 0; 0.0000
700; 0.0; 0; 0.0000
705; 0.0; 0; 0.0000
710; 0.0; 0; 0.0000
715; 0.0; 0; 0.0000
720; 0.0; 0; 0.0000
725; 0.0; 0; 0.0000
