Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Glass wool;Paper face;;;(M30);;;ISO 5660;SBI Project;C000421_m30;;1;2003-08-12 12:53:07
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;3;162;2.96;12.43;7.50;0.3;51.08;NA;NA;188.06;0.0088;100;18
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0008
5; 60.8; 8; 0.0008
10; 161.5; 235; 0.0198
15; 140.6; 41; 0.0008
20; 63.7; 0; 0.0000
25; 34.3; 0; 0.0000
30; 20.6; 5; 0.0000
35; 14.6; 10; 0.0001
40; 10.4; 10; 0.0001
45; 8.1; 2; 0.0000
50; 7.5; 8; 0.0000
55; 6.4; 0; 0.0000
60; 6.2; 0; 0.0001
65; 6.1; 0; 0.0000
70; 5.2; 0; 0.0000
75; 4.5; 23; 0.0000
80; 4.2; 0; 0.0000
85; 4.0; 0; 0.0000
90; 3.6; 0; 0.0000
95; 3.3; 0; 0.0001
100; 3.0; 1; 0.0000
105; 2.2; 0; 0.0000
110; 2.2; 0; 0.0000
115; 1.9; 0; 0.0000
120; 1.6; 0; 0.0000
125; 1.8; 0; 0.0000
130; 1.4; 0; 0.0000
135; 1.6; 0; 0.0000
140; 1.4; 0; 0.0000
145; 1.1; 0; 0.0000
150; 0.7; 0; 0.0000
155; 0.7; 0; 0.0000
160; 1.1; 0; 0.0000
165; 0.9; 11; 0.0000
170; 0.4; 0; 0.0000
175; 0.4; 0; 0.0000
180; 0.7; 0; 0.0000
185; 0.5; 0; 0.0000
190; 0.0; 0; 0.0000
195; 0.1; 0; 0.0000
200; 0.5; 0; 0.0000
205; 0.0; 0; 0.0000
210; 0.2; 0; 0.0000
215; 0.0; 0; 0.0000
220; 0.0; 0; 0.0000
225; 0.2; 0; 0.0000
230; 0.0; 0; 0.0000
235; 0.1; 0; 0.0000
240; 0.1; 0; 0.0000
245; 0.1; 0; 0.0000
250; 0.2; 0; 0.0002
255; 0.0; 0; 0.0002
260; 0.2; 23; 0.0001
265; 0.4; 0; 0.0000
270; 0.2; 0; 0.0000
275; 0.0; 0; 0.0000
280; 0.0; 0; 0.0000
285; 0.2; 0; 0.0000
290; 0.0; 0; 0.0000
295; 0.0; 13; 0.0000
300; 0.0; 0; 0.0000
305; 0.0; 0; 0.0000
310; 0.0; 0; 0.0001
315; 0.0; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 0; 0.0000
335; 0.0; 0; 0.0000
340; 0.0; 0; 0.0000
345; 0.0; 0; 0.0000
350; 0.0; 0; 0.0000
355; 0.0; 0; 0.0000
360; 0.0; 0; 0.0000
365; 0.0; 0; 0.0000
370; 0.0; 0; 0.0000
375; 0.0; 0; 0.0000
380; 0.0; 0; 0.0000
385; 0.0; 0; 0.0000
390; 0.0; 0; 0.0000
395; 0.0; 0; 0.0000
400; 0.0; 0; 0.0000
405; 0.0; 0; 0.0000
410; 0.0; 0; 0.0000
415; 0.0; 0; 0.0000
420; 0.0; 0; 0.0000
425; 0.0; 0; 0.0000
430; 0.0; 0; 0.0000
435; 0.0; 0; 0.0000
440; 0.0; 0; 0.0000
445; 0.0; 0; 0.0000
450; 0.0; 0; 0.0000
455; 0.0; 0; 0.0000
