Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PUR rigid;Aluminium foil faces;;;(M04);;;ISO 5660;SBI Project;C000501_m4;;1;2003-08-12 12:56:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;4;138;40.52;106.41;99.93;17.8;18.46;NA;NA;581.29;0.0088;40;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.9; 0; 0.0007
5; 3.0; 93; 0.0007
10; 5.4; 105; 0.0013
15; 12.0; 38; 0.0006
20; 24.9; 57; 0.0011
25; 41.7; 94; 0.0028
30; 61.7; 287; 0.0124
35; 83.0; 366; 0.0195
40; 99.2; 484; 0.0266
45; 114.0; 644; 0.0339
50; 125.5; 642; 0.0400
55; 134.5; 569; 0.0410
60; 138.2; 597; 0.0397
65; 136.2; 682; 0.0409
70; 132.6; 659; 0.0423
75; 126.7; 642; 0.0385
80; 120.8; 673; 0.0346
85; 111.6; 646; 0.0322
90; 105.3; 605; 0.0297
95; 99.0; 604; 0.0267
100; 93.6; 556; 0.0254
105; 91.1; 594; 0.0253
110; 87.6; 596; 0.0242
115; 85.6; 470; 0.0224
120; 86.1; 578; 0.0246
125; 88.7; 611; 0.0257
130; 94.4; 529; 0.0289
135; 101.7; 600; 0.0327
140; 110.9; 636; 0.0377
145; 118.5; 661; 0.0405
150; 124.4; 761; 0.0439
155; 125.0; 696; 0.0434
160; 123.0; 645; 0.0412
165; 120.2; 584; 0.0383
170; 116.7; 712; 0.0404
175; 115.3; 694; 0.0373
180; 114.5; 600; 0.0364
185; 112.8; 691; 0.0376
190; 112.7; 688; 0.0360
195; 111.2; 623; 0.0372
200; 109.0; 565; 0.0330
205; 106.9; 535; 0.0298
210; 102.3; 579; 0.0292
215; 97.3; 562; 0.0272
220; 91.9; 537; 0.0245
225; 87.0; 590; 0.0231
230; 86.9; 555; 0.0236
235; 84.5; 476; 0.0206
240; 83.8; 634; 0.0234
245; 84.8; 584; 0.0225
250; 85.8; 533; 0.0237
255; 87.8; 605; 0.0259
260; 91.7; 616; 0.0285
265; 93.3; 543; 0.0270
270; 92.8; 662; 0.0295
275; 93.5; 709; 0.0293
280; 94.5; 693; 0.0309
285; 93.9; 681; 0.0293
290; 90.6; 702; 0.0296
295; 89.7; 752; 0.0299
300; 86.1; 851; 0.0289
305; 83.0; 878; 0.0288
310; 82.2; 900; 0.0285
315; 80.5; 743; 0.0262
320; 78.7; 733; 0.0247
325; 76.3; 808; 0.0220
330; 75.7; 818; 0.0244
335; 75.4; 861; 0.0262
340; 75.7; 919; 0.0282
345; 73.9; 747; 0.0229
350; 70.5; 841; 0.0231
355; 65.4; 885; 0.0185
360; 58.9; 658; 0.0138
365; 52.5; 545; 0.0127
370; 47.1; 513; 0.0085
375; 42.7; 588; 0.0071
380; 38.1; 479; 0.0060
385; 34.0; 382; 0.0047
390; 30.0; 560; 0.0042
395; 28.1; 235; 0.0027
400; 26.5; 111; 0.0014
405; 24.0; 201; 0.0018
410; 22.2; 152; 0.0012
415; 20.1; 212; 0.0018
420; 19.3; 96; 0.0010
425; 18.2; 188; 0.0018
430; 16.6; 379; 0.0013
435; 15.9; 64; 0.0008
440; 15.3; 130; 0.0010
445; 15.3; 0; 0.0006
450; 14.7; 0; 0.0000
455; 14.1; 0; 0.0000
460; 13.2; 181; 0.0007
465; 13.3; 204; 0.0010
470; 13.1; 252; 0.0007
475; 12.4; 95; 0.0009
480; 12.5; 119; 0.0009
485; 12.5; 247; 0.0006
