Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:34:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;19;64.56;36.8;;;;;15.12;;685.42;;37.57;0.00943;;2011-06-18;c_EW_in16-2_1;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;3.119236628;0.303110946
2;3.534981156;0.29433849
4;2.757533003;0.264759059
6;2.466055715;0.254776709
8;1.81663154;0.334222426
10;1.755626027;0.344175806
12;1.298146115;0.323913853
14;1.230097392;0.333718146
16;0.945805433;0.36261119
18;0.778156176;0.372828238
20;0.109399442;0.44212155
22;0.725474904;0.491269691
24;0.57952707;0.471569769
26;0.369158984;0.500903094
28;0.841213409;0.469718119
30;0.194145055;0.489404194
32;0.61128734;0.420598383
34;0.560027079;0.430530251
36;0.823012671;0.430870987
38;0.264449445;0.480735391
40;0.196902911;0.441316266
42;0.109510639;0.432447603
44;0.063749228;0.442275957
46;0.575249046;0.431574882
48;-0.308019828;0.451259236
50;0.233330344;0.481404859
52;-0.314300537;0.461707592
54;0.643383635;0.451129084
56;0.714704783;0.441300706
58;1.029576012;0.450591732
60;1.013050591;0.509039207
62;0.440905139;0.529739103
64;1.423013467;0.558180317
66;0.267666429;0.559279331
68;1.279911238;0.609153704
70;0.273926585;0.549716478
72;0.712213414;0.559364386
74;0.777005759;0.579193409
76;0.274585934;0.540667624
78;0.417822036;0.560028405
80;0.480591783;0.540215497
82;1.166632909;0.489747846
84;0.799274889;0.528825633
