Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;23;50.53;30;;;;;12.25;;609.45;;29.24;0.00943;;2011-06-18;c_EW_in16-2_2;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;6.56866123;0.284228109
2;4.721341476;0.235254369
4;4.808114012;0.294134895
6;3.5781788;0.343310647
8;2.390044846;0.293879344
10;2.101073992;0.304198894
12;1.183552017;0.323414159
14;1.784585799;0.294447398
16;0.952790816;0.274398921
18;0.009026382;0.303844542
20;0.345452641;0.293610599
22;-0.901605091;0.294102115
24;-0.533097783;0.304012241
26;-0.576374184;0.324212074
28;-1.044777887;0.295158244
30;-1.169703541;0.28497807
32;-0.593409177;0.264791219
34;-0.187816865;0.314024462
36;-1.327278074;0.304048578
38;-0.368960548;0.27515124
40;-0.45519563;0.304585139
42;-1.023024606;0.216222728
44;-0.261211854;0.225993272
46;-0.675079668;0.205683056
48;-1.4259512;0.19558185
50;-1.763717863;0.205725713
52;-1.569207658;0.195938631
54;-1.22424393;0.166761366
56;-1.485006366;0.17661594
58;-1.290932304;0.166829451
60;-1.898627489;0.186499127
62;-1.987077899;0.205687629
64;-1.876726564;0.17669354
66;-2.060044495;0.186804659
68;-1.607057616;0.186803291
70;-2.055885526;0.167139787
72;-1.277231948;0.167160659
74;-0.915461061;0.127575462
76;-0.932483109;0.166580816
78;-1.242667867;0.117580829
