Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:57
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;35;64.56;36.8;;;;;15.66;;694.55;;35.38;;;2011-06-18;c_EW_in16-2_3;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;7.661863994;0.341525118
2;6.287051687;0.322240377
4;4.399618475;0.352373545
6;3.773326178;0.303149879
8;3.039737577;0.283108631
10;3.297859229;0.283194544
12;2.336390511;0.360688966
14;1.367761062;0.439687233
16;1.532102699;0.451238624
18;0.636230938;0.518451637
20;-0.213994788;0.536838361
22;-0.100813583;0.598828207
24;-0.350017453;0.55961382
26;-0.082063152;0.597912726
28;-1.17800914;0.568680428
30;-0.67122615;0.578468962
32;-0.58009855;0.52662218
34;-1.50660493;0.596235163
36;-1.294185975;0.597318969
38;-2.008765364;0.557825178
40;-1.357893583;0.594949156
42;-1.589331934;0.64495701
44;-1.565020419;0.646161124
46;-1.690956974;0.619241553
48;-1.940919361;0.589697962
50;-1.484139027;0.606498786
52;-2.30061395;0.578139935
54;-1.734720249;0.589870675
56;-2.053623304;0.598712928
58;-1.04179824;0.579303264
60;-1.22016317;0.579390499
62;-1.754526488;0.558445269
64;-1.442042301;0.636949828
66;-1.683588372;0.607830029
68;-1.26331531;0.628287231
70;-1.822203748;0.578550984
72;-1.954636038;0.578550984
74;-2.154275037;0.569385303
76;-1.722615749;0.560749162
78;-1.942884527;0.549944555
80;-2.264328699;0.550127613
82;-1.508463888;0.589422443
84;-1.680580911;0.550744083
86;-1.24998794;0.578457974
88;-2.179847913;0.570613908
90;-1.64239519;0.540041282
92;-2.535538623;0.530278457
94;-1.963862322;0.51958601
96;-2.342342508;0.539172809
98;-2.137563355;0.549106943
100;-1.987627026;0.549273769
102;-1.650639192;0.589511094
104;-1.640166132;0.530641365
106;-1.524488188;0.569904421
108;-1.547636082;0.578726756
110;-1.543809846;0.579493016
112;-1.749869771;0.59843455
