Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-1;Upholstery for passenger seats for trains, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:58:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;9;183.73;53.7;;;;;18.48;;1002.44;;62.65;0.00943;;2011-06-18;c_EW_F1A-2-1_2;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;2.462885356;0.665842928
2;2.251443486;0.655970383
4;0.555602626;0.734518973
6;0.477879785;0.86099734
8;-0.350375769;1.059074208
10;0.155378921;1.125484823
12;0.394220578;0.650095736
14;11.66687809;0.546995653
16;46.2905079;0.556616712
18;78.45965147;0.510632237
20;93.52553534;0.456712797
22;98.77604503;0.558515494
24;94.88671384;0.612006052
26;83.555257;0.722495707
28;65.16111061;0.763739749
30;48.89147113;0.804094077
32;39.295603;0.89375251
34;29.77295787;0.902267883
36;25.05068785;0.702470817
38;21.04066186;0.551686608
40;23.90551151;0.430360298
42;33.05359295;0.477989074
44;56.43784979;0.585735787
46;71.91906312;0.606563048
48;85.54506615;0.964960303
50;100.6991648;1.232056797
52;123.3161028;1.570915556
54;139.0589759;1.38466072
56;151.2221795;0.955997143
58;155.4929779;0.934092376
60;140.4048112;0.79945815
62;110.4916162;0.739232984
64;88.32317238;0.648080567
66;77.20084249;0.660459374
68;64.44169661;0.730211422
70;56.10043199;0.718048168
72;48.71444105;0.723653173
74;44.67053111;0.812804544
76;42.78169583;0.793112497
78;41.25134467;0.783092491
80;41.03028844;0.794372724
82;38.42646912;0.835029268
