Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-1;Upholstery for passenger seats for trains, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:59:54
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;8;172.98;49.1;;;;;16.38;;977.1;;70.03;;;2011-06-18;c_EW_F1A-2-1_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;8.15835483;0.411514749
2;7.704956674;0.431306908
4;7.013301817;0.489360215
6;5.899453323;0.725930133
8;4.510996171;0.527960283
10;5.985775483;0.389257643
12;10.25412322;0.241187854
14;31.67851887;0.25001913
16;61.97935425;0.221996605
18;78.95712194;0.253699805
20;85.36057231;0.305232968
22;81.24876968;0.385320763
24;71.36699476;0.345664681
26;59.1719232;0.385359469
28;49.73744669;0.375659387
30;46.18276587;0.374483388
32;44.35880947;0.382577873
34;46.60744566;0.488918504
36;58.00193522;0.595596778
38;79.51609867;1.324494639
40;101.4343867;2.511018144
42;126.54782;2.74068074
44;152.8627363;2.37605112
46;167.7295036;1.826866076
48;169.618372;1.533456433
50;146.9817914;1.272857424
52;120.2707724;1.082726471
54;93.89815736;1.093538068
56;79.90246073;0.983277253
58;64.46162608;0.952240673
60;55.25963859;1.021285801
62;48.12855557;1.056356813
64;42.27448678;1.087163502
66;38.17921954;1.083316278
68;35.73855545;1.01616817
70;33.00928195;0.927168856
72;31.22081974;0.75834089
74;30.12387421;0.657595169
76;27.54208427;0.517523077
78;26.4441408;0.457672901
80;24.63043885;0.448766974
82;23.43567637;0.378025313
84;22.39182513;0.416009486
86;20.40298476;0.385972183
88;20.54741339;0.386300389
90;19.2709921;0.375016656
92;18.15979039;0.355035534
94;18.92309703;0.354824174
96;17.6961032;0.364425779
98;17.32072171;0.365679457
100;15.97043363;0.375265917
102;15.20997352;0.404248229
104;14.5387722;0.384282477
106;13.10492532;0.355142736
108;12.84075747;0.365600824
110;11.07091759;0.364863768
112;10.07260572;0.325289415
114;9.666179928;0.432925286
116;7.228230751;0.542094264
118;7.063761347;0.621889368
120;4.335242358;0.700547526
122;3.291171229;0.759810953
124;2.329126669;0.886953062
126;0.242104121;0.886821064
128;0.689521506;0.954329845
130;-0.057090096;0.906153621
132;0.632279282;0.856662979
134;1.064394831;0.866336966
136;0.676010445;0.817142458
138;1.30791563;0.836667847
140;-0.116668561;0.826780158
142;0.960401275;0.82653124
144;-1.096198783;0.767582617
146;-0.414826079;0.777513351
148;-0.999015356;0.746494782
150;-0.978645856;0.755165575
152;-0.485187025;0.766139382
154;-1.209054408;0.757655473
156;0.118122711;0.785666584
158;-0.398076646;0.778522436
160;0.688152287;0.816488458
162;0.954104843;0.775432676
164;0.194178634;0.844465358
166;0.870400191;0.834537807
168;0.364610645;0.834692924
170;1.240827025;0.86244792
172;0.528927304;0.883720223
174;0.897006857;0.934741506
176;0.859888107;0.92511709
178;0.448025386;0.924860472
180;1.577844164;0.934462355
182;0.791174412;0.905182589
184;1.990980455;0.944110189
186;1.445795148;0.89243251
188;1.255863029;0.983941086
190;1.59277755;1.003907299
192;1.441898268;1.029990626
194;2.009758157;1.052816962
196;1.954092042;1.13958823
198;1.720258905;1.12027754
200;1.427513809;1.14992996
202;0.837214809;1.191282813
204;0.586814516;1.260522984
206;1.216263674;1.238801368
208;2.085530563;1.336670723
210;1.365251702;1.317277138
212;2.005351113;1.32722363
214;1.064589861;1.356475958
216;1.811811624;1.349012815
218;1.56886574;1.484963175
220;1.936444255;1.556426509
222;1.737852577;1.467327536
224;1.526917507;1.494224814
226;2.585245448;1.573266391
228;1.94864795;1.566039219
230;2.702887765;1.642883354
232;2.019577585;1.583250995
234;3.020742935;1.751190338
236;3.191363769;1.748183374
238;2.794497771;1.780558237
240;2.973906145;1.849764452
242;2.745086726;1.876130094
244;3.612577115;1.846115251
246;3.153130142;1.915236735
248;3.687725099;1.925344971
250;4.016992376;1.918189065
252;3.442297426;1.899905186
254;4.178591938;2.027472839
256;3.237388622;2.250294959
258;3.879385616;2.219320836
260;3.371352118;2.219854621
262;3.971054676;2.229863818
264;4.047097672;2.243587801
266;3.836286074;2.181833034
268;4.753998342;2.21047454
270;3.836143986;2.239499353
272;4.564717022;2.217653647
274;4.244766022;2.250637079
276;4.008108111;2.249321718
278;4.172673909;2.13458702
280;4.576125702;2.16124896
282;5.44912515;2.194281176
284;4.046351403;2.073515493
286;4.399169506;2.211883324
288;3.92288933;2.126143385
290;3.53432392;2.244888785
292;4.345248093;1.307354428
294;3.732631186;0.793048065
296;8.305053746;0.469437946
298;13.55973179;0.352462305
300;20.55216486;0.274357586
302;27.35540789;0.245216339
304;31.77535072;0.196033289
306;35.90653795;0.216239166
308;39.35614632;0.176848216
310;42.25763436;0.20682797
312;43.44981674;0.167448177
314;44.91219951;0.206748418
316;47.50066124;0.255621527
318;48.28577007;0.285943337
320;50.99020238;0.255933824
322;52.66611277;0.256689536
324;54.05795143;0.226322828
326;55.51910968;0.266336103
328;55.33878352;0.256117096
330;57.80224372;0.246494496
332;58.80011653;0.256441193
334;59.99364515;0.275343947
336;62.54337408;0.22667782
338;63.44744182;0.237196901
340;65.72861788;0.275864625
342;67.93592625;0.276172072
344;70.20061846;0.256083026
346;73.96585003;0.345041326
348;75.82751505;0.374888225
350;79.77755371;0.434518945
352;81.46254068;0.503292723
354;84.49347333;0.551893582
356;89.05050035;0.758418106
358;93.414825;0.750951205
360;98.44131612;0.867517534
362;102.1623982;0.978085397
364;106.4177528;1.114919073
366;112.0084037;1.206030719
368;115.6137185;1.23511656
370;118.9591978;1.290339278
372;123.1327779;1.516915456
374;127.6931344;1.544054201
376;132.7038819;1.730598572
378;136.1586757;1.745169656
380;139.563049;1.632230708
382;143.666034;1.91342248
384;146.6771677;2.008659426
386;149.6808634;1.87759404
388;152.8708259;1.935323966
390;153.8592631;2.052284244
392;155.6315409;2.081295064
394;158.5858609;2.170690702
396;161.6579951;2.142710257
398;165.376368;2.373432262
400;165.7240274;2.068031802
402;166.6363099;2.229025693
404;168.8128871;2.080426276
406;169.4735581;2.065021032
408;171.3773119;2.142384334
410;172.0464688;2.122315353
412;171.6441052;2.034067037
414;172.2128825;1.814402941
416;172.7276197;1.881327074
418;172.983046;1.942085547
420;172.7797916;2.068145142
422;170.8168242;1.868420857
424;169.1631871;1.838235256
426;167.1717549;1.707636433
428;165.1966026;1.717711338
430;163.7211393;1.610561597
432;162.0854977;1.569283098
434;159.454991;1.411598748
436;155.8831164;1.429982942
438;155.5388014;1.339910472
440;152.2683832;1.333283345
442;149.6857426;1.242504983
444;147.21413;1.171527634
446;143.0680016;1.20056834
448;140.0659995;1.109440565
450;136.5069182;1.071187578
452;132.2947261;1.09143441
454;130.6615056;1.112661417
456;126.7953094;0.961341203
458;123.5664185;0.839171137
460;120.043073;0.868167121
462;116.2035985;0.808030947
464;113.6865461;0.697130474
466;110.5922527;0.637490581
468;108.3427256;0.677867155
470;105.9470101;0.607616196
472;103.1162441;0.518492861
474;101.0951053;0.62785296
476;98.06634267;0.605505525
478;96.82938188;0.547300896
480;94.61415267;0.507195614
482;91.81537669;0.427727088
484;90.61284004;0.427671729
486;89.03685873;0.397605217
488;87.16607756;0.328002339
490;87.078676;0.278238305
492;84.70002558;0.307845207
494;82.99122109;0.267984511
496;82.26946679;0.318047885
498;79.78141018;0.198694878
500;77.66715067;0.228302043
502;76.4111496;0.138865158
504;74.2448013;0.188423922
506;73.930316;0.138967943
508;71.06277861;0.11892821
510;70.18170445;0.128500312
512;69.49316446;0.168333557
514;69.06122722;0.109097556
516;68.38515382;0.099318313
518;66.93775126;0.089273649
520;63.95452011;0.108566465
522;64.30612514;0.098817373
524;62.78272861;0.069175968
526;61.89218132;0.069465651
528;61.03371639;0.099052161
530;58.77065163;0.069326628
532;59.27600695;0.089064888
534;57.70315243;0.049481014
536;57.12566245;0.059362603
538;56.64080171;0.138732429
540;54.92483423;0.118826355
542;55.10247092;0.118781192
544;53.51950838;0.118285054
546;54.01333212;0.187627674
548;51.75521477;0.246405511
550;51.16909085;0.256175648
552;50.86599378;0.26646394
554;49.27311697;0.217355838
556;49.24146682;0.167352708
558;48.23786008;0.177846132
560;47.40567697;0.168015336
562;46.39292335;0.13821742
564;45.70129975;0.187249796
566;46.06287057;0.226559904
568;44.530852;0.255568274
570;44.70688529;0.21694683
572;43.97206094;0.217288518
574;43.17941076;0.197399974
576;43.06819394;0.197468434
578;41.81010341;0.157967372
580;42.04027322;0.178061285
582;41.73693602;0.197739279
584;40.78722458;0.197787861
586;41.32584231;0.167750418
588;39.87626124;0.069286556
590;40.07639214;0.089108866
592;39.59686276;0.039605866
594;38.10912308;0.06927989
596;38.53141121;0.049509689
598;38.6687463;0.089056993
600;37.16653701;0.12819917
602;37.09486385;0.078895973
604;36.69891976;0.118459547
606;35.93883143;0.098846452
608;35.78594437;0.118523436
610;34.67453511;0.128362641
612;35.39408904;0.16748185
614;34.94605385;0.157822564
616;33.81906809;0.148218467
618;33.90246182;0.207182762
620;33.03039039;0.197231235
622;32.20800442;0.158084996
624;33.19210313;0.177863504
626;31.6151844;0.187369328
628;32.74624031;0.147908988
630;32.47753662;0.157792982
632;31.9164187;0.147901922
634;32.40714949;0.176814824
636;31.104621;0.177100692
638;31.5373802;0.137704895
640;31.34716784;0.138008377
642;30.69535246;0.157400348
644;31.09160327;0.226274005
646;30.56466513;0.226739771
648;30.14132594;0.226618007
650;30.83151113;0.147519478
652;30.1234079;0.197788632
654;30.7884717;0.128006612
656;30.23323578;0.255801563
658;29.12463859;0.285247652
660;29.20904131;0.284800567
662;28.27917354;0.315311214
664;28.88794006;0.305992729
666;28.61948862;0.305232757
668;28.12231353;0.275923369
670;28.65233085;0.286111166
672;27.52640703;0.275828634
674;28.27081844;0.216691336
676;28.67032804;0.236413015
678;28.29901489;0.26588708
680;29.14200662;0.305858961
682;27.53084696;0.305262991
684;27.94763888;0.285652867
686;27.54922608;0.315250325
688;26.59698406;0.363759782
690;27.04549177;0.363011814
692;26.7908096;0.382615258
694;27.31901043;0.52855072
696;26.86422378;0.598626066
698;26.40083751;0.648709505
700;27.53589116;0.610678693
702;26.58833172;0.639007896
704;27.97781783;0.611928439
706;27.34925959;0.573588167
708;26.88990664;0.552628974
710;27.78016613;0.523729791
712;26.67513975;0.474463375
714;27.08218594;0.473518977
716;26.50388436;0.384810478
718;26.92283129;0.394447276
720;27.09799628;0.374741686
722;25.98488354;0.384623505
724;26.59823544;0.43391311
726;26.41271313;0.482609867
728;26.93396598;0.443968882
730;26.85431264;0.453702608
732;27.24660081;0.51180489
734;27.26360779;0.462776473
736;26.31550676;0.520681778
738;27.0032214;0.513349107
740;26.60048416;0.493009015
742;26.68924476;0.532031395
744;26.63305039;0.552945063
746;25.3948599;0.543152422
748;26.86361555;0.524002219
750;25.05934069;0.493626103
752;24.48260895;0.501496131
754;23.26345685;0.463135498
756;22.88779233;0.444265129
758;23.37026069;0.413944528
760;22.14622479;0.374429923
762;22.94589035;0.37417349
764;21.99670866;0.325083676
766;21.29816275;0.334835798
768;21.7833802;0.31529409
770;20.89155107;0.334200311
772;21.3028111;0.344096874
774;20.93582131;0.255950939
776;20.56323892;0.255704006
778;21.07536557;0.275719861
780;20.71103496;0.265911653
782;21.88659775;0.275719861
784;22.03457462;0.265782284
786;22.39382177;0.226474264
788;22.07995617;0.246240649
790;21.69698377;0.236860373
792;21.8493209;0.267290478
794;21.22906424;0.227047488
796;21.10894206;0.275585708
798;19.71135863;0.276174624
800;19.52018788;0.285554179
802;18.72670688;0.285913017
804;18.78046508;0.266310903
806;18.20110658;0.2961259
808;17.067459;0.275918215
810;17.33883126;0.19719043
812;16.4329848;0.236604421
814;17.44226509;0.216909473
816;16.41418347;0.276864309
818;16.85909127;0.365345866
820;15.39867495;0.452348236
822;14.85551615;0.471966598
824;13.53655974;0.472719519
826;11.98640591;0.48244772
828;12.2536135;0.472603434
830;11.01115046;0.44192522
832;11.59107937;0.422448316
834;10.4073649;0.43290225
836;11.12729901;0.452647728
838;10.19881358;0.402703567
840;10.82469863;0.353593376
842;11.73334048;0.324253307
844;12.16484097;0.364809431
846;12.91141034;0.32499284
848;13.02372233;0.324851954
850;13.77100021;0.324851358
852;14.13268422;0.345072559
854;14.90875682;0.295161616
856;13.69664008;0.295275976
858;14.22968068;0.304571581
860;13.17460866;0.354331171
862;13.24209064;0.374016236
864;12.30502894;0.463202108
866;12.05084038;0.443447506
868;11.71562072;0.393585434
870;11.91051244;0.451858037
872;11.42941619;0.41220068
874;12.50562433;0.413141619
876;11.37426695;0.335062564
878;11.7503729;0.434323559
880;11.12150955;0.462973646
882;10.68251515;0.510343699
884;10.85387105;0.530919852
886;10.78064482;0.501309287
888;10.98044956;0.432082632
890;10.3919254;0.431221386
892;11.1133778;0.471039996
894;10.22054622;0.539892573
896;10.67844652;0.461247619
898;10.00171021;0.461090721
900;10.93410415;0.449942189
902;10.90373593;0.480085384
904;10.89769257;0.470331095
906;9.851923239;0.520186844
908;9.908811505;0.451302221
910;10.24628864;0.481762187
912;10.92577284;0.423002558
914;10.90051507;0.363854862
916;10.68382605;0.410613711
918;11.18522095;0.479145024
920;10.31460669;0.469366554
922;11.3882534;0.510443062
924;10.81284799;0.462212849
926;10.92288439;0.412260907
928;10.37838051;0.363164583
930;10.37586528;0.34468382
932;10.10569141;0.365065245
934;10.5546199;0.373667831
936;11.26079366;0.403928342
938;11.01288137;0.373054227
940;10.44136165;0.411418413
942;10.44719773;0.363113463
944;10.97274176;0.403092079
946;10.66415994;0.3940028
948;11.57355803;0.392478753
950;10.76664877;0.333671831
952;11.64994303;0.412800461
954;10.9607942;0.453121096
956;11.38334203;0.424308608
958;9.997413461;0.364593264
960;11.00563823;0.404332039
962;10.06421553;0.334338111
964;11.49171056;0.413002717
966;11.08123458;0.353948923
968;11.51475426;0.394043233
970;11.02290359;0.375045009
972;11.35860546;0.345552436
974;10.74241979;0.384282477
976;10.90516368;0.364250138
978;10.71690018;0.373928979
980;11.30783484;0.324662453
982;10.93326208;0.354779755
984;11.28426139;0.374451334
986;10.2116946;0.35493384
988;10.54165997;0.344394141
990;10.92042744;0.295121327
992;11.43922905;0.354282804
994;11.4915576;0.393764875
996;10.85461937;0.393628506
998;10.91225831;0.354388387
1000;10.96873166;0.315968057
1002;11.64048829;0.305625334
1004;11.04597239;0.305046723
1006;11.06517468;0.304576367
1008;10.39110214;0.304531965
1010;11.32596587;0.373387957
1012;10.10596307;0.325278332
1014;11.03848707;0.314323014
1016;10.39800735;0.295649796
1018;10.82308428;0.295792463
1020;10.72733703;0.266213217
1022;10.73742628;0.353493105
1024;10.78955444;0.35289265
1026;10.87386402;0.453306721
1028;10.94972965;0.423024538
1030;11.10804145;0.413371492
1032;11.45798061;0.384534966
1034;11.26555162;0.374397571
1036;11.48021728;0.382952293
1038;10.51093403;0.410883456
1040;11.51064676;0.422103582
1042;9.901998349;0.509609085
1044;11.3118512;0.491918364
1046;10.67603934;0.502456699
1048;11.58417706;0.453283728
