Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPS;Plasterboard;;;(M13);;;ISO 5660;SBI Project;C000503_m13;;1;2003-08-12 13:00:02
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;54;91;38.99;12.81;8.72;25.4;12.39;NA;NA;95.41;0.0088;13;700
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.4; 0; 0.0000
5; 1.7; 0; 0.0000
10; 1.6; 0; 0.0001
15; 0.4; 22; 0.0003
20; 0.0; 25; 0.0006
25; 0.0; 12; 0.0003
30; 0.0; 43; 0.0010
35; 0.0; 60; 0.0014
40; 0.0; 114; 0.0024
45; 0.5; 122; 0.0038
50; 0.0; 201; 0.0060
55; 12.2; 109; 0.0070
60; 64.4; 6; 0.0006
65; 91.1; 4; 0.0003
70; 63.1; 6; 0.0003
75; 30.9; 0; 0.0000
80; 19.5; 0; 0.0000
85; 17.8; 0; 0.0000
90; 17.4; 1; 0.0000
95; 17.8; 0; 0.0000
100; 17.6; 0; 0.0000
105; 17.0; 0; 0.0000
110; 17.0; 1; 0.0000
115; 15.9; 0; 0.0000
120; 14.8; 0; 0.0000
125; 13.2; 0; 0.0000
130; 10.4; 0; 0.0000
135; 8.8; 0; 0.0000
140; 6.5; 0; 0.0000
145; 4.3; 0; 0.0000
150; 3.6; 0; 0.0000
155; 2.7; 0; 0.0000
160; 2.4; 0; 0.0000
165; 2.9; 0; 0.0000
170; 2.4; 0; 0.0000
175; 2.6; 0; 0.0000
180; 2.6; 6; 0.0002
185; 2.1; 3; 0.0001
190; 2.3; 0; 0.0000
195; 2.6; 1; 0.0000
200; 2.7; 0; 0.0000
205; 1.9; 0; 0.0000
210; 2.7; 2; 0.0000
215; 2.5; 8; 0.0002
220; 1.3; 8; 0.0002
225; 2.0; 0; 0.0000
230; 2.6; 0; 0.0000
