Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyamide PA12;;;;E2A-2;Cable containment;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 13:20:13
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;22;473.11;86.1;;;;;28.68;;848.64;;225.26;0.00943;;2011-06-18;c_EW_E2A-2_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;8.711623782;0.326779226
2;7.501782965;0.256126646
4;6.453367465;0.235742608
6;5.586942984;0.285914145
8;4.323202501;0.394516399
10;3.217575099;0.610829253
12;2.804141105;0.69986576
14;3.945278261;0.798869297
16;6.209616558;0.629432312
18;9.835978542;0.513593488
20;13.52201958;0.413700729
22;16.65806551;0.353678566
24;21.36011035;0.206218036
26;27.57724763;0.490063295
28;39.90636701;0.733701717
30;61.30221416;0.926785124
32;84.43676361;1.068997887
34;107.3504941;1.16571332
36;135.6769416;1.458751821
38;155.6509995;1.824260712
40;169.5147285;2.104394272
42;176.8109466;2.050061581
44;189.2352253;2.347516959
46;197.8267106;2.320862361
48;206.7932218;2.495698012
50;218.3616757;2.402169276
52;223.5480994;2.347716711
54;224.6898303;2.227062988
56;221.769917;2.549725987
58;217.5221484;2.589112086
60;214.6876719;2.326488946
62;212.788455;2.649904405
64;211.6228296;2.630719121
66;209.1607753;2.495989338
68;207.6761168;2.714412512
70;204.8586415;2.515628395
72;204.4646669;2.72851291
74;205.556318;2.726440375
76;210.2126607;2.951870453
78;214.6514796;2.973637244
80;221.4755538;2.9770469
82;224.3814235;3.126331414
84;226.7100319;3.280107766
86;228.6127469;3.049823007
88;229.1369198;3.03344602
90;229.2879753;3.134658956
92;228.7983478;3.210343526
94;230.7456008;3.188545353
96;230.8345205;3.1227605
98;232.2599517;3.27425247
100;233.4210489;3.05915073
102;233.9544556;3.070773719
104;234.6987309;3.16834369
106;234.044423;3.377105999
108;234.2895153;3.567796638
110;237.9584816;3.858974782
112;248.624575;3.963118279
114;279.7743293;4.237524862
116;320.3545726;4.441686568
118;353.852964;4.358229618
120;394.3974733;4.753372807
122;421.6494804;4.500117334
124;437.8085704;4.850722148
126;452.0857569;4.669036495
128;459.4089878;5.092511753
130;465.6659833;5.73530024
132;468.5951831;6.188991362
134;471.1239604;6.2255526
136;473.1068623;6.637710809
138;468.5884393;6.886676003
140;462.4715836;6.796576525
142;446.269063;6.224075095
144;423.1324975;5.789087551
146;411.6929008;5.7564435
148;378.0788789;5.784430875
150;355.5090939;5.943207613
152;332.3629057;5.187203108
154;306.5236408;4.929119214
156;281.9146222;5.073047139
158;254.2163273;4.282657938
160;240.7085718;3.950271358
162;225.0371677;4.285674883
164;208.0621107;4.057267205
166;197.4519249;3.869561376
168;189.8882247;3.565390859
170;177.1011726;3.389630558
172;168.2453738;3.328680139
174;160.4664081;3.240446823
176;152.4405474;3.084032018
178;146.3317894;3.068780621
180;141.8863448;3.095794824
182;135.6176245;2.769224583
184;131.2872395;2.719605097
186;127.6047813;2.733866365
188;123.8246838;2.52353673
190;121.4372949;2.391767086
192;117.5479615;2.35316132
194;115.3809229;2.442571204
196;113.5902819;2.494495099
198;110.361781;2.135450857
200;109.0079508;2.013861081
202;105.8841594;1.877448383
204;102.7244019;1.896741586
206;100.7854887;1.570454153
208;98.25140056;1.482618087
210;97.19505553;1.410427553
212;95.3792828;1.335028546
214;93.36463952;1.263393569
216;91.68603192;1.184254778
218;89.94989882;1.15120461
220;87.86166431;1.139590318
222;86.21243041;0.921010357
224;85.32278021;0.98066077
226;83.60621547;0.838568549
228;82.87723189;0.809261175
230;80.90366973;0.777588846
232;79.34816503;0.727073158
234;78.41487404;0.625783494
236;76.88594565;0.726265871
238;76.16723817;0.588089655
240;76.02832681;0.628847854
242;75.1005807;0.587166287
244;74.13958404;0.557344981
246;73.43332686;0.507472723
248;72.21302708;0.517069188
250;71.58236889;0.457261074
252;70.49069808;0.457139984
254;69.05337838;0.458744283
256;68.27022478;0.466875833
258;68.00627939;0.437834955
260;66.83819773;0.358824433
262;66.72917734;0.388567521
264;66.43819125;0.328699448
266;65.71526999;0.318069744
268;65.47067545;0.367516453
270;64.50409401;0.386450737
272;64.79489279;0.317783013
274;64.50453728;0.396603539
276;64.47679155;0.30793392
278;64.49905068;0.348196194
280;63.64150865;0.377281301
282;61.89763133;0.297648034
284;62.2495182;0.317667709
286;61.66606949;0.32828602
288;61.84620446;0.278445766
290;61.75720714;0.288703343
292;60.96533412;0.287705371
294;61.22941452;0.337234723
296;60.97374969;0.248327481
298;60.33368394;0.247976893
300;60.02009538;0.258154379
302;59.55536026;0.327257981
304;59.24311591;0.198597993
306;59.36272518;0.218621041
308;59.58030095;0.288548893
310;59.3592013;0.238471461
312;59.11674909;0.288563818
314;58.22571218;0.248225118
316;57.92088662;0.258535841
318;57.29865514;0.287906166
320;56.91357093;0.267468301
322;56.70735749;0.287271662
324;56.99995546;0.337976327
326;56.90164339;0.337436275
328;56.84424954;0.328035697
330;56.73204196;0.2583109
332;55.860285;0.257414289
334;55.14578601;0.288076912
336;55.55394566;0.238127094
338;54.97220434;0.2276305
340;54.288628;0.247959539
342;54.16815912;0.287644003
344;53.74649761;0.267806485
346;53.30350502;0.287564312
348;53.46226855;0.317345136
350;53.56124535;0.18911121
352;53.84497592;0.228496388
354;53.60667018;0.288144894
356;53.33828076;0.218983371
358;53.03594443;0.218839511
360;53.11205445;0.258593375
362;52.44103074;0.18860328
364;51.90660852;0.218105515
366;51.99283012;0.268028992
368;51.94127189;0.218375561
370;51.70326774;0.169089922
372;50.94571594;0.188701478
374;50.96003464;0.258090169
376;51.18192294;0.178652213
378;50.89886442;0.228408815
380;51.16288704;0.248581308
382;51.21844076;0.188562802
384;50.81415911;0.238241066
386;50.7465707;0.188546874
388;50.61281478;0.148780796
390;49.68980497;0.12901641
392;49.52270268;0.228731326
394;50.12956191;0.158776315
396;50.12925239;0.23774393
398;50.16489729;0.16840739
400;50.54707729;0.168964736
402;49.72368845;0.238532715
404;49.81533187;0.277874469
406;50.41750853;0.268060739
408;49.99539358;0.31768527
410;50.22241267;0.287928299
412;50.13839064;0.257999181
414;49.39096903;0.28783877
416;49.20347809;0.327372104
418;49.53569348;0.367941019
420;48.64205145;0.337340344
422;48.75474031;0.30757502
424;49.08436832;0.39751604
426;49.12326332;0.337229203
428;48.91462692;0.277832584
430;48.45637275;0.406946861
432;48.07446111;0.317555635
434;48.1541667;0.347275644
436;49.06749619;0.336883933
438;48.76041784;0.396072773
440;48.39738271;0.317486302
442;49.31754504;0.338123301
444;48.79847588;0.357222814
446;48.33712512;0.376329975
448;49.03183324;0.397147244
450;48.71382015;0.376944271
452;48.60406058;0.387887081
454;48.75113113;0.407702356
456;48.25535577;0.426778513
458;48.10294503;0.446421792
460;48.65254589;0.477049376
462;48.42184541;0.397672144
464;48.30665807;0.396928822
466;48.53320102;0.376977476
468;47.8455292;0.357915498
470;47.86907038;0.347751731
472;48.11633617;0.34721905
474;47.82029617;0.297681296
476;47.85060541;0.347961711
478;47.7591913;0.366939121
480;47.69641568;0.345904601
482;48.12634647;0.337794642
484;48.40383604;0.29803232
486;47.8945669;0.416683246
488;47.7046393;0.386688264
490;48.69505731;0.336480843
492;48.66805982;0.377626048
494;47.82944918;0.337927904
496;48.27799262;0.337910583
498;48.1694301;0.337789309
500;47.57248642;0.278333157
502;47.4668666;0.387499448
504;47.91870609;0.358288658
506;47.49616773;0.248409825
508;47.95840707;0.277776219
510;47.58785699;0.288140615
512;47.26266175;0.298076499
514;48.00670679;0.317442199
516;48.20870195;0.277246808
518;47.27138235;0.19765193
520;47.727017;0.26785564
522;47.96581677;0.237627844
524;47.42516871;0.158388806
526;47.10357523;0.187726789
528;47.38647431;0.217784609
530;47.56808585;0.188823849
532;47.35236536;0.187726789
534;47.53983098;0.256974164
536;47.38515241;0.109355123
538;46.53643066;0.129244497
540;47.18682442;0.169215942
542;47.11691198;0.139167433
544;46.70313313;0.099360591
546;46.40990585;0.039527055
548;47.53411449;0.079154971
550;46.7563669;0.138800253
552;47.17486149;0.158643276
554;47.38822953;0.079376421
556;46.54071661;0.089390998
558;46.41078697;0.069522765
560;46.37409333;0.06951329
562;45.96696193;0.059726316
564;46.24257963;0
566;47.26022159;0.019832153
568;47.79476835;-0.039635357
570;47.86278108;-0.029628958
572;47.77435405;0.039644366
574;46.92027729;0.019834194
576;47.42154727;0.158910156
578;47.02662913;0.158629325
580;46.3606981;0.069396759
582;47.06112204;0.178108704
584;47.32855457;0.188610284
586;46.73298946;0.238297586
588;47.08761694;0.2283191
590;47.07144312;0.139019612
592;47.23336946;0.079415339
594;47.4264757;0.069390866
596;46.76477249;0.069623745
598;46.94240986;0.139019612
600;46.94126276;0.089486698
602;46.57075959;0.178698798
604;46.69629798;0.149116515
606;46.22192945;0.138690878
608;46.43318261;0.178576727
610;46.45879263;0.208367968
612;46.21784175;0.158542783
614;45.85646794;0.188497656
616;46.25505304;0.128982366
618;45.65274174;0.079495746
620;44.86416098;0.119106108
622;45.27982814;0.188637326
624;45.35842989;0.148577078
626;44.64697984;0.11883459
628;45.11266733;0.079389157
630;44.30493479;0.099403121
632;44.28930627;0.109115316
634;44.93644775;0.179236237
636;44.00283863;0.178252958
638;43.7972346;0.178537099
640;43.93910059;0.178518781
642;43.69810077;0.257992732
644;43.84417106;0.258982604
646;44.15649527;0.228934774
648;43.27164241;0.237981511
650;43.33506568;0.228022714
652;43.55073856;0.178808961
654;43.44804849;0.208109256
656;43.41079956;0.197894009
658;43.49845855;0.178493318
660;43.39759242;0.208525229
662;42.61690558;0.197973194
664;43.09473601;0.138488542
