Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR PUR rigid;Plasterboard;;;(M27);;;ISO 5660;SBI Project;C000504_m27;;1;2003-08-12 13:07:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
40;95;81;16.74;12.62;7.66;28.8;4.26;NA;NA;109.76;0.0088;13;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.9; 0; 0.0000
5; 2.5; 0; 0.0000
10; 1.4; 1; 0.0000
15; 0.1; 48; 0.0005
20; 0.4; 51; 0.0007
25; 0.4; 13; 0.0002
30; 0.0; 8; 0.0002
35; 0.0; 14; 0.0003
40; 0.0; 32; 0.0006
45; 0.0; 60; 0.0014
50; 0.5; 55; 0.0013
55; 0.3; 92; 0.0023
60; 0.1; 93; 0.0026
65; 0.6; 111; 0.0030
70; 0.4; 136; 0.0043
75; 1.2; 167; 0.0054
80; 1.3; 206; 0.0062
85; 1.1; 219; 0.0077
90; 0.9; 255; 0.0088
95; 6.4; 163; 0.0099
100; 47.6; 2; 0.0002
105; 81.0; 0; 0.0000
110; 75.1; 0; 0.0000
115; 49.6; 0; 0.0000
120; 28.1; 0; 0.0000
125; 20.8; 0; 0.0000
130; 20.0; 0; 0.0000
135; 19.9; 0; 0.0000
140; 18.7; 0; 0.0000
145; 16.3; 0; 0.0000
150; 14.4; 0; 0.0000
155; 12.4; 0; 0.0000
160; 10.9; 0; 0.0000
165; 9.3; 0; 0.0000
170; 8.4; 0; 0.0000
175; 8.1; 0; 0.0000
180; 6.3; 0; 0.0000
185; 5.3; 0; 0.0000
190; 4.4; 0; 0.0000
195; 2.9; 0; 0.0000
200; 2.6; 0; 0.0000
205; 2.2; 0; 0.0000
210; 1.6; 0; 0.0000
215; 1.2; 0; 0.0000
220; 1.1; 0; 0.0000
225; 1.5; 1; 0.0000
230; 1.0; 14; 0.0004
235; 1.0; 3; 0.0001
240; 1.1; 7; 0.0002
245; 0.8; 0; 0.0000
250; 0.9; 0; 0.0000
255; 1.0; 5; 0.0001
260; 0.7; 0; 0.0000
265; 0.5; 0; 0.0000
270; 0.6; 0; 0.0000
275; 0.5; 0; 0.0000
280; 0.7; 0; 0.0000
285; 1.2; 0; 0.0000
290; 0.6; 0; 0.0000
295; 0.5; 0; 0.0000
300; 0.3; 0; 0.0000
305; 0.5; 0; 0.0000
310; 0.8; 0; 0.0000
315; 0.3; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 1; 0.0000
335; 0.0; 13; 0.0004
340; 0.0; 0; 0.0000
345; 0.0; 9; 0.0002
350; 0.3; 14; 0.0004
355; 0.1; 9; 0.0002
360; 0.3; 2; 0.0000
365; 0.0; 0; 0.0000
370; 0.0; 0; 0.0000
375; 0.0; 0; 0.0000
380; 0.0; 0; 0.0000
385; 0.0; 0; 0.0000
390; 0.0; 0; 0.0000
395; 0.0; 0; 0.0000
400; 0.0; 0; 0.0000
405; 0.2; 0; 0.0000
410; 0.2; 0; 0.0000
415; 0.0; 0; 0.0000
420; 0.0; 0; 0.0000
425; 0.0; 0; 0.0000
430; 0.0; 0; 0.0000
435; 0.0; 2; 0.0000
440; 0.0; 7; 0.0002
445; 0.0; 0; 0.0000
450; 0.0; 0; 0.0000
455; 0.0; 0; 0.0000
460; 0.0; 0; 0.0000
465; 0.0; 0; 0.0000
470; 0.0; 15; 0.0003
475; 0.0; 8; 0.0001
480; 0.0; 0; 0.0000
485; 0.0; 7; 0.0002
490; 0.0; 0; 0.0000
495; 0.0; 5; 0.0001
500; 0.2; 21; 0.0004
505; 0.2; 19; 0.0004
510; 0.0; 36; 0.0007
515; 0.0; 26; 0.0006
520; 0.0; 23; 0.0005
525; 0.0; 14; 0.0002
530; 0.0; 15; 0.0003
535; 0.0; 19; 0.0004
540; 0.0; 4; 0.0001
545; 0.0; 4; 0.0001
550; 0.0; 0; 0.0000
555; 0.0; 0; 0.0000
560; 0.0; 0; 0.0000
565; 0.0; 0; 0.0000
570; 0.0; 0; 0.0000
575; 0.0; 0; 0.0000
580; 0.0; 0; 0.0000
585; 0.0; 0; 0.0000
590; 0.0; 0; 0.0000
595; 0.0; 0; 0.0000
600; 0.0; 0; 0.0000
605; 0.0; 0; 0.0000
610; 0.0; 0; 0.0000
615; 0.0; 0; 0.0000
620; 0.0; 0; 0.0000
625; 0.0; 0; 0.0000
630; 0.0; 0; 0.0000
635; 0.0; 0; 0.0000
640; 0.0; 0; 0.0000
645; 0.0; 0; 0.0000
650; 0.0; 10; 0.0002
655; 0.0; 6; 0.0001
660; 0.0; 0; 0.0000
665; 0.0; 0; 0.0000
670; 0.0; 0; 0.0000
675; 0.0; 3; 0.0000
680; 0.0; 14; 0.0002
685; 0.0; 6; 0.0001
690; 0.0; 3; 0.0001
695; 0.0; 17; 0.0003
700; 0.0; 23; 0.0004
705; 0.0; 0; 0.0000
710; 0.0; 1; 0.0000
715; 0.0; 22; 0.0004
720; 0.0; 10; 0.0002
725; 0.0; 7; 0.0001
730; 0.0; 0; 0.0000
735; 0.0; 0; 0.0000
740; 0.0; 0; 0.0000
745; 0.0; 0; 0.0000
750; 0.0; 0; 0.0000
755; 0.0; 0; 0.0000
760; 0.0; 0; 0.0000
765; 0.0; 18; 0.0003
770; 0.0; 22; 0.0003
775; 0.0; 0; 0.0000
780; 0.0; 0; 0.0000
785; 0.0; 0; 0.0000
790; 0.0; 0; 0.0000
795; 0.0; 0; 0.0000
800; 0.0; 0; 0.0000
805; 0.0; 9; 0.0001
810; 0.0; 14; 0.0002
815; 0.0; 14; 0.0002
820; 0.0; 0; 0.0000
825; 0.0; 15; 0.0003
830; 0.0; 12; 0.0001
835; 0.0; 3; 0.0000
840; 0.0; 26; 0.0004
845; 0.0; 5; 0.0001
850; 0.0; 21; 0.0003
855; 0.0; 15; 0.0002
860; 0.0; 20; 0.0003
865; 0.0; 0; 0.0000
870; 0.0; 18; 0.0002
875; 0.0; 24; 0.0004
880; 0.0; 64; 0.0007
885; 0.0; 47; 0.0007
890; 0.0; 57; 0.0006
895; 0.0; 25; 0.0003
900; 0.0; 16; 0.0003
905; 0.0; 12; 0.0001
910; 0.0; 21; 0.0002
915; 0.0; 54; 0.0006
920; 0.0; 6; 0.0001
925; 0.0; 5; 0.0001
930; 0.0; 3; 0.0000
935; 0.0; 0; 0.0000
940; 0.0; 10; 0.0001
945; 0.0; 0; 0.0000
950; 0.0; 0; 0.0000
955; 0.0; 0; 0.0000
960; 0.0; 7; 0.0001
965; 0.0; 0; 0.0000
970; 0.0; 22; 0.0002
975; 0.0; 5; 0.0001
980; 0.0; 0; 0.0000
985; 0.0; 0; 0.0000
990; 0.0; 0; 0.0000
995; 0.0; 0; 0.0000
1000; 0.0; 0; 0.0000
1005; 0.0; 0; 0.0000
1010; 0.0; 42; 0.0001
1015; 0.0; 0; 0.0000
1020; 0.0; 6; 0.0001
1025; 0.0; 40; 0.0004
1030; 0.0; 0; 0.0000
1035; 0.0; 0; 0.0000
1040; 0.0; 32; 0.0002
1045; 0.0; 23; 0.0001
1050; 0.0; 27; 0.0001
1055; 0.0; 99; 0.0002
1060; 0.0; 78; 0.0005
1065; 0.1; 137; 0.0007
1070; 0.5; 124; 0.0008
1075; 0.3; 94; 0.0008
1080; 0.0; 335; 0.0007
1085; 0.0; 106; 0.0008
1090; 0.2; 60; 0.0007
1095; 0.5; 418; 0.0006
1100; 0.5; 531; 0.0008
1105; 0.0; 80; 0.0006
1110; 1.1; 20; 0.0002
1115; 0.3; 0; 0.0000
1120; 0.3; 2; 0.0000
1125; 1.4; 5; 0.0001
1130; 1.2; 0; 0.0000
1135; 1.2; 41; 0.0003
1140; 1.6; 12; 0.0001
1145; 1.8; 24; 0.0003
1150; 1.5; 32; 0.0006
1155; 1.5; 4; 0.0000
1160; 1.5; 1; 0.0000
1165; 1.4; 35; 0.0003
1170; 2.3; 2; 0.0000
1175; 2.3; 26; 0.0003
1180; 2.1; 39; 0.0005
1185; 2.4; 42; 0.0005
1190; 3.1; 99; 0.0015
1195; 2.6; 103; 0.0017
1200; 2.7; 98; 0.0012
1205; 3.1; 67; 0.0011
1210; 3.2; 61; 0.0007
1215; 3.4; 80; 0.0010
1220; 3.4; 62; 0.0011
1225; 3.2; 107; 0.0019
1230; 3.3; 139; 0.0019
1235; 4.1; 170; 0.0028
1240; 4.3; 193; 0.0040
1245; 4.5; 257; 0.0049
1250; 4.8; 316; 0.0053
1255; 5.5; 590; 0.0111
1260; 5.9; 706; 0.0155
1265; 5.6; 847; 0.0152
1270; 5.9; 963; 0.0178
1275; 6.4; 866; 0.0167
1280; 5.9; 866; 0.0178
1285; 6.5; 883; 0.0178
1290; 7.0; 837; 0.0183
1295; 7.3; 788; 0.0198
1300; 8.1; 1072; 0.0228
1305; 7.2; 1173; 0.0233
1310; 13.7; 726; 0.0158
1315; 27.0; 301; 0.0067
1320; 36.1; 356; 0.0085
1325; 38.2; 279; 0.0071
1330; 38.0; 246; 0.0064
1335; 38.8; 187; 0.0055
1340; 40.3; 249; 0.0062
