Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
LDF board;;;;Low density fibre board (M26);;;ISO 5660;SBI Project;C990336_m26;;1;2003-08-12 14:58:42
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;7;141;55.76;91.06;91.47;27.4;11.21;NA;NA;49.35;0.0088;12;250
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.3; 19; 0.0008
5; 0.0; 0; 0.0008
10; 55.9; 77; 0.0065
15; 123.7; 103; 0.0134
20; 141.2; 136; 0.0149
25; 140.0; 131; 0.0140
30; 133.6; 131; 0.0130
35; 125.5; 122; 0.0110
40; 119.0; 106; 0.0098
45; 112.6; 89; 0.0081
50; 108.2; 99; 0.0079
55; 103.8; 79; 0.0062
60; 99.9; 75; 0.0061
65; 95.7; 60; 0.0048
70; 94.4; 59; 0.0044
75; 91.2; 55; 0.0039
80; 89.0; 50; 0.0035
85; 87.4; 44; 0.0030
90; 85.1; 39; 0.0028
95; 83.6; 36; 0.0025
100; 82.0; 33; 0.0023
105; 80.7; 30; 0.0022
110; 79.0; 31; 0.0022
115; 77.7; 26; 0.0019
120; 76.6; 24; 0.0018
125; 75.8; 20; 0.0015
130; 74.7; 17; 0.0012
135; 74.8; 17; 0.0011
140; 73.7; 14; 0.0010
145; 73.7; 12; 0.0009
150; 73.1; 9; 0.0007
155; 73.7; 10; 0.0007
160; 74.4; 10; 0.0008
165; 75.4; 9; 0.0007
170; 75.6; 11; 0.0007
175; 77.1; 8; 0.0006
180; 78.3; 11; 0.0008
185; 80.0; 10; 0.0008
190; 80.1; 10; 0.0007
195; 81.3; 12; 0.0009
200; 82.2; 11; 0.0008
205; 83.4; 12; 0.0009
210; 84.1; 15; 0.0010
215; 84.0; 18; 0.0012
220; 85.3; 23; 0.0016
225; 86.4; 29; 0.0018
230; 87.6; 31; 0.0022
235; 89.2; 30; 0.0024
240; 91.5; 36; 0.0027
245; 93.8; 48; 0.0032
250; 95.5; 55; 0.0039
255; 96.5; 53; 0.0043
260; 98.7; 60; 0.0045
265; 99.6; 69; 0.0052
270; 100.7; 68; 0.0050
275; 101.3; 64; 0.0049
280; 100.5; 72; 0.0054
285; 100.5; 77; 0.0055
290; 99.7; 77; 0.0055
295; 97.7; 80; 0.0052
300; 95.4; 80; 0.0051
305; 91.0; 74; 0.0045
310; 87.7; 59; 0.0035
315; 84.2; 54; 0.0032
320; 79.4; 54; 0.0028
325; 73.8; 43; 0.0021
330; 70.4; 46; 0.0020
335; 67.2; 35; 0.0015
340; 63.7; 30; 0.0013
345; 60.8; 36; 0.0013
350; 58.5; 34; 0.0012
355; 56.0; 27; 0.0008
360; 52.8; 21; 0.0007
365; 50.7; 22; 0.0007
370; 49.0; 33; 0.0009
375; 46.6; 21; 0.0006
380; 45.5; 19; 0.0006
385; 43.8; 27; 0.0007
390; 42.8; 45; 0.0010
395; 41.4; 45; 0.0009
400; 39.6; 44; 0.0010
405; 38.2; 44; 0.0012
410; 37.4; 50; 0.0011
415; 37.0; 49; 0.0007
420; 35.1; 29; 0.0006
425; 34.2; 31; 0.0007
430; 33.5; 57; 0.0009
435; 32.8; 57; 0.0012
440; 32.6; 46; 0.0011
445; 32.5; 47; 0.0009
450; 31.6; 52; 0.0009
455; 30.1; 45; 0.0008
460; 29.5; 37; 0.0007
465; 29.3; 37; 0.0007
470; 29.5; 25; 0.0005
475; 29.8; 36; 0.0006
480; 29.1; 36; 0.0007
485; 29.1; 49; 0.0011
490; 29.5; 72; 0.0011
495; 29.2; 97; 0.0011
500; 28.9; 54; 0.0009
505; 29.0; 41; 0.0007
510; 29.2; 46; 0.0006
515; 29.3; 48; 0.0008
520; 29.2; 52; 0.0009
525; 29.4; 55; 0.0010
530; 29.5; 69; 0.0013
535; 28.8; 86; 0.0013
540; 28.6; 99; 0.0016
545; 28.8; 62; 0.0014
550; 29.0; 70; 0.0011
555; 28.6; 99; 0.0013
560; 28.6; 134; 0.0018
