Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Pine;;;;Varnished mass timber (M05);;;ISO 5660;SBI Project;C990344_m5;;1;2003-08-12 15:11:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;218;56.92;103.55;113.34;28.3;12.36;NA;NA;55.78;0.0088;10;380
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.9; 0; 0.0003
5; 3.2; 0; 0.0003
10; 1.2; 483; 0.0021
15; 63.4; 148; 0.0120
20; 169.8; 241; 0.0322
25; 217.6; 265; 0.0352
30; 205.8; 184; 0.0260
35; 179.0; 127; 0.0153
40; 157.1; 112; 0.0116
45; 140.2; 87; 0.0087
50; 127.5; 65; 0.0065
55; 121.3; 56; 0.0053
60; 115.4; 56; 0.0050
65; 110.3; 33; 0.0029
70; 106.9; 28; 0.0024
75; 101.7; 22; 0.0019
80; 97.1; 9; 0.0008
85; 92.4; 5; 0.0004
90; 88.6; 0; 0.0000
95; 85.3; 0; 0.0000
100; 81.9; 0; 0.0000
105; 80.1; 0; 0.0000
110; 78.7; 0; 0.0000
115; 77.5; 0; 0.0000
120; 77.2; 0; 0.0000
125; 75.8; 0; 0.0000
130; 75.7; 0; 0.0000
135; 75.4; 0; 0.0000
140; 75.4; 0; 0.0000
145; 76.2; 0; 0.0000
150; 77.2; 0; 0.0000
155; 78.9; 0; 0.0000
160; 80.9; 1; 0.0001
165; 82.4; 3; 0.0002
170; 83.3; 6; 0.0004
175; 85.3; 4; 0.0003
180; 86.1; 11; 0.0008
185; 89.2; 7; 0.0005
190; 93.2; 9; 0.0006
195; 98.6; 18; 0.0014
200; 100.0; 29; 0.0022
205; 102.3; 26; 0.0020
210; 106.1; 30; 0.0023
215; 108.2; 37; 0.0030
220; 111.1; 41; 0.0035
225; 114.9; 59; 0.0048
230; 117.7; 69; 0.0058
235; 121.6; 69; 0.0062
240; 125.0; 76; 0.0067
245; 130.0; 65; 0.0058
250; 135.2; 71; 0.0070
255; 138.9; 82; 0.0082
260; 141.8; 92; 0.0088
265; 145.2; 84; 0.0085
270; 147.7; 95; 0.0095
275; 147.1; 97; 0.0096
280; 147.9; 90; 0.0089
285; 147.4; 86; 0.0081
