Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Mineral Wool;;;;(M19);;;ISO 5660;SBI Project;C990348_m19;;1;2003-08-12 15:16:22
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;0;0;0.00;0.00;0.00;2.3;0;NA;NA;0;0.0088;50;145
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0000
25; 0.0; 0; 0.0000
30; 0.0; 0; 0.0000
35; 0.0; 0; 0.0000
40; 0.0; 0; 0.0000
45; 0.0; 0; 0.0000
50; 0.0; 0; 0.0000
55; 0.0; 0; 0.0000
60; 0.0; 0; 0.0000
65; 0.0; 0; 0.0000
70; 0.0; 0; 0.0000
75; 0.0; 0; 0.0000
80; 0.0; 0; 0.0000
85; 0.0; 0; 0.0000
90; 0.0; 0; 0.0000
95; 0.0; 0; 0.0000
100; 0.0; 0; 0.0000
105; 0.0; 0; 0.0000
110; 0.0; 0; 0.0000
115; 0.0; 0; 0.0000
120; 0.0; 0; 0.0000
125; 0.0; 0; 0.0000
130; 0.0; 0; 0.0000
135; 0.0; 0; 0.0000
140; 0.0; 0; 0.0000
145; 0.0; 0; 0.0000
150; 0.0; 0; 0.0000
155; 0.0; 0; 0.0000
160; 0.0; 0; 0.0000
165; 0.0; 0; 0.0000
170; 0.0; 0; 0.0000
175; 0.0; 0; 0.0000
180; 0.0; 0; 0.0000
185; 0.0; 0; 0.0000
190; 0.0; 0; 0.0000
195; 0.0; 0; 0.0000
200; 0.0; 0; 0.0000
205; 0.0; 0; 0.0000
210; 0.0; 0; 0.0000
215; 0.0; 0; 0.0000
220; 0.0; 0; 0.0000
225; 0.0; 0; 0.0000
230; 0.0; 0; 0.0000
235; 0.0; 0; 0.0000
240; 0.0; 0; 0.0000
245; 0.0; 0; 0.0000
250; 0.0; 0; 0.0000
255; 0.0; 0; 0.0000
260; 0.0; 0; 0.0000
265; 0.0; 0; 0.0000
270; 0.0; 0; 0.0000
275; 0.0; 0; 0.0000
280; 0.0; 0; 0.0000
285; 0.0; 0; 0.0000
290; 0.0; 0; 0.0000
295; 0.0; 0; 0.0000
300; 0.0; 0; 0.0000
305; 0.0; 0; 0.0000
310; 0.0; 0; 0.0000
315; 0.0; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 0; 0.0000
335; 0.0; 0; 0.0000
340; 0.0; 0; 0.0000
345; 0.0; 0; 0.0000
350; 0.0; 0; 0.0000
355; -0.0; 0; 0.0000
360; 0.0; 0; 0.0000
365; 0.0; 0; 0.0000
370; 0.0; 0; 0.0000
375; 0.0; 0; 0.0000
380; 0.0; 0; 0.0000
385; 0.0; 0; 0.0000
390; 0.0; 0; 0.0000
395; 0.0; 0; 0.0000
400; 0.0; 0; 0.0000
405; 0.0; 0; 0.0000
410; 0.0; 0; 0.0000
415; 0.0; 0; 0.0000
420; 0.0; 0; 0.0000
425; 0.0; 0; 0.0000
430; 0.0; 0; 0.0000
435; 0.0; 0; 0.0000
440; 0.0; 0; 0.0000
445; 0.0; 0; 0.0000
450; 0.0; 0; 0.0000
455; 0.0; 0; 0.0000
460; 0.0; 0; 0.0000
465; 0.0; 0; 0.0000
470; 0.0; 0; 0.0000
475; 0.0; 0; 0.0000
480; 0.0; 0; 0.0000
485; 0.0; 0; 0.0000
490; 0.0; 0; 0.0000
495; 0.0; 0; 0.0000
500; 0.0; 0; 0.0000
505; 0.0; 0; 0.0000
510; 0.0; 0; 0.0000
515; 0.0; 0; 0.0000
520; 0.0; 0; 0.0000
525; 0.0; 0; 0.0000
530; 0.0; 0; 0.0000
535; 0.0; 0; 0.0000
540; 0.0; 0; 0.0000
545; 0.0; 0; 0.0000
550; 0.0; 0; 0.0000
555; 0.0; 0; 0.0000
560; 0.0; 0; 0.0000
565; 0.0; 0; 0.0000
570; 0.0; 0; 0.0000
575; 0.0; 0; 0.0000
580; 0.0; 0; 0.0000
585; 0.0; 0; 0.0000
590; 0.0; 0; 0.0000
595; 0.0; 0; 0.0000
600; 0.0; 0; 0.0000
605; 0.0; 0; 0.0000
610; 0.0; 0; 0.0000
615; 0.0; 0; 0.0000
620; 0.0; 0; 0.0000
625; 0.0; 0; 0.0000
630; 0.0; 0; 0.0000
635; 0.0; 0; 0.0000
640; 0.0; 0; 0.0000
645; 0.0; 0; 0.0000
650; 0.0; 0; 0.0000
655; 0.0; 0; 0.0000
660; 0.0; 0; 0.0000
665; 0.0; 0; 0.0000
670; 0.0; 0; 0.0000
675; 0.0; 0; 0.0000
680; 0.0; 0; 0.0000
685; 0.0; 0; 0.0000
690; 0.0; 0; 0.0000
695; 0.0; 0; 0.0000
700; 0.0; 0; 0.0000
705; 0.0; 0; 0.0000
710; 0.0; 0; 0.0000
715; 0.0; 0; 0.0000
720; 0.0; 0; 0.0000
725; 0.0; 0; 0.0000
730; 0.0; 0; 0.0000
735; 0.0; 0; 0.0000
740; 0.0; 0; 0.0000
745; 0.0; 0; 0.0000
750; 0.0; 0; 0.0000
755; 0.0; 0; 0.0000
760; 0.0; 0; 0.0000
765; 0.0; 0; 0.0000
770; 0.0; 0; 0.0000
775; 0.0; 0; 0.0000
780; 0.0; 0; 0.0000
785; 0.0; 0; 0.0000
790; 0.0; 0; 0.0000
795; 0.0; 0; 0.0000
800; 0.0; 0; 0.0000
805; 0.0; 0; 0.0000
810; 0.0; 0; 0.0000
815; 0.0; 0; 0.0000
820; 0.0; 0; 0.0000
825; 0.0; 0; 0.0000
830; 0.0; 0; 0.0000
835; 0.0; 0; 0.0000
840; 0.0; 0; 0.0000
845; 0.0; 0; 0.0000
850; 0.0; 0; 0.0000
