Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;EPR;;;Cable FIPEC 17 3x50 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-29 08:27:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;46;147;33.83;101.89;76.70;17.3;15.21;;;;0.008830;32.2;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.0; 152; 0.0008
10; 0.2; 0; 0.0008
20; 0.0; 0; 0.0007
30; 0.0; 0; 0.0011
40; 4.0; 386; 0.0045
50; 80.4; 157; 0.0055
60; 141.1; 102; 0.0062
70; 147.1; 50; 0.0032
80; 140.8; 55; 0.0034
90; 125.9; 72; 0.0041
100; 118.7; 50; 0.0025
110; 121.9; 81; 0.0039
120; 125.3; 142; 0.0069
130; 137.1; 198; 0.0100
140; 143.4; 240; 0.0125
150; 129.0; 243; 0.0123
160; 110.5; 212; 0.0096
170; 91.0; 132; 0.0046
180; 75.3; 52; 0.0011
190; 66.7; 9; 0.0003
200; 59.2; 6; 0.0002
210; 54.2; 0; 0.0000
220; 49.3; 0; 0.0000
230; 46.1; 0; 0.0000
240; 44.3; 2; 0.0000
250; 43.1; 3; 0.0001
260; 42.5; 5; 0.0001
270; 42.0; 4; 0.0001
280; 40.8; 11; 0.0002
290; 39.9; 12; 0.0002
300; 38.9; 11; 0.0002
310; 38.0; 13; 0.0003
320; 37.2; 9; 0.0002
330; 36.1; 10; 0.0002
340; 35.6; 10; 0.0002
350; 34.1; 12; 0.0002
360; 33.2; 14; 0.0003
370; 32.6; 10; 0.0003
380; 31.8; 10; 0.0003
390; 30.7; 14; 0.0003
400; 30.0; 11; 0.0003
410; 29.3; 7; 0.0002
420; 28.4; 12; 0.0003
430; 27.6; 10; 0.0002
440; 27.4; 10; 0.0003
450; 26.6; 15; 0.0003
460; 26.2; 18; 0.0004
470; 25.7; 15; 0.0004
480; 24.8; 18; 0.0004
490; 23.9; 17; 0.0004
500; 23.3; 16; 0.0004
510; 21.7; 22; 0.0007
520; 21.4; 31; 0.0009
530; 21.9; 30; 0.0007
540; 20.4; 27; 0.0006
550; 20.0; 60; 0.0011
560; 19.7; 40; 0.0010
570; 19.9; 32; 0.0010
580; 19.7; 34; 0.0008
590; 19.8; 46; 0.0010
600; 19.5; 29; 0.0009
610; 19.1; 34; 0.0008
620; 19.1; 53; 0.0009
630; 19.0; 38; 0.0010
640; 19.3; 41; 0.0010
650; 19.4; 32; 0.0007
660; 17.7; 48; 0.0010
670; 17.6; 47; 0.0010
680; 17.9; 50; 0.0011
690; 17.5; 49; 0.0010
700; 17.2; 50; 0.0010
710; 17.2; 46; 0.0010
720; 17.1; 45; 0.0009
730; 17.1; 49; 0.0011
740; 16.9; 62; 0.0010
750; 16.8; 49; 0.0011
760; 16.6; 45; 0.0011
770; 16.6; 37; 0.0009
