Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;EPR;;;Cable FIPEC 18 3x50 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-29 08:36:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;31;93;12.34;59.32;52.55;7.3;10.94;;;;0.008830;32.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 0; 0.0006
15; 2.8; 0; 0.0006
20; 9.8; 327; 0.0039
25; 28.1; 1110; 0.0287
30; 54.8; 803; 0.0307
35; 68.9; 544; 0.0298
40; 73.9; 486; 0.0295
45; 77.9; 577; 0.0379
50; 81.5; 576; 0.0380
55; 85.7; 574; 0.0396
60; 89.5; 584; 0.0436
65; 92.0; 628; 0.0462
70; 93.3; 649; 0.0491
75; 92.2; 671; 0.0498
80; 90.5; 622; 0.0476
85; 89.9; 660; 0.0473
90; 91.3; 647; 0.0450
95; 92.9; 542; 0.0408
100; 90.9; 583; 0.0395
105; 84.7; 545; 0.0357
110; 80.8; 408; 0.0287
115; 78.9; 514; 0.0274
120; 78.0; 428; 0.0259
125; 77.1; 393; 0.0288
130; 75.6; 516; 0.0283
135; 73.4; 553; 0.0276
140; 74.4; 442; 0.0235
145; 59.8; 286; 0.0160
150; 29.1; 263; 0.0137
155; 17.3; 165; 0.0072
160; 18.6; 120; 0.0073
165; 18.3; 112; 0.0071
170; 18.8; 124; 0.0062
175; 19.1; 116; 0.0063
180; 19.6; 115; 0.0062
185; 19.9; 116; 0.0065
190; 20.5; 109; 0.0057
195; 20.8; 108; 0.0055
200; 21.1; 105; 0.0058
205; 21.2; 97; 0.0056
210; 21.4; 96; 0.0052
215; 21.9; 97; 0.0052
220; 22.2; 85; 0.0054
225; 22.8; 96; 0.0057
230; 23.3; 108; 0.0057
235; 23.5; 111; 0.0065
240; 24.3; 110; 0.0061
245; 25.0; 110; 0.0068
250; 24.9; 60; 0.0062
