Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;EPR;;;Cable FIPEC 20 7x2.5 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-29 08:45:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;43;154;211.71;95.98;77.94;83.2;21.14;;;;0.008460;18.1;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 0; 0.0001
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0001
25; 0.0; 0; 0.0006
30; 0.0; 341; 0.0026
35; 0.0; 369; 0.0053
40; 49.8; 390; 0.0100
45; 111.1; 110; 0.0047
50; 128.6; 17; 0.0010
55; 132.6; 29; 0.0017
60; 135.4; 44; 0.0026
65; 136.8; 64; 0.0036
70; 137.9; 78; 0.0042
75; 138.2; 85; 0.0046
80; 141.8; 93; 0.0050
85; 148.6; 108; 0.0061
90; 153.8; 165; 0.0088
95; 151.6; 190; 0.0098
100; 143.1; 188; 0.0100
105; 133.7; 225; 0.0102
110; 122.5; 236; 0.0109
115; 110.0; 248; 0.0106
120; 99.5; 260; 0.0084
125; 92.4; 173; 0.0060
130; 87.4; 144; 0.0045
135; 82.1; 114; 0.0033
140; 78.5; 63; 0.0019
145; 75.8; 54; 0.0015
150; 73.5; 46; 0.0012
155; 72.4; 34; 0.0009
160; 70.4; 40; 0.0010
165; 69.1; 31; 0.0008
170; 68.6; 27; 0.0007
175; 67.7; 21; 0.0006
180; 66.7; 19; 0.0005
185; 65.6; 32; 0.0007
190; 65.5; 35; 0.0009
195; 64.8; 33; 0.0008
200; 64.4; 36; 0.0009
205; 63.3; 39; 0.0010
210; 62.1; 40; 0.0010
215; 62.1; 37; 0.0011
220; 62.1; 56; 0.0016
225; 61.0; 62; 0.0018
230; 60.8; 75; 0.0022
235; 59.9; 63; 0.0019
240; 58.0; 62; 0.0018
245; 56.6; 63; 0.0015
250; 55.6; 50; 0.0013
255; 55.3; 43; 0.0012
260; 54.3; 44; 0.0013
265; 53.6; 39; 0.0012
270; 52.5; 43; 0.0012
275; 52.5; 63; 0.0014
280; 51.8; 47; 0.0013
285; 51.2; 57; 0.0014
290; 50.7; 55; 0.0013
295; 50.0; 40; 0.0013
300; 49.2; 53; 0.0013
305; 48.1; 82; 0.0014
310; 47.5; 46; 0.0013
315; 47.2; 43; 0.0013
320; 46.9; 55; 0.0014
325; 46.3; 50; 0.0014
330; 45.9; 49; 0.0013
335; 45.3; 55; 0.0014
340; 44.9; 50; 0.0013
345; 44.8; 53; 0.0012
350; 45.0; 61; 0.0014
355; 44.4; 45; 0.0013
360; 44.0; 44; 0.0013
365; 43.5; 59; 0.0013
370; 42.9; 50; 0.0012
375; 42.9; 46; 0.0013
380; 42.8; 49; 0.0013
385; 42.7; 48; 0.0012
390; 42.0; 49; 0.0012
395; 41.6; 53; 0.0012
400; 42.1; 41; 0.0011
405; 41.6; 36; 0.0010
410; 41.3; 40; 0.0010
415; 40.8; 36; 0.0010
420; 40.1; 40; 0.0009
425; 40.1; 38; 0.0008
430; 40.1; 29; 0.0008
435; 39.9; 26; 0.0007
440; 39.8; 19; 0.0006
445; 39.8; 20; 0.0005
450; 39.8; 16; 0.0004
455; 39.5; 9; 0.0003
460; 39.4; 12; 0.0002
465; 39.3; 6; 0.0001
470; 39.2; 0; 0.0000
475; 39.2; 0; 0.0000
480; 39.3; 0; 0.0000
485; 39.0; 0; 0.0000
490; 39.1; 0; 0.0000
495; 39.3; 0; 0.0000
500; 40.3; 0; 0.0000
505; 40.2; 0; 0.0000
510; 40.2; 0; 0.0000
515; 40.4; 0; 0.0000
520; 40.3; 0; 0.0000
525; 40.3; 0; 0.0000
530; 40.7; 0; 0.0000
535; 40.2; 0; 0.0000
540; 40.6; 0; 0.0000
545; 40.3; 0; 0.0000
550; 40.0; 0; 0.0000
555; 40.2; 0; 0.0000
560; 40.1; 0; 0.0000
565; 40.3; 0; 0.0000
570; 40.1; 0; 0.0000
575; 39.6; 0; 0.0000
580; 39.6; 0; 0.0000
585; 40.2; 0; 0.0000
590; 39.8; 0; 0.0000
595; 40.3; 0; 0.0000
600; 40.3; 0; 0.0000
605; 40.2; 0; 0.0000
610; 39.9; 0; 0.0000
615; 40.0; 0; 0.0000
620; 39.8; 0; 0.0000
625; 39.7; 0; 0.0000
630; 40.1; 0; 0.0000
635; 39.7; 0; 0.0000
640; 39.6; 0; 0.0000
645; 39.7; 0; 0.0000
650; 39.4; 0; 0.0000
655; 39.2; 0; 0.0000
660; 39.3; 0; 0.0000
665; 39.1; 0; 0.0000
670; 39.1; 0; 0.0000
675; 39.0; 0; 0.0000
680; 39.0; 0; 0.0000
685; 39.3; 0; 0.0000
690; 39.5; 0; 0.0000
695; 38.9; 0; 0.0000
700; 38.8; 0; 0.0000
705; 39.1; 0; 0.0000
710; 39.1; 0; 0.0000
715; 39.1; 0; 0.0000
720; 39.2; 0; 0.0000
725; 38.9; 0; 0.0000
730; 38.8; 0; 0.0000
