Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;EPR;;;Cable FIPEC 21 7x2.5 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-29 08:52:39
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;30;103;9.39;47.41;47.41;5.8;9.16;;;;0.008830;16.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.7; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.0; 0; 0.0004
20; 0.0; 352; 0.0020
25; 27.9; 659; 0.0163
30; 73.3; 324; 0.0186
35; 93.2; 300; 0.0234
40; 95.3; 422; 0.0362
45; 98.3; 430; 0.0399
50; 97.7; 500; 0.0474
55; 93.5; 523; 0.0515
60; 93.6; 548; 0.0502
65; 94.4; 488; 0.0448
70; 94.8; 500; 0.0462
75; 95.4; 491; 0.0434
80; 95.0; 443; 0.0387
85; 96.3; 373; 0.0317
90; 99.6; 387; 0.0332
95; 103.4; 380; 0.0350
100; 80.7; 353; 0.0316
105; 33.1; 333; 0.0283
110; 14.4; 336; 0.0264
115; 16.5; 296; 0.0227
120; 17.2; 281; 0.0212
125; 16.5; 277; 0.0202
130; 15.8; 195; 0.0197
135; 16.3; 292; 0.0237
140; 16.7; 473; 0.0239
145; 16.9; 331; 0.0225
150; 16.9; 318; 0.0225
155; 16.9; 305; 0.0205
160; 17.5; 290; 0.0190
165; 17.8; 259; 0.0164
170; 18.5; 223; 0.0143
175; 19.4; 199; 0.0128
180; 20.0; 189; 0.0112
185; 20.7; 163; 0.0096
190; 21.3; 158; 0.0093
195; 21.9; 152; 0.0090
200; 22.2; 135; 0.0085
205; 22.6; 131; 0.0077
210; 23.0; 80; 0.0075
