Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC 23 24x1x1.5 mm2;Data cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-29 08:57:10
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;27;184;177.36;140.08;123.66;100.0;13.68;;;;0.007890;21.4;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 2; 0.0002
5; 0.0; 0; 0.0002
10; 9.9; 31; 0.0002
15; 31.7; 66; 0.0024
20; 57.8; 481; 0.0125
25; 94.4; 315; 0.0188
30; 118.5; 492; 0.0378
35; 129.0; 604; 0.0536
40; 141.8; 685; 0.0637
45; 147.1; 705; 0.0700
50; 147.2; 653; 0.0686
55; 147.9; 685; 0.0697
60; 153.7; 653; 0.0672
65; 165.7; 811; 0.0694
70; 179.0; 587; 0.0667
75; 183.6; 480; 0.0677
80; 178.7; 643; 0.0780
85; 173.8; 778; 0.0805
90; 170.8; 659; 0.0682
95; 166.8; 583; 0.0649
100; 159.1; 562; 0.0577
105; 150.6; 449; 0.0473
110; 149.7; 413; 0.0437
115; 153.7; 452; 0.0393
120; 155.8; 422; 0.0360
125; 150.6; 401; 0.0384
130; 143.1; 392; 0.0366
135; 137.3; 389; 0.0352
140; 132.0; 405; 0.0363
145; 129.1; 417; 0.0353
150; 124.8; 438; 0.0379
155; 121.5; 460; 0.0335
160; 121.7; 532; 0.0305
165; 118.7; 389; 0.0301
170; 117.4; 377; 0.0280
175; 118.4; 473; 0.0271
180; 116.1; 386; 0.0258
185; 116.1; 433; 0.0261
190; 115.1; 447; 0.0256
195; 110.7; 369; 0.0242
200; 105.0; 307; 0.0212
205; 101.5; 286; 0.0208
210; 101.4; 341; 0.0195
215; 99.6; 414; 0.0199
220; 98.9; 397; 0.0203
225; 96.3; 374; 0.0185
230; 95.6; 283; 0.0178
235; 95.7; 283; 0.0172
240; 95.8; 347; 0.0150
245; 97.5; 327; 0.0162
250; 99.5; 332; 0.0171
255; 96.9; 334; 0.0176
260; 95.5; 282; 0.0171
265; 96.3; 260; 0.0157
270; 96.8; 287; 0.0158
275; 94.8; 323; 0.0158
280; 92.8; 284; 0.0144
285; 92.5; 365; 0.0160
290; 95.2; 337; 0.0160
295; 97.5; 320; 0.0148
300; 101.0; 262; 0.0143
305; 104.2; 242; 0.0172
310; 106.6; 308; 0.0187
315; 106.8; 346; 0.0202
320; 107.3; 413; 0.0208
325; 108.4; 318; 0.0212
330; 109.1; 295; 0.0223
335; 108.3; 381; 0.0228
340; 105.5; 257; 0.0215
345; 104.7; 242; 0.0209
350; 105.2; 380; 0.0222
355; 104.8; 345; 0.0216
360; 102.7; 279; 0.0218
365; 101.4; 315; 0.0206
370; 101.1; 306; 0.0204
375; 100.6; 301; 0.0190
380; 100.4; 350; 0.0197
385; 102.1; 394; 0.0186
390; 103.4; 411; 0.0186
395; 104.0; 272; 0.0193
400; 103.7; 473; 0.0190
405; 104.0; 341; 0.0183
410; 105.1; 222; 0.0186
415; 104.4; 364; 0.0185
420; 105.0; 535; 0.0183
425; 105.4; 284; 0.0183
430; 106.2; 209; 0.0188
435; 107.7; 207; 0.0196
440; 107.7; 190; 0.0189
445; 107.3; 271; 0.0197
450; 106.8; 343; 0.0195
455; 106.5; 246; 0.0193
460; 104.7; 235; 0.0196
465; 105.8; 330; 0.0215
470; 107.4; 311; 0.0215
475; 107.2; 264; 0.0211
480; 108.8; 261; 0.0206
485; 109.4; 317; 0.0223
490; 108.8; 323; 0.0209
495; 110.1; 304; 0.0223
500; 110.8; 346; 0.0224
505; 110.9; 396; 0.0230
510; 112.1; 330; 0.0239
515; 113.8; 320; 0.0239
520; 115.1; 346; 0.0239
525; 116.6; 404; 0.0266
530; 117.1; 371; 0.0263
535; 118.7; 377; 0.0273
540; 119.3; 412; 0.0289
545; 118.4; 396; 0.0294
550; 118.7; 363; 0.0282
555; 120.9; 427; 0.0296
560; 121.9; 391; 0.0302
565; 122.1; 725; 0.0306
570; 123.6; 394; 0.0307
575; 124.5; 291; 0.0318
580; 124.2; 508; 0.0319
585; 124.2; 436; 0.0319
590; 125.0; 421; 0.0320
595; 125.1; 403; 0.0328
600; 125.4; 408; 0.0317
605; 124.9; 462; 0.0323
610; 124.8; 435; 0.0328
615; 123.5; 409; 0.0324
620; 124.5; 384; 0.0318
625; 126.3; 419; 0.0324
630; 124.9; 420; 0.0330
635; 124.4; 409; 0.0330
640; 124.9; 452; 0.0329
645; 125.3; 453; 0.0330
650; 125.3; 436; 0.0335
655; 126.5; 415; 0.0334
660; 127.4; 413; 0.0322
665; 128.2; 447; 0.0336
670; 127.6; 429; 0.0326
675; 125.8; 422; 0.0341
680; 125.7; 404; 0.0330
685; 127.3; 429; 0.0333
690; 128.3; 387; 0.0319
695; 127.1; 395; 0.0333
700; 128.9; 414; 0.0332
705; 129.3; 428; 0.0337
710; 129.1; 454; 0.0351
715; 130.0; 421; 0.0349
720; 130.2; 418; 0.0337
725; 131.5; 446; 0.0344
730; 132.2; 301; 0.0347
735; 132.0; 485; 0.0366
740; 131.7; 697; 0.0355
745; 131.8; 383; 0.0355
750; 131.8; 409; 0.0347
755; 133.4; 401; 0.0345
760; 133.7; 436; 0.0364
765; 133.5; 426; 0.0355
770; 133.8; 405; 0.0344
775; 133.5; 415; 0.0369
780; 134.2; 446; 0.0370
785; 135.0; 417; 0.0363
790; 135.6; 428; 0.0374
795; 134.9; 450; 0.0364
800; 135.6; 409; 0.0366
805; 135.7; 425; 0.0384
810; 135.7; 496; 0.0397
815; 137.6; 442; 0.0385
820; 139.1; 424; 0.0387
825; 138.9; 463; 0.0391
830; 139.4; 437; 0.0391
835; 140.6; 462; 0.0416
840; 140.5; 439; 0.0390
845; 142.9; 454; 0.0408
850; 143.8; 423; 0.0411
855; 143.7; 441; 0.0422
860; 144.1; 458; 0.0417
865; 146.7; 427; 0.0413
870; 145.4; 437; 0.0436
875; 143.9; 457; 0.0454
880; 145.9; 483; 0.0454
885; 149.0; 513; 0.0474
890; 150.6; 480; 0.0448
895; 150.3; 422; 0.0469
900; 150.9; 488; 0.0481
905; 153.9; 541; 0.0470
910; 156.2; 463; 0.0497
915; 157.5; 466; 0.0499
920; 157.8; 479; 0.0495
925; 160.1; 483; 0.0498
930; 161.3; 483; 0.0517
935; 159.7; 490; 0.0495
940; 156.9; 503; 0.0517
945; 156.8; 479; 0.0524
950; 156.2; 488; 0.0517
955; 156.1; 529; 0.0530
960; 157.2; 528; 0.0531
965; 155.6; 491; 0.0517
970; 152.9; 468; 0.0482
975; 149.1; 514; 0.0497
980; 147.6; 483; 0.0501
985; 149.3; 468; 0.0486
990; 148.9; 511; 0.0488
995; 145.6; 469; 0.0475
1000; 143.7; 458; 0.0458
1005; 141.3; 509; 0.0467
1010; 139.3; 473; 0.0439
1015; 137.6; 462; 0.0424
1020; 135.7; 465; 0.0430
1025; 131.8; 466; 0.0415
1030; 128.5; 466; 0.0377
1035; 125.8; 427; 0.0351
1040; 124.0; 464; 0.0350
1045; 122.6; 435; 0.0332
1050; 121.2; 472; 0.0333
1055; 120.2; 495; 0.0323
1060; 118.4; 307; 0.0295
1065; 116.3; 390; 0.0302
1070; 114.9; 655; 0.0275
1075; 112.7; 474; 0.0273
1080; 112.2; 423; 0.0273
1085; 110.1; 387; 0.0249
1090; 108.4; 410; 0.0253
1095; 107.3; 408; 0.0238
1100; 104.4; 427; 0.0244
1105; 102.7; 396; 0.0226
1110; 101.7; 406; 0.0228
1115; 100.7; 394; 0.0208
1120; 98.2; 401; 0.0203
1125; 95.2; 380; 0.0189
1130; 93.8; 331; 0.0179
1135; 91.6; 327; 0.0177
1140; 90.5; 350; 0.0163
1145; 88.1; 368; 0.0163
1150; 84.9; 322; 0.0148
1155; 82.5; 324; 0.0149
1160; 80.3; 319; 0.0131
1165; 78.4; 322; 0.0129
1170; 76.3; 283; 0.0115
1175; 72.1; 298; 0.0107
1180; 70.4; 289; 0.0099
1185; 67.8; 236; 0.0094
1190; 65.4; 231; 0.0091
1195; 63.3; 264; 0.0080
1200; 62.3; 256; 0.0068
1205; 61.8; 219; 0.0068
1210; 61.0; 237; 0.0068
1215; 60.2; 245; 0.0069
1220; 59.2; 167; 0.0063
1225; 59.6; 275; 0.0063
1230; 59.6; 295; 0.0068
1235; 60.5; 213; 0.0066
1240; 61.4; 282; 0.0071
1245; 60.3; 282; 0.0078
1250; 61.1; 285; 0.0073
1255; 61.5; 324; 0.0074
1260; 62.5; 287; 0.0079
1265; 64.3; 293; 0.0084
1270; 64.6; 424; 0.0092
1275; 65.0; 358; 0.0090
1280; 66.6; 411; 0.0092
1285; 68.5; 423; 0.0092
1290; 69.9; 368; 0.0102
1295; 70.5; 420; 0.0103
1300; 70.9; 454; 0.0118
1305; 72.6; 502; 0.0110
1310; 74.4; 459; 0.0114
1315; 75.2; 394; 0.0129
1320; 76.6; 498; 0.0137
1325; 77.7; 639; 0.0138
1330; 78.9; 572; 0.0144
1335; 80.1; 546; 0.0152
1340; 82.5; 556; 0.0147
1345; 84.0; 514; 0.0147
1350; 83.6; 710; 0.0157
1355; 83.9; 572; 0.0163
1360; 84.7; 529; 0.0166
1365; 86.0; 558; 0.0173
1370; 85.8; 612; 0.0164
1375; 86.3; 668; 0.0170
1380; 86.7; 557; 0.0163
1385; 87.7; 989; 0.0171
1390; 88.4; 535; 0.0168
1395; 87.3; 1268; 0.0176
1400; 87.6; 571; 0.0161
1405; 87.1; 331; 0.0169
1410; 87.3; 742; 0.0170
1415; 85.7; 668; 0.0168
1420; 85.8; 588; 0.0170
1425; 85.0; 582; 0.0170
1430; 83.6; 621; 0.0167
1435; 82.5; 604; 0.0160
1440; 81.0; 643; 0.0162
1445; 79.5; 663; 0.0151
1450; 78.4; 562; 0.0150
1455; 77.4; 496; 0.0140
1460; 75.6; 548; 0.0139
1465; 74.8; 599; 0.0128
1470; 73.0; 505; 0.0123
1475; 71.5; 509; 0.0126
1480; 69.5; 538; 0.0112
1485; 67.7; 472; 0.0103
1490; 66.9; 444; 0.0103
1495; 65.2; 450; 0.0099
1500; 63.2; 398; 0.0095
1505; 61.8; 363; 0.0084
1510; 60.8; 421; 0.0080
1515; 59.6; 416; 0.0079
1520; 58.2; 298; 0.0070
1525; 56.3; 309; 0.0071
1530; 54.7; 463; 0.0061
1535; 53.2; 382; 0.0058
1540; 52.0; 263; 0.0052
1545; 50.1; 225; 0.0047
1550; 49.1; 253; 0.0045
1555; 48.5; 216; 0.0042
1560; 46.5; 206; 0.0039
1565; 45.1; 0; 0.0038
1570; 44.7; 148; 0.0032
1575; 43.0; 66; 0.0030
1580; 41.9; 278; 0.0029
1585; 42.0; 168; 0.0029
1590; 41.0; 153; 0.0029
1595; 39.3; 156; 0.0028
1600; 38.3; 175; 0.0023
1605; 38.5; 182; 0.0024
1610; 37.5; 111; 0.0020
1615; 36.6; 125; 0.0018
1620; 35.9; 122; 0.0018
1625; 35.1; 108; 0.0017
1630; 34.8; 91; 0.0016
1635; 34.6; 81; 0.0015
1640; 33.6; 143; 0.0016
1645; 32.9; 129; 0.0015
1650; 31.9; 83; 0.0015
1655; 31.7; 110; 0.0013
1660; 30.2; 97; 0.0013
1665; 29.7; 98; 0.0015
1670; 29.6; 144; 0.0014
1675; 29.3; 75; 0.0012
1680; 28.6; 79; 0.0013
