Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC 28 1x3x1 mm2;Data Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:16:18
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;11;203;78.46;157.15;160.46;47.8;13.64;;;;0.008830;8.2;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 6.0; 8; 0.0005
5; 89.3; 0; 0.0005
10; 179.2; 289; 0.0205
15; 202.8; 555; 0.0902
20; 199.2; 640; 0.1175
25; 192.0; 679; 0.1222
30; 180.5; 725; 0.1216
35; 170.0; 746; 0.1130
40; 160.9; 781; 0.1095
45; 154.0; 771; 0.0980
50; 154.0; 688; 0.0815
55; 150.4; 661; 0.0742
60; 145.5; 659; 0.0706
65; 143.4; 686; 0.0692
70; 141.0; 711; 0.0656
75; 141.1; 697; 0.0619
80; 142.6; 703; 0.0598
85; 143.5; 657; 0.0606
90; 141.6; 639; 0.0599
95; 140.5; 674; 0.0564
100; 140.8; 649; 0.0536
105; 139.8; 644; 0.0549
110; 141.7; 638; 0.0533
115; 144.9; 663; 0.0546
120; 150.8; 616; 0.0547
125; 155.0; 631; 0.0597
130; 157.6; 645; 0.0643
135; 157.3; 696; 0.0680
140; 157.0; 727; 0.0678
145; 159.9; 666; 0.0673
150; 161.0; 680; 0.0677
155; 161.1; 703; 0.0676
160; 161.7; 691; 0.0701
165; 162.1; 672; 0.0714
170; 162.6; 704; 0.0713
175; 164.1; 704; 0.0711
180; 165.4; 663; 0.0731
185; 166.0; 685; 0.0732
190; 164.9; 713; 0.0737
195; 163.7; 674; 0.0739
200; 162.6; 671; 0.0735
205; 161.2; 684; 0.0716
210; 161.0; 667; 0.0707
215; 160.6; 640; 0.0687
220; 159.8; 653; 0.0681
225; 159.9; 632; 0.0655
230; 161.8; 609; 0.0648
235; 163.3; 612; 0.0665
240; 164.8; 614; 0.0675
245; 165.3; 623; 0.0679
250; 165.1; 611; 0.0671
255; 164.0; 589; 0.0679
260; 164.8; 601; 0.0676
265; 165.0; 628; 0.0688
270; 165.8; 599; 0.0677
275; 167.0; 624; 0.0710
280; 168.0; 611; 0.0718
285; 168.9; 606; 0.0721
290; 168.7; 613; 0.0731
295; 169.7; 621; 0.0742
300; 170.5; 626; 0.0746
305; 170.8; 611; 0.0736
310; 172.8; 571; 0.0758
315; 173.8; 616; 0.0737
320; 174.3; 699; 0.0761
325; 174.4; 650; 0.0792
330; 173.3; 656; 0.0783
335; 170.6; 645; 0.0779
340; 168.7; 661; 0.0778
345; 166.6; 696; 0.0786
350; 164.9; 675; 0.0757
355; 162.2; 658; 0.0727
360; 157.7; 661; 0.0715
365; 152.2; 711; 0.0712
370; 144.1; 719; 0.0666
375; 135.1; 696; 0.0629
380; 126.4; 685; 0.0578
385; 118.8; 699; 0.0524
390; 112.2; 684; 0.0490
395; 106.1; 644; 0.0421
400; 100.2; 682; 0.0387
405; 94.8; 630; 0.0333
410; 91.1; 593; 0.0295
415; 89.6; 667; 0.0274
420; 91.4; 686; 0.0258
425; 93.6; 653; 0.0267
430; 97.8; 770; 0.0295
435; 101.5; 787; 0.0317
440; 104.2; 829; 0.0366
445; 105.5; 902; 0.0378
450; 104.9; 965; 0.0372
455; 102.7; 894; 0.0378
460; 99.5; 791; 0.0358
465; 95.1; 850; 0.0336
470; 90.3; 799; 0.0295
475; 85.3; 715; 0.0265
480; 80.2; 675; 0.0229
485; 75.8; 575; 0.0189
490; 71.1; 468; 0.0152
495; 67.2; 327; 0.0119
500; 63.5; 328; 0.0092
505; 59.8; 260; 0.0066
510; 56.1; 182; 0.0050
515; 52.8; 151; 0.0035
520; 49.9; 99; 0.0025
525; 47.2; 79; 0.0021
530; 44.8; 53; 0.0013
535; 42.1; 45; 0.0010
540; 39.8; 42; 0.0010
545; 37.8; 36; 0.0008
550; 35.6; 38; 0.0008
555; 33.8; 44; 0.0009
560; 31.6; 46; 0.0010
565; 29.9; 42; 0.0010
570; 29.2; 48; 0.0010
575; 28.5; 61; 0.0011
580; 27.7; 51; 0.0011
585; 27.2; 61; 0.0011
590; 26.6; 85; 0.0014
595; 26.3; 77; 0.0014
600; 25.7; 69; 0.0013
605; 25.4; 65; 0.0013
610; 25.2; 114; 0.0012
615; 24.9; 98; 0.0013
620; 24.9; 54; 0.0013
625; 24.5; 77; 0.0012
630; 24.2; 98; 0.0012
635; 24.2; 74; 0.0011
640; 23.9; 79; 0.0011
645; 23.6; 67; 0.0009
650; 23.6; 58; 0.0008
655; 23.7; 57; 0.0009
660; 23.1; 37; 0.0006
665; 23.1; 58; 0.0006
670; 23.0; 50; 0.0006
675; 22.8; 51; 0.0006
680; 22.9; 60; 0.0006
685; 22.6; 58; 0.0006
690; 22.4; 46; 0.0005
695; 22.0; 63; 0.0009
700; 21.9; 76; 0.0007
705; 21.6; 52; 0.0006
710; 21.5; 39; 0.0007
