Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PE;;;Cable FIPEC 40  75 Ohm;Coax;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:30:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;34;302;121.11;125.43;135.71;34.7;28.85;;;;0.008460;10.2;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.2; 24; 0.0003
5; 0.4; 0; 0.0003
10; 0.0; 12; 0.0003
15; 0.0; 11; 0.0005
20; 0.7; 30; 0.0018
25; 1.6; 101; 0.0054
30; 47.7; 308; 0.0089
35; 122.0; 78; 0.0037
40; 164.6; 31; 0.0026
45; 178.2; 71; 0.0068
50; 182.3; 111; 0.0097
55; 179.4; 155; 0.0112
60; 166.6; 309; 0.0129
65; 147.2; 268; 0.0123
70; 127.9; 242; 0.0115
75; 110.4; 236; 0.0089
80; 97.4; 225; 0.0073
85; 90.2; 128; 0.0049
90; 87.5; 77; 0.0041
95; 86.7; 76; 0.0040
100; 88.1; 90; 0.0035
105; 88.6; 113; 0.0038
110; 88.5; 268; 0.0041
115; 90.8; 2718; 0.0040
120; 91.0; 132; 0.0046
125; 88.2; 122; 0.0044
130; 89.4; 70; 0.0032
135; 95.5; 63; 0.0030
140; 102.9; 156; 0.0044
145; 112.6; 203; 0.0054
150; 120.9; 169; 0.0079
155; 128.2; 242; 0.0111
160; 133.3; 327; 0.0141
165; 138.2; 445; 0.0156
170; 142.7; 321; 0.0163
175; 143.4; 315; 0.0188
180; 144.7; 1017; 0.0193
185; 145.9; 549; 0.0188
190; 147.2; 236; 0.0183
195; 148.1; 327; 0.0189
200; 147.1; 487; 0.0185
205; 144.8; 387; 0.0188
210; 143.9; 240; 0.0182
215; 143.9; 256; 0.0177
220; 143.1; 620; 0.0179
225; 141.0; 421; 0.0185
230; 140.6; 362; 0.0181
235; 142.2; 323; 0.0181
240; 143.0; 351; 0.0187
245; 145.6; 836; 0.0195
250; 148.5; 346; 0.0200
255; 148.0; 285; 0.0206
260; 147.8; 540; 0.0203
265; 150.8; 551; 0.0207
270; 150.3; 455; 0.0225
275; 150.3; 403; 0.0214
280; 152.3; 575; 0.0210
285; 152.2; 435; 0.0221
290; 154.9; 377; 0.0218
295; 157.7; 397; 0.0230
300; 155.2; 1025; 0.0231
305; 152.9; 515; 0.0224
310; 154.9; 244; 0.0221
315; 155.0; 426; 0.0232
320; 155.8; 437; 0.0227
325; 157.5; 504; 0.0220
330; 158.4; 533; 0.0226
335; 159.6; 337; 0.0231
340; 162.0; 248; 0.0217
345; 164.9; 371; 0.0235
350; 166.8; 536; 0.0246
355; 167.8; 1033; 0.0237
360; 172.1; 644; 0.0238
365; 174.6; 425; 0.0244
370; 178.9; 882; 0.0251
375; 180.9; 378; 0.0261
380; 178.6; 309; 0.0245
385; 176.2; 1112; 0.0246
390; 177.2; 635; 0.0248
395; 177.0; 534; 0.0235
400; 176.7; 1099; 0.0256
405; 176.9; 620; 0.0249
410; 176.6; 494; 0.0239
415; 180.6; 468; 0.0259
420; 185.5; 440; 0.0257
425; 186.0; 492; 0.0279
430; 188.8; 673; 0.0275
435; 195.8; 686; 0.0293
440; 204.4; 507; 0.0301
445; 208.9; 498; 0.0324
450; 213.1; 547; 0.0318
455; 219.6; 562; 0.0346
460; 230.2; 644; 0.0344
465; 241.6; 761; 0.0365
470; 249.9; 603; 0.0376
475; 258.8; 591; 0.0405
480; 270.8; 587; 0.0419
485; 280.0; 554; 0.0415
490; 289.1; 595; 0.0454
495; 300.2; 603; 0.0476
500; 302.0; 585; 0.0457
505; 295.0; 612; 0.0459
510; 293.9; 589; 0.0450
515; 295.4; 635; 0.0464
520; 286.3; 566; 0.0429
525; 278.9; 563; 0.0413
530; 279.3; 616; 0.0433
535; 278.5; 589; 0.0433
540; 277.6; 575; 0.0408
545; 279.9; 484; 0.0378
550; 278.0; 477; 0.0352
555; 273.4; 454; 0.0322
560; 272.9; 393; 0.0293
565; 267.1; 384; 0.0251
570; 260.4; 364; 0.0237
575; 250.6; 349; 0.0225
580; 238.4; 374; 0.0226
585; 224.7; 344; 0.0201
590; 215.2; 309; 0.0175
595; 201.3; 334; 0.0177
600; 187.5; 321; 0.0172
605; 176.9; 355; 0.0164
610; 163.0; 357; 0.0159
615; 151.1; 351; 0.0156
620; 144.4; 460; 0.0162
625; 138.6; 522; 0.0179
630; 130.8; 512; 0.0179
635; 122.6; 530; 0.0171
640; 114.7; 538; 0.0152
645; 107.7; 421; 0.0126
650; 100.9; 407; 0.0107
655; 95.1; 404; 0.0089
660; 90.3; 313; 0.0075
665; 85.7; 253; 0.0064
670; 80.8; 292; 0.0053
675; 76.5; 240; 0.0043
680; 71.6; 170; 0.0037
685; 67.3; 164; 0.0028
690; 63.4; 133; 0.0021
695; 59.0; 104; 0.0019
700; 55.0; 103; 0.0015
705; 51.7; 113; 0.0012
710; 49.6; 77; 0.0011
715; 48.0; 60; 0.0008
720; 46.6; 40; 0.0006
725; 44.9; 24; 0.0004
730; 43.4; 17; 0.0001
735; 41.9; 0; 0.0000
740; 41.0; 0; 0.0000
745; 39.3; 0; 0.0000
750; 37.7; 0; 0.0000
755; 36.4; 0; 0.0000
760; 34.5; 0; 0.0000
765; 33.0; 0; 0.0000
770; 31.4; 0; 0.0000
775; 29.6; 0; 0.0000
780; 28.4; 0; 0.0000
785; 27.2; 0; 0.0000
790; 26.0; 0; 0.0000
795; 25.5; 0; 0.0000
800; 24.3; 0; 0.0000
805; 23.3; 0; 0.0000
810; 23.0; 0; 0.0000
815; 21.6; 0; 0.0000
820; 20.9; 0; 0.0000
825; 20.7; 0; 0.0000
830; 19.8; 0; 0.0000
835; 19.1; 0; 0.0000
840; 18.8; 0; 0.0000
845; 18.4; 0; 0.0000
850; 17.9; 0; 0.0000
855; 17.7; 0; 0.0000
860; 17.4; 0; 0.0000
865; 17.0; 0; 0.0000
870; 16.8; 0; 0.0000
875; 16.3; 0; 0.0000
880; 16.0; 0; 0.0000
885; 15.4; 0; 0.0000
890; 15.3; 0; 0.0000
895; 15.4; 0; 0.0000
900; 14.9; 0; 0.0000
905; 14.8; 0; 0.0000
910; 14.9; 0; 0.0000
915; 14.8; 0; 0.0000
920; 14.9; 30; 0.0001
925; 14.9; 20; 0.0001
930; 15.1; 0; 0.0000
935; 15.3; 24; 0.0001
940; 15.5; 2; 0.0000
945; 15.6; 0; 0.0000
950; 15.7; 0; 0.0000
955; 15.8; 0; 0.0000
960; 16.0; 0; 0.0000
965; 15.7; 0; 0.0000
970; 15.5; 0; 0.0000
975; 15.4; 0; 0.0000
980; 15.1; 0; 0.0000
985; 15.2; 0; 0.0000
990; 15.1; 0; 0.0000
995; 15.1; 0; 0.0000
1000; 15.2; 0; 0.0000
1005; 15.1; 0; 0.0000
1010; 14.9; 0; 0.0000
1015; 14.9; 0; 0.0000
1020; 15.0; 0; 0.0000
1025; 14.7; 0; 0.0000
1030; 14.8; 0; 0.0000
1035; 14.7; 0; 0.0000
1040; 14.8; 0; 0.0000
1045; 14.7; 0; 0.0000
1050; 14.6; 0; 0.0000
1055; 14.5; 0; 0.0000
1060; 14.6; 0; 0.0000
1065; 14.7; 0; 0.0000
1070; 14.4; 0; 0.0000
1075; 14.1; 0; 0.0000
1080; 14.5; 0; 0.0000
1085; 14.7; 12; 0.0000
1090; 14.7; 43; 0.0001
1095; 14.7; 30; 0.0001
1100; 14.6; 0; 0.0004
1105; 14.6; 0; 0.0006
1110; 14.7; 127; 0.0005
1115; 14.6; 111; 0.0006
