Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;PP;;;Cable FIPEC 51 1x3x1.5 mm2;Data Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:34:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;15;234;124.35;141.23;124.78;40.0;26.57;;;;0.008840;8.7;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 45.3; 32; 0.0005
15; 168.7; 94; 0.0025
20; 233.6; 174; 0.0118
25; 223.4; 288; 0.0204
30; 213.2; 286; 0.0208
35; 200.9; 301; 0.0202
40; 190.9; 339; 0.0217
45; 181.9; 322; 0.0211
50; 171.5; 409; 0.0227
55; 168.5; 374; 0.0203
60; 164.3; 361; 0.0213
65; 160.1; 369; 0.0206
70; 161.2; 382; 0.0214
75; 159.3; 375; 0.0216
80; 157.6; 394; 0.0211
85; 155.7; 379; 0.0215
90; 151.9; 340; 0.0190
95; 147.1; 332; 0.0184
100; 143.6; 333; 0.0172
105; 141.1; 359; 0.0173
110; 137.2; 274; 0.0143
115; 133.5; 284; 0.0153
120; 131.0; 249; 0.0138
125; 128.5; 319; 0.0127
130; 123.8; 262; 0.0118
135; 120.6; 208; 0.0111
140; 118.5; 224; 0.0103
145; 114.0; 201; 0.0088
150; 111.5; 202; 0.0082
155; 109.8; 194; 0.0081
160; 106.8; 160; 0.0067
165; 104.3; 160; 0.0060
170; 101.9; 117; 0.0049
175; 99.6; 114; 0.0044
180; 98.1; 113; 0.0041
185; 97.0; 86; 0.0033
190; 96.3; 84; 0.0028
195; 95.3; 71; 0.0024
200; 94.9; 54; 0.0020
205; 94.7; 54; 0.0020
210; 94.7; 54; 0.0019
215; 95.6; 60; 0.0020
220; 96.1; 63; 0.0022
225; 96.2; 58; 0.0022
230; 96.7; 73; 0.0025
235; 97.5; 73; 0.0027
240; 98.1; 75; 0.0029
245; 98.9; 83; 0.0033
250; 100.1; 94; 0.0037
255; 100.0; 116; 0.0039
260; 100.8; 120; 0.0038
265; 100.7; 115; 0.0042
270; 100.1; 94; 0.0042
275; 100.8; 105; 0.0041
280; 101.8; 154; 0.0049
285; 102.1; 143; 0.0047
290; 103.3; 131; 0.0050
295; 103.8; 132; 0.0051
300; 103.9; 142; 0.0051
305; 104.7; 128; 0.0051
310; 105.2; 138; 0.0049
315; 105.9; 156; 0.0052
320; 106.3; 137; 0.0053
325; 106.7; 127; 0.0054
330; 107.2; 141; 0.0055
335; 107.9; 146; 0.0060
340; 107.8; 143; 0.0058
345; 109.0; 158; 0.0058
350; 110.0; 155; 0.0063
355; 110.0; 145; 0.0061
360; 110.2; 154; 0.0059
365; 110.2; 156; 0.0062
370; 110.4; 137; 0.0058
375; 110.8; 152; 0.0058
380; 110.9; 157; 0.0059
385; 110.4; 145; 0.0060
390; 110.1; 142; 0.0062
395; 109.1; 158; 0.0058
400; 108.9; 164; 0.0062
405; 108.6; 158; 0.0061
410; 108.1; 160; 0.0062
415; 108.0; 157; 0.0065
420; 108.1; 191; 0.0067
425; 107.5; 182; 0.0067
430; 108.3; 181; 0.0071
435; 108.6; 208; 0.0076
440; 107.5; 230; 0.0079
445; 107.8; 238; 0.0081
450; 108.0; 258; 0.0083
455; 108.1; 244; 0.0082
460; 109.0; 257; 0.0088
465; 110.4; 295; 0.0098
470; 111.3; 274; 0.0091
475; 111.9; 282; 0.0096
480; 113.3; 292; 0.0100
485; 116.3; 329; 0.0107
490; 117.5; 291; 0.0108
495; 119.7; 328; 0.0114
500; 122.1; 381; 0.0123
505; 124.9; 343; 0.0123
510; 127.5; 364; 0.0140
515; 130.5; 350; 0.0141
520; 131.9; 368; 0.0146
525; 133.5; 368; 0.0148
530; 135.9; 420; 0.0156
535; 136.8; 428; 0.0152
540; 138.2; 397; 0.0158
545; 138.2; 346; 0.0162
550; 140.6; 394; 0.0158
555; 140.6; 441; 0.0155
560; 139.5; 387; 0.0161
565; 138.4; 340; 0.0154
570; 138.7; 354; 0.0149
575; 140.0; 410; 0.0151
580; 139.6; 369; 0.0153
585; 138.3; 355; 0.0151
590; 135.5; 333; 0.0144
595; 134.7; 317; 0.0133
600; 133.5; 327; 0.0127
605; 131.5; 300; 0.0125
610; 129.3; 295; 0.0125
615; 127.7; 303; 0.0115
620; 125.3; 250; 0.0103
625; 121.3; 263; 0.0102
630; 119.4; 236; 0.0089
635; 117.3; 189; 0.0080
640; 113.9; 201; 0.0076
645; 112.0; 160; 0.0061
650; 108.6; 144; 0.0052
655; 105.5; 144; 0.0050
660; 104.0; 118; 0.0041
665; 101.2; 111; 0.0041
670; 97.2; 110; 0.0039
675; 94.4; 87; 0.0027
680; 91.9; 75; 0.0025
685; 91.4; 52; 0.0019
690; 89.2; 35; 0.0011
695; 86.4; 49; 0.0014
700; 84.8; 19; 0.0006
705; 83.5; 20; 0.0006
710; 82.7; 23; 0.0007
715; 81.4; 17; 0.0006
720; 80.1; 17; 0.0005
725; 78.6; 26; 0.0007
730; 77.3; 13; 0.0004
735; 76.9; 10; 0.0003
