Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;XLPE;;;Cable FIPEC 5 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:44:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;165;209;427.31;29.11;26.10;120.0;24.81;;;;0.007100;38.6;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.3; 0; 0.0000
10; 0.6; 0; 0.0000
20; 0.3; 0; 0.0000
30; 0.0; 0; 0.0009
40; 0.6; 1205; 0.0049
50; 0.7; 694; 0.0070
60; 0.1; 679; 0.0095
70; 0.1; 699; 0.0124
80; 1.1; 804; 0.0169
90; 1.6; 861; 0.0216
100; 1.8; 867; 0.0237
110; 1.6; 998; 0.0265
120; 2.7; 969; 0.0283
130; 6.3; 762; 0.0251
140; 10.6; 780; 0.0271
150; 13.3; 814; 0.0289
160; 20.7; 693; 0.0278
170; 31.0; 516; 0.0222
180; 46.2; 400; 0.0176
190; 52.3; 262; 0.0121
200; 52.6; 254; 0.0110
210; 51.9; 179; 0.0074
220; 49.2; 166; 0.0068
230; 37.8; 222; 0.0090
240; 30.4; 292; 0.0108
250; 20.1; 644; 0.0232
260; 13.7; 606; 0.0224
270; 15.8; 592; 0.0203
280; 15.8; 614; 0.0213
290; 17.7; 453; 0.0167
300; 19.8; 400; 0.0137
310; 26.0; 247; 0.0100
320; 31.3; 153; 0.0061
330; 18.7; 524; 0.0160
340; 19.2; 458; 0.0157
350; 19.1; 332; 0.0121
