Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;XLPE;;;Cable FIPEC 6 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:49:06
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;49;309;419.55;74.81;69.93;126.8;23.22;;;;0.007100;39.3;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.2; 0; 0.0000
5; 1.3; 0; 0.0000
10; 0.0; 0; 0.0005
15; 0.6; 432; 0.0022
20; 0.6; 857; 0.0143
25; 0.3; 990; 0.0199
30; 3.5; 988; 0.0343
35; 20.5; 715; 0.0328
40; 36.0; 424; 0.0227
45; 44.3; 450; 0.0266
50; 63.2; 439; 0.0276
55; 82.4; 274; 0.0197
60; 86.6; 263; 0.0183
65; 89.3; 293; 0.0187
70; 96.5; 216; 0.0151
75; 98.8; 269; 0.0192
80; 100.8; 352; 0.0233
85; 101.8; 389; 0.0271
90; 100.2; 367; 0.0269
95; 95.6; 381; 0.0263
100; 92.9; 314; 0.0227
105; 92.7; 441; 0.0236
110; 91.7; 0; 0.0190
115; 91.7; 0; 0.0151
120; 91.0; 90; 0.0149
125; 88.7; 175; 0.0112
130; 87.2; 67; 0.0115
135; 81.7; 48; 0.0146
140; 78.1; 0; 0.0126
145; 74.4; 205; 0.0089
150; 75.7; 105; 0.0115
155; 72.8; 120; 0.0091
160; 68.2; 243; 0.0138
165; 68.4; 173; 0.0104
170; 71.6; 139; 0.0082
175; 69.3; 102; 0.0061
180; 61.2; 231; 0.0121
185; 63.4; 304; 0.0136
190; 65.4; 144; 0.0081
195; 64.8; 147; 0.0091
200; 54.1; 172; 0.0101
205; 46.3; 306; 0.0173
210; 45.6; 234; 0.0149
215; 46.4; 194; 0.0137
220; 40.3; 272; 0.0180
225; 38.8; 380; 0.0167
230; 42.0; 339; 0.0133
235; 36.3; 283; 0.0145
240; 35.4; 397; 0.0189
245; 41.2; 262; 0.0128
250; 42.7; 216; 0.0119
255; 36.9; 252; 0.0133
260; 28.7; 387; 0.0187
265; 28.6; 458; 0.0218
270; 34.9; 306; 0.0138
275; 43.4; 288; 0.0131
280; 45.6; 264; 0.0120
285; 42.1; 253; 0.0119
290; 46.0; 332; 0.0135
295; 49.0; 172; 0.0083
300; 47.4; 185; 0.0119
305; 53.1; 288; 0.0133
310; 64.0; 347; 0.0131
315; 69.2; 432; 0.0185
320; 77.9; 413; 0.0197
325; 95.8; 587; 0.0260
330; 107.1; 774; 0.0343
335; 111.1; 667; 0.0348
340; 112.9; 681; 0.0353
345; 110.3; 621; 0.0341
350; 107.9; 677; 0.0321
355; 105.8; 610; 0.0280
360; 105.2; 510; 0.0264
365; 105.5; 443; 0.0212
370; 103.7; 417; 0.0189
375; 100.8; 366; 0.0167
380; 97.4; 342; 0.0143
385; 96.1; 342; 0.0135
390; 97.0; 304; 0.0131
395; 93.5; 293; 0.0134
400; 89.1; 265; 0.0108
405; 88.5; 298; 0.0108
410; 85.7; 330; 0.0128
415; 85.4; 246; 0.0103
420; 87.1; 312; 0.0124
425; 84.7; 314; 0.0109
430; 84.8; 264; 0.0104
435; 81.2; 243; 0.0093
440; 74.6; 295; 0.0095
445; 75.4; 216; 0.0074
450; 79.5; 317; 0.0106
455; 81.2; 231; 0.0085
460; 85.6; 288; 0.0103
465; 88.2; 385; 0.0132
470; 88.2; 337; 0.0115
475; 88.9; 369; 0.0125
480; 88.5; 356; 0.0124
485; 87.0; 369; 0.0124
490; 85.1; 350; 0.0129
495; 84.6; 410; 0.0132
500; 86.2; 425; 0.0134
505; 86.7; 397; 0.0135
510; 86.6; 419; 0.0134
515; 85.2; 374; 0.0117
520; 86.8; 364; 0.0122
525; 87.6; 414; 0.0128
530; 88.3; 484; 0.0132
535; 89.3; 485; 0.0137
540; 90.4; 376; 0.0134
545; 90.5; 376; 0.0132
550; 91.9; 427; 0.0137
555; 93.6; 444; 0.0133
560; 95.4; 469; 0.0138
565; 98.1; 426; 0.0136
570; 101.2; 460; 0.0142
575; 100.3; 447; 0.0149
580; 99.7; 415; 0.0146
585; 101.8; 406; 0.0144
590; 101.4; 409; 0.0140
595; 99.9; 479; 0.0147
600; 100.4; 431; 0.0139
605; 102.3; 419; 0.0148
610; 102.6; 469; 0.0142
615; 103.1; 419; 0.0138
620; 102.1; 419; 0.0144
625; 100.3; 452; 0.0147
630; 98.0; 444; 0.0147
635; 95.0; 395; 0.0131
640; 92.2; 517; 0.0130
645; 90.5; 433; 0.0124
650; 90.2; 426; 0.0141
655; 89.3; 378; 0.0120
660; 88.4; 387; 0.0128
665; 87.3; 382; 0.0123
670; 87.5; 429; 0.0122
675; 87.8; 410; 0.0122
680; 89.9; 465; 0.0135
685; 91.4; 508; 0.0152
690; 92.1; 498; 0.0151
695; 93.6; 541; 0.0153
700; 93.9; 492; 0.0156
705; 96.0; 533; 0.0163
710; 94.7; 538; 0.0161
715; 93.8; 486; 0.0136
720; 93.3; 464; 0.0133
725; 94.1; 399; 0.0125
730; 94.7; 416; 0.0123
735; 95.1; 470; 0.0124
740; 95.2; 445; 0.0140
745; 94.9; 562; 0.0145
750; 95.5; 530; 0.0150
755; 95.5; 431; 0.0146
760; 96.7; 504; 0.0142
765; 98.7; 539; 0.0170
770; 99.3; 528; 0.0179
775; 99.2; 573; 0.0178
780; 100.8; 542; 0.0168
785; 100.6; 595; 0.0181
790; 101.4; 570; 0.0169
795; 101.2; 504; 0.0169
800; 101.7; 497; 0.0177
805; 101.2; 526; 0.0175
810; 100.5; 563; 0.0178
815; 100.1; 548; 0.0177
820; 100.3; 560; 0.0182
825; 99.6; 518; 0.0165
830; 99.5; 453; 0.0163
835; 98.9; 577; 0.0172
840; 97.7; 582; 0.0174
845; 97.6; 464; 0.0169
850; 100.1; 493; 0.0161
855; 101.7; 392; 0.0146
860; 101.6; 455; 0.0135
865; 101.0; 385; 0.0118
870; 101.4; 383; 0.0153
875; 101.3; 322; 0.0126
880; 101.5; 408; 0.0146
885; 103.1; 392; 0.0141
890; 102.2; 349; 0.0132
895; 101.1; 395; 0.0141
900; 102.6; 323; 0.0118
905; 103.2; 362; 0.0132
910; 104.6; 334; 0.0126
915; 107.2; 296; 0.0110
920; 107.2; 311; 0.0114
925; 107.5; 326; 0.0129
930; 109.5; 259; 0.0116
935; 111.5; 361; 0.0137
940; 110.4; 369; 0.0131
945; 104.5; 352; 0.0140
950; 101.2; 454; 0.0168
955; 99.3; 420; 0.0176
960; 96.1; 423; 0.0164
965; 93.7; 455; 0.0163
970; 91.4; 421; 0.0154
975; 88.9; 407; 0.0143
980; 89.2; 339; 0.0130
985; 87.7; 356; 0.0135
990; 86.3; 351; 0.0120
995; 86.1; 411; 0.0134
1000; 87.3; 278; 0.0106
1005; 85.1; 251; 0.0098
1010; 82.3; 270; 0.0097
1015; 82.7; 325; 0.0116
1020; 81.1; 242; 0.0092
1025; 80.0; 260; 0.0097
1030; 79.3; 243; 0.0093
1035; 67.3; 247; 0.0097
1040; 49.2; 128; 0.0038
1045; 40.3; 39; 0.0027
1050; 39.1; 33; 0.0030
1055; 46.5; 127; 0.0037
1060; 56.9; 0; 0.0027
1065; 66.7; 87; 0.0022
1070; 71.4; 79; 0.0035
1075; 71.5; 70; 0.0026
1080; 75.4; 219; 0.0061
1085; 79.5; 319; 0.0103
1090; 79.7; 382; 0.0112
1095; 79.1; 370; 0.0097
1100; 80.0; 367; 0.0139
1105; 81.6; 365; 0.0132
1110; 81.2; 376; 0.0160
1115; 80.7; 403; 0.0152
1120; 82.7; 434; 0.0164
1125; 83.4; 341; 0.0143
1130; 83.9; 349; 0.0152
1135; 86.8; 335; 0.0133
1140; 88.3; 350; 0.0130
1145; 86.8; 275; 0.0120
1150; 86.1; 343; 0.0135
1155; 85.7; 309; 0.0130
1160; 85.8; 311; 0.0138
1165; 86.5; 352; 0.0130
1170; 88.5; 356; 0.0140
1175; 90.1; 358; 0.0147
1180; 89.8; 350; 0.0150
1185; 89.8; 372; 0.0158
1190; 92.2; 351; 0.0147
1195; 93.4; 347; 0.0153
1200; 93.2; 365; 0.0149
1205; 94.8; 284; 0.0132
1210; 96.8; 293; 0.0140
1215; 98.1; 370; 0.0165
1220; 98.9; 318; 0.0147
1225; 98.3; 316; 0.0152
1230; 99.1; 353; 0.0157
1235; 99.3; 291; 0.0151
1240; 98.3; 234; 0.0127
1245; 99.5; 352; 0.0153
1250; 100.4; 353; 0.0147
1255; 85.9; 334; 0.0148
1260; 58.5; 149; 0.0081
1265; 44.3; 134; 0.0070
1270; 38.5; 83; 0.0056
1275; 50.1; 125; 0.0069
1280; 79.1; 260; 0.0125
1285; 97.2; 367; 0.0137
1290; 100.3; 286; 0.0139
1295; 104.0; 275; 0.0158
1300; 106.3; 473; 0.0157
1305; 106.1; 356; 0.0182
1310; 107.0; 358; 0.0190
1315; 107.9; 289; 0.0164
1320; 111.6; 404; 0.0197
1325; 113.2; 377; 0.0195
1330; 112.5; 380; 0.0222
1335; 112.7; 431; 0.0215
1340; 115.8; 491; 0.0255
1345; 118.2; 446; 0.0241
1350; 119.0; 390; 0.0223
1355; 120.8; 370; 0.0221
1360; 123.4; 414; 0.0226
1365; 122.9; 408; 0.0237
1370; 123.1; 409; 0.0245
1375; 124.1; 457; 0.0242
1380; 121.8; 459; 0.0246
1385; 122.7; 426; 0.0257
1390; 124.8; 454; 0.0250
1395; 127.0; 421; 0.0253
1400; 127.1; 423; 0.0272
1405; 127.1; 451; 0.0259
1410; 126.0; 495; 0.0282
1415; 126.8; 445; 0.0248
1420; 129.5; 486; 0.0270
1425; 130.8; 433; 0.0260
1430; 129.8; 439; 0.0264
1435; 131.5; 459; 0.0269
1440; 133.5; 432; 0.0269
1445; 136.4; 447; 0.0269
1450; 142.2; 414; 0.0252
1455; 143.4; 248; 0.0161
1460; 143.5; 301; 0.0193
1465; 143.3; 351; 0.0224
1470; 142.0; 479; 0.0307
1475; 143.5; 499; 0.0326
1480; 145.2; 469; 0.0305
1485; 145.8; 490; 0.0302
1490; 148.8; 504; 0.0323
1495; 148.4; 481; 0.0309
1500; 148.0; 501; 0.0323
1505; 148.1; 530; 0.0339
1510; 149.3; 561; 0.0356
1515; 149.3; 572; 0.0387
1520; 149.7; 576; 0.0379
1525; 154.3; 663; 0.0438
1530; 158.0; 683; 0.0452
1535; 165.1; 724; 0.0470
1540; 174.3; 757; 0.0487
1545; 174.6; 738; 0.0503
1550; 177.0; 801; 0.0537
1555; 178.6; 773; 0.0506
1560; 179.1; 782; 0.0510
1565; 180.8; 825; 0.0530
1570; 183.4; 774; 0.0505
1575; 189.3; 868; 0.0548
1580; 189.8; 781; 0.0532
1585; 188.3; 848; 0.0521
1590; 183.7; 829; 0.0485
1595; 181.8; 756; 0.0494
1600; 182.0; 820; 0.0486
1605; 179.8; 833; 0.0481
1610; 177.2; 735; 0.0465
1615; 177.9; 804; 0.0476
1620; 176.9; 850; 0.0464
1625; 177.1; 744; 0.0449
1630; 175.9; 724; 0.0443
1635; 172.9; 816; 0.0459
1640; 172.9; 778; 0.0457
1645; 173.2; 804; 0.0468
1650; 173.9; 836; 0.0459
1655; 174.0; 774; 0.0464
1660; 171.3; 747; 0.0452
1665; 171.7; 762; 0.0452
