Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;XLPE;;;Cable FIPEC 7 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 08:54:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;56;235;512.58;92.10;79.74;111.2;31.66;;;;0.007100;38.1;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.9; 9; 0.0000
10; 2.7; 0; 0.0000
20; 0.0; 0; 0.0000
30; 0.0; 144; 0.0002
40; 0.0; 189; 0.0012
50; 0.0; 228; 0.0031
60; 28.2; 213; 0.0061
70; 101.0; 103; 0.0049
80; 123.2; 89; 0.0048
90; 117.7; 72; 0.0037
100; 112.8; 77; 0.0034
110; 109.6; 85; 0.0034
120; 105.6; 91; 0.0037
130; 101.2; 101; 0.0038
140; 96.2; 98; 0.0036
150; 94.0; 97; 0.0035
160; 91.4; 105; 0.0034
170; 88.4; 100; 0.0031
180; 84.0; 108; 0.0032
190; 81.4; 107; 0.0030
200; 78.8; 101; 0.0029
210; 75.7; 98; 0.0027
220; 73.1; 95; 0.0025
230; 70.9; 89; 0.0023
240; 69.4; 82; 0.0019
250; 67.7; 69; 0.0016
260; 66.1; 60; 0.0014
270; 65.1; 51; 0.0012
280; 63.7; 50; 0.0012
290; 62.8; 41; 0.0009
300; 61.9; 51; 0.0011
310; 61.1; 64; 0.0013
320; 60.5; 52; 0.0011
330; 59.9; 36; 0.0008
340; 58.0; 34; 0.0007
350; 57.3; 25; 0.0005
360; 56.3; 40; 0.0008
370; 55.5; 41; 0.0007
380; 54.8; 21; 0.0004
390; 54.0; 39; 0.0007
400; 54.3; 68; 0.0012
410; 54.0; 21; 0.0004
420; 53.2; 18; 0.0003
430; 52.6; 36; 0.0006
440; 52.7; 55; 0.0010
450; 51.8; 42; 0.0008
460; 51.1; 56; 0.0009
470; 51.0; 61; 0.0009
480; 50.4; 39; 0.0007
490; 50.1; 0; 0.0000
500; 49.4; 0; 0.0000
510; 48.7; 16; 0.0003
520; 48.6; 29; 0.0004
530; 48.1; 13; 0.0002
540; 47.5; 25; 0.0004
550; 47.1; 0; 0.0000
560; 47.3; 0; 0.0000
570; 46.6; 10; 0.0001
580; 46.8; 0; 0.0000
590; 46.6; 0; 0.0000
600; 45.7; 0; 0.0000
610; 45.2; 0; 0.0000
620; 45.6; 0; 0.0000
630; 45.5; 0; 0.0000
640; 44.8; 0; 0.0000
650; 44.4; 0; 0.0000
660; 44.6; 1; 0.0000
670; 44.2; 24; 0.0004
680; 44.2; 16; 0.0002
690; 44.7; 0; 0.0000
700; 45.2; 0; 0.0000
710; 45.6; 1; 0.0000
720; 46.6; 12; 0.0002
730; 46.3; 5; 0.0001
740; 45.7; 1; 0.0000
750; 44.8; 0; 0.0000
760; 45.2; 0; 0.0000
770; 43.7; 0; 0.0000
780; 43.3; 0; 0.0000
790; 42.1; 17; 0.0003
800; 40.6; 34; 0.0005
810; 40.3; 42; 0.0006
