Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;XLPE;;;Cable FIPEC 08 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 09:39:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;5;169;404.43;144.55;139.47;154.8;21.85;;;;0.008800;46;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0448
10; 74.8; 537; 0.0448
20; 153.4; 1187; 0.1581
30; 163.5; 1200; 0.1521
40; 161.8; 1194; 0.1459
50; 163.4; 1141; 0.1351
60; 159.1; 1072; 0.1190
70; 150.7; 984; 0.1024
80; 148.3; 940; 0.0922
90; 146.6; 870; 0.0833
100; 144.9; 888; 0.0798
110; 140.6; 855; 0.0746
120; 141.2; 815; 0.0741
130; 140.0; 812; 0.0698
140; 136.4; 824; 0.0662
150; 133.3; 856; 0.0676
160; 131.4; 816; 0.0654
170; 131.2; 823; 0.0657
180; 131.0; 790; 0.0639
190; 133.7; 785; 0.0654
200; 136.3; 729; 0.0606
210; 140.6; 746; 0.0649
220; 143.4; 761; 0.0680
230; 142.9; 817; 0.0715
240; 142.7; 825; 0.0694
250; 140.0; 847; 0.0686
260; 136.4; 787; 0.0640
270; 133.0; 726; 0.0596
280; 130.2; 747; 0.0594
290; 123.5; 658; 0.0512
300; 117.5; 658; 0.0494
310; 111.9; 635; 0.0448
320; 103.9; 593; 0.0416
330; 98.8; 600; 0.0390
340; 96.3; 600; 0.0390
350; 94.9; 585; 0.0378
360; 93.8; 660; 0.0390
370; 90.7; 642; 0.0369
380; 89.7; 656; 0.0359
390; 88.0; 730; 0.0390
400; 87.9; 693; 0.0371
410; 84.6; 643; 0.0349
420; 82.2; 647; 0.0329
430; 79.2; 640; 0.0306
440; 76.6; 603; 0.0287
450; 75.8; 590; 0.0284
460; 74.2; 615; 0.0279
470; 74.8; 660; 0.0289
480; 75.0; 592; 0.0280
490; 73.9; 612; 0.0276
500; 74.7; 632; 0.0276
510; 74.4; 599; 0.0270
520; 74.9; 593; 0.0272
530; 75.6; 598; 0.0277
540; 76.5; 596; 0.0269
550; 77.9; 587; 0.0274
560; 77.5; 582; 0.0266
570; 78.6; 612; 0.0268
580; 80.3; 592; 0.0264
590; 81.7; 622; 0.0269
600; 81.3; 634; 0.0264
610; 80.5; 609; 0.0250
620; 80.6; 596; 0.0243
630; 80.9; 603; 0.0244
640; 81.1; 614; 0.0240
650; 82.2; 614; 0.0250
660; 83.4; 642; 0.0258
670; 85.5; 659; 0.0267
680; 87.4; 699; 0.0285
690; 89.0; 733; 0.0287
700; 89.9; 730; 0.0295
710; 89.7; 713; 0.0284
720; 89.6; 686; 0.0286
730; 89.5; 726; 0.0297
740; 89.7; 758; 0.0290
750; 91.1; 755; 0.0299
760; 92.3; 755; 0.0309
770; 94.0; 764; 0.0310
780; 95.7; 843; 0.0327
790; 95.3; 805; 0.0328
800; 95.7; 774; 0.0325
810; 96.3; 821; 0.0330
820; 96.1; 841; 0.0334
830; 95.7; 838; 0.0323
840; 95.3; 805; 0.0327
850; 94.8; 800; 0.0328
860; 94.0; 819; 0.0324
870; 94.7; 803; 0.0332
880; 96.2; 806; 0.0344
890; 97.3; 819; 0.0351
900; 97.3; 863; 0.0348
910; 99.2; 837; 0.0354
920; 99.5; 811; 0.0366
930; 100.8; 888; 0.0382
940; 104.2; 894; 0.0395
950; 106.3; 874; 0.0403
960; 107.6; 889; 0.0417
970; 109.0; 888; 0.0439
980; 111.9; 909; 0.0454
990; 112.6; 943; 0.0472
1000; 114.2; 944; 0.0474
1010; 114.4; 951; 0.0466
1020; 115.4; 958; 0.0486
1030; 117.6; 948; 0.0499
1040; 117.9; 947; 0.0497
1050; 118.5; 943; 0.0506
1060; 118.8; 976; 0.0529
1070; 120.8; 1003; 0.0542
1080; 122.8; 955; 0.0553
1090; 126.2; 1011; 0.0580
1100; 128.7; 1042; 0.0597
1110; 130.5; 1006; 0.0608
1120; 132.7; 1012; 0.0618
1130; 134.1; 1003; 0.0636
1140; 136.5; 1039; 0.0658
1150; 139.3; 1053; 0.0671
1160; 139.3; 1026; 0.0680
1170; 141.4; 1020; 0.0696
1180; 144.6; 1060; 0.0726
1190; 146.1; 1008; 0.0720
1200; 147.9; 1026; 0.0743
1210; 150.0; 1096; 0.0776
1220; 151.4; 1058; 0.0770
1230; 152.7; 1017; 0.0785
1240; 153.4; 1018; 0.0794
1250; 156.3; 1061; 0.0805
1260; 157.0; 1051; 0.0823
1270; 159.2; 1025; 0.0823
1280; 162.0; 1057; 0.0836
1290; 162.0; 1037; 0.0824
1300; 161.0; 1049; 0.0835
1310; 158.5; 1031; 0.0798
1320; 157.0; 1048; 0.0790
1330; 154.7; 1046; 0.0800
1340; 153.5; 1043; 0.0790
1350; 151.2; 1029; 0.0769
1360; 150.1; 1021; 0.0748
1370; 148.4; 1021; 0.0739
1380; 148.1; 1031; 0.0760
1390; 147.3; 1025; 0.0752
1400; 147.2; 1023; 0.0732
1410; 147.8; 1036; 0.0734
1420; 145.9; 990; 0.0703
1430; 144.4; 1021; 0.0692
1440; 145.2; 1021; 0.0724
1450; 151.5; 974; 0.0713
1460; 153.8; 1025; 0.0712
1470; 151.6; 1018; 0.0716
1480; 149.5; 1014; 0.0714
1490; 147.1; 1029; 0.0709
1500; 147.2; 1035; 0.0703
1510; 145.3; 1018; 0.0684
1520; 143.6; 1036; 0.0682
1530; 144.3; 1066; 0.0698
1540; 144.6; 1011; 0.0673
1550; 144.9; 1080; 0.0687
