Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;XLPE;;;Cable FIPEC 09 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 09:46:03
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;7;142;411.03;95.78;89.25;148.6;23.76;;;;0.008800;45;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0122
10; 0.4; 524; 0.0122
20; 62.1; 350; 0.0265
30; 99.7; 204; 0.0211
40; 113.9; 277; 0.0296
50; 119.6; 312; 0.0326
60; 119.4; 333; 0.0335
70; 116.2; 300; 0.0298
80; 109.1; 267; 0.0251
90; 103.5; 256; 0.0225
100; 98.8; 226; 0.0186
110; 90.9; 202; 0.0168
120; 89.3; 204; 0.0169
130; 89.4; 266; 0.0212
140; 89.8; 304; 0.0244
150; 90.7; 274; 0.0216
160; 86.2; 241; 0.0185
170; 81.0; 241; 0.0171
180; 78.5; 241; 0.0169
190; 78.0; 247; 0.0175
200; 77.3; 275; 0.0189
210; 79.9; 269; 0.0187
220; 81.0; 339; 0.0185
230; 81.2; 288; 0.0185
240; 81.3; 258; 0.0202
250; 82.2; 374; 0.0246
260; 82.5; 371; 0.0245
270; 81.8; 399; 0.0249
280; 81.0; 431; 0.0270
290; 78.5; 406; 0.0263
300; 75.7; 438; 0.0259
310; 73.6; 428; 0.0236
320; 72.3; 384; 0.0203
330; 69.9; 395; 0.0203
340; 67.8; 388; 0.0189
350; 66.1; 383; 0.0180
360; 65.7; 371; 0.0177
370; 64.9; 346; 0.0165
380; 64.2; 350; 0.0164
390; 63.2; 353; 0.0154
400; 62.2; 318; 0.0139
410; 61.1; 309; 0.0138
420; 59.7; 360; 0.0154
430; 59.4; 386; 0.0160
440; 60.1; 385; 0.0160
450; 61.2; 393; 0.0161
460; 61.1; 428; 0.0164
470; 61.2; 442; 0.0164
480; 59.5; 442; 0.0162
490; 58.4; 408; 0.0154
500; 57.0; 388; 0.0148
510; 55.4; 378; 0.0137
520; 53.4; 338; 0.0118
530; 51.8; 304; 0.0106
540; 50.5; 287; 0.0097
550; 49.1; 218; 0.0071
560; 46.3; 233; 0.0074
570; 44.8; 202; 0.0068
580; 43.3; 186; 0.0062
590; 42.2; 165; 0.0054
600; 41.6; 170; 0.0053
610; 40.4; 173; 0.0052
620; 39.2; 175; 0.0054
630; 37.8; 172; 0.0050
640; 37.6; 183; 0.0056
650; 37.3; 172; 0.0051
660; 38.2; 184; 0.0052
670; 37.8; 212; 0.0060
680; 38.0; 176; 0.0049
690; 37.0; 192; 0.0052
700; 37.3; 186; 0.0047
710; 37.6; 220; 0.0049
720; 37.7; 182; 0.0048
730; 37.4; 169; 0.0046
740; 37.6; 194; 0.0046
750; 37.1; 173; 0.0045
760; 37.2; 215; 0.0053
770; 37.5; 233; 0.0052
780; 37.4; 216; 0.0053
790; 37.8; 224; 0.0057
800; 38.8; 246; 0.0060
810; 38.7; 265; 0.0062
820; 38.4; 277; 0.0064
830; 39.2; 285; 0.0068
840; 38.8; 291; 0.0071
850; 39.1; 265; 0.0067
860; 40.7; 264; 0.0071
870; 41.3; 282; 0.0068
880; 41.6; 282; 0.0072
890; 42.0; 232; 0.0064
900; 42.5; 284; 0.0070
910; 43.1; 296; 0.0076
920; 44.0; 300; 0.0080
930; 45.1; 298; 0.0081
940; 45.5; 347; 0.0093
950; 47.2; 376; 0.0095
960; 48.0; 379; 0.0105
970; 48.8; 391; 0.0104
980; 49.4; 423; 0.0111
990; 50.3; 418; 0.0119
1000; 51.8; 433; 0.0124
1010; 53.2; 434; 0.0130
1020; 53.3; 425; 0.0130
1030; 54.3; 473; 0.0135
1040; 55.1; 392; 0.0125
1050; 57.0; 429; 0.0138
1060; 59.8; 483; 0.0141
1070; 60.6; 444; 0.0139
1080; 63.1; 499; 0.0156
1090; 65.4; 489; 0.0161
1100; 67.0; 466; 0.0159
1110; 69.3; 510; 0.0170
1120; 72.3; 543; 0.0188
1130; 74.7; 564; 0.0194
1140; 77.2; 558; 0.0202
1150; 78.9; 527; 0.0209
1160; 81.3; 580; 0.0212
1170; 83.1; 597; 0.0233
1180; 85.1; 585; 0.0237
1190; 86.0; 642; 0.0245
1200; 87.7; 632; 0.0248
1210; 89.7; 617; 0.0258
1220; 90.9; 605; 0.0258
1230; 92.0; 655; 0.0273
1240; 93.0; 617; 0.0272
1250; 93.3; 643; 0.0278
1260; 94.7; 644; 0.0287
1270; 94.8; 654; 0.0295
1280; 95.1; 706; 0.0298
1290; 95.7; 696; 0.0306
1300; 95.9; 657; 0.0306
1310; 96.9; 673; 0.0314
1320; 98.0; 695; 0.0325
1330; 98.6; 707; 0.0330
1340; 100.0; 703; 0.0338
1350; 100.7; 715; 0.0358
1360; 101.4; 690; 0.0353
1370; 101.1; 692; 0.0358
1380; 101.7; 710; 0.0359
1390; 103.0; 697; 0.0362
1400; 103.2; 681; 0.0373
1410; 103.1; 701; 0.0384
1420; 102.5; 680; 0.0374
1430; 102.4; 677; 0.0377
1440; 103.2; 699; 0.0385
1450; 101.6; 684; 0.0382
1460; 103.2; 681; 0.0389
1470; 103.2; 675; 0.0394
1480; 103.3; 647; 0.0386
1490; 103.0; 656; 0.0392
1500; 102.7; 637; 0.0389
1510; 102.5; 600; 0.0383
1520; 103.9; 633; 0.0406
1530; 102.8; 612; 0.0396
1540; 102.5; 605; 0.0392
1550; 100.7; 622; 0.0382
1560; 97.8; 629; 0.0370
1570; 96.3; 639; 0.0355
1580; 93.9; 638; 0.0341
1590; 90.5; 615; 0.0332
1600; 89.3; 607; 0.0311
1610; 86.8; 550; 0.0282
1620; 85.5; 551; 0.0275
1630; 82.5; 513; 0.0246
1640; 81.5; 549; 0.0250
1650; 80.5; 544; 0.0244
1660; 79.0; 525; 0.0236
1670; 78.7; 559; 0.0240
1680; 79.1; 537; 0.0247
1690; 78.9; 532; 0.0239
1700; 78.4; 560; 0.0235
1710; 78.3; 567; 0.0247
1720; 78.7; 551; 0.0241
1730; 80.0; 573; 0.0244
1740; 80.3; 565; 0.0244
1750; 81.5; 572; 0.0254
1760; 82.3; 583; 0.0256
1770; 82.7; 624; 0.0263
1780; 83.0; 624; 0.0271
1790; 83.3; 629; 0.0274
1800; 86.6; 690; 0.0290
1810; 87.7; 684; 0.0299
1820; 89.1; 695; 0.0311
1830; 90.4; 729; 0.0312
1840; 90.9; 727; 0.0327
1850; 91.4; 677; 0.0320
1860; 91.9; 719; 0.0324
1870; 93.1; 706; 0.0320
1880; 93.6; 735; 0.0325
1890; 93.6; 704; 0.0318
1900; 93.9; 717; 0.0316
1910; 93.4; 751; 0.0316
1920; 93.1; 707; 0.0309
1930; 94.2; 718; 0.0309
1940; 93.0; 722; 0.0309
1950; 91.6; 712; 0.0308
1960; 89.3; 670; 0.0280
1970; 87.5; 672; 0.0268
1980; 86.4; 673; 0.0266
1990; 84.9; 647; 0.0256
2000; 84.7; 660; 0.0256
2010; 83.0; 626; 0.0250
2020; 83.1; 634; 0.0250
2030; 83.7; 669; 0.0246
2040; 83.0; 674; 0.0251
2050; 82.1; 634; 0.0242
2060; 82.7; 631; 0.0238
2070; 83.6; 681; 0.0248
2080; 82.5; 700; 0.0239
2090; 81.6; 743; 0.0230
2100; 81.4; 715; 0.0228
2110; 81.4; 687; 0.0229
2120; 80.4; 723; 0.0217
2130; 79.0; 667; 0.0204
2140; 78.3; 602; 0.0195
2150; 77.6; 657; 0.0199
2160; 77.3; 637; 0.0186
2170; 76.4; 647; 0.0186
2180; 76.7; 638; 0.0185
2190; 76.5; 651; 0.0181
2200; 75.9; 671; 0.0176
2210; 76.5; 653; 0.0180
2220; 76.9; 604; 0.0181
2230; 77.1; 705; 0.0184
2240; 77.2; 697; 0.0176
2250; 76.9; 584; 0.0170
2260; 77.0; 616; 0.0169
2270; 77.7; 630; 0.0174
2280; 77.8; 620; 0.0166
2290; 78.4; 673; 0.0170
2300; 80.7; 682; 0.0176
2310; 80.5; 615; 0.0163
2320; 81.7; 588; 0.0161
2330; 81.9; 594; 0.0160
2340; 83.1; 672; 0.0174
2350; 84.3; 707; 0.0173
2360; 85.4; 752; 0.0183
2370; 87.4; 652; 0.0174
2380; 88.7; 680; 0.0190
2390; 90.1; 737; 0.0193
2400; 92.1; 768; 0.0203
2410; 92.8; 696; 0.0193
2420; 94.0; 773; 0.0202
2430; 95.8; 746; 0.0207
2440; 95.7; 699; 0.0199
2450; 98.5; 894; 0.0221
2460; 97.8; 862; 0.0211
2470; 99.1; 796; 0.0224
2480; 101.3; 789; 0.0215
2490; 102.2; 827; 0.0222
2500; 103.5; 786; 0.0221
2510; 104.5; 847; 0.0231
2520; 105.7; 870; 0.0233
2530; 107.9; 815; 0.0234
2540; 108.1; 794; 0.0235
2550; 109.2; 868; 0.0234
2560; 109.8; 867; 0.0234
2570; 110.6; 867; 0.0237
2580; 111.2; 831; 0.0235
2590; 111.7; 800; 0.0235
2600; 112.0; 856; 0.0231
2610; 111.9; 858; 0.0234
2620; 112.3; 828; 0.0236
2630; 113.6; 894; 0.0249
2640; 114.6; 823; 0.0239
2650; 117.1; 822; 0.0256
2660; 117.5; 906; 0.0264
2670; 120.3; 978; 0.0271
2680; 121.2; 981; 0.0284
2690; 123.8; 946; 0.0293
2700; 125.8; 932; 0.0300
2710; 127.1; 1037; 0.0302
2720; 129.3; 947; 0.0299
2730; 129.8; 950; 0.0304
2740; 131.6; 990; 0.0313
2750; 133.7; 1018; 0.0318
2760; 135.1; 1030; 0.0322
2770; 137.7; 977; 0.0329
2780; 138.9; 1000; 0.0325
2790; 139.5; 1027; 0.0338
2800; 140.0; 988; 0.0333
2810; 141.1; 1013; 0.0356
2820; 140.9; 1021; 0.0336
2830; 140.9; 1072; 0.0341
2840; 141.1; 925; 0.0335
2850; 141.4; 1113; 0.0342
2860; 141.2; 1066; 0.0338
2870; 142.2; 982; 0.0343
2880; 140.4; 985; 0.0327
2890; 139.8; 938; 0.0331
2900; 138.8; 1041; 0.0328
2910; 138.0; 1008; 0.0317
2920; 137.1; 950; 0.0306
2930; 135.4; 984; 0.0306
2940; 134.2; 953; 0.0297
2950; 133.5; 988; 0.0304
2960; 131.6; 961; 0.0292
2970; 130.2; 949; 0.0290
2980; 129.1; 981; 0.0276
2990; 127.2; 951; 0.0265
3000; 126.6; 812; 0.0261
3010; 126.2; 875; 0.0257
3020; 123.4; 1019; 0.0258
3030; 120.3; 926; 0.0245
3040; 120.0; 909; 0.0247
3050; 118.7; 894; 0.0241
3060; 116.9; 829; 0.0226
3070; 115.6; 862; 0.0223
3080; 114.4; 840; 0.0211
3090; 114.3; 814; 0.0213
3100; 112.9; 834; 0.0208
3110; 112.8; 831; 0.0202
3120; 111.4; 757; 0.0188
3130; 110.0; 797; 0.0189
3140; 109.3; 794; 0.0191
3150; 108.4; 759; 0.0187
3160; 107.4; 743; 0.0184
3170; 106.7; 708; 0.0173
3180; 106.1; 749; 0.0168
3190; 104.6; 796; 0.0168
3200; 103.5; 744; 0.0161
3210; 102.5; 692; 0.0156
3220; 102.5; 671; 0.0158
3230; 100.7; 611; 0.0143
3240; 100.2; 629; 0.0139
3250; 100.4; 635; 0.0139
3260; 99.3; 647; 0.0140
3270; 98.3; 611; 0.0128
3280; 98.1; 613; 0.0130
3290; 97.2; 623; 0.0131
3300; 96.6; 619; 0.0131
3310; 95.7; 591; 0.0120
3320; 95.0; 620; 0.0115
3330; 94.5; 542; 0.0113
3340; 94.3; 569; 0.0121
3350; 94.0; 596; 0.0115
3360; 92.6; 568; 0.0105
3370; 92.3; 588; 0.0114
3380; 91.8; 539; 0.0112
3390; 91.4; 612; 0.0104
3400; 90.5; 534; 0.0101
3410; 89.8; 522; 0.0103
