Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
POlyolefin;XLPE;;;Cable FIPEC 10 3x1x150 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 09:52:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;29;148;560.29;114.15;96.34;142.0;34.53;;;;0.008800;45;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 150; 0.0012
10; 0.0; 0; 0.0012
20; 0.0; 986; 0.0018
30; 3.2; 301; 0.0083
40; 97.8; 205; 0.0128
50; 141.4; 202; 0.0154
60; 144.1; 210; 0.0152
70; 147.3; 276; 0.0199
80; 148.2; 314; 0.0220
90; 143.3; 316; 0.0212
100; 136.9; 323; 0.0200
110; 129.9; 307; 0.0176
120; 119.6; 248; 0.0136
130; 113.0; 226; 0.0117
140; 106.4; 189; 0.0091
150; 101.2; 162; 0.0072
160; 96.9; 137; 0.0058
170; 92.7; 113; 0.0046
180; 89.9; 106; 0.0041
190; 87.4; 80; 0.0030
200; 84.6; 82; 0.0028
210; 82.6; 71; 0.0025
220; 80.8; 69; 0.0024
230; 78.5; 45; 0.0014
240; 77.0; 33; 0.0011
250; 74.7; 31; 0.0011
260; 73.1; 29; 0.0009
270; 71.3; 18; 0.0005
280; 69.9; 23; 0.0006
290; 68.5; 12; 0.0003
300; 66.5; 8; 0.0002
310; 64.2; 0; 0.0000
320; 61.9; 0; 0.0000
330; 60.3; 0; 0.0000
340; 58.4; 0; 0.0000
350; 56.9; 0; 0.0000
360; 55.1; 0; 0.0000
370; 53.6; 0; 0.0000
380; 52.3; 0; 0.0000
390; 50.5; 0; 0.0000
400; 49.2; 0; 0.0000
410; 48.1; 0; 0.0000
420; 46.9; 0; 0.0000
430; 45.8; 0; 0.0000
440; 44.8; 0; 0.0000
450; 44.1; 0; 0.0000
460; 42.9; 0; 0.0000
470; 42.0; 0; 0.0000
480; 41.5; 0; 0.0000
490; 40.9; 0; 0.0000
500; 39.3; 0; 0.0000
510; 38.7; 0; 0.0000
520; 38.2; 0; 0.0000
530; 37.6; 5; 0.0001
540; 36.7; 0; 0.0000
550; 36.5; 7; 0.0001
560; 35.9; 6; 0.0001
570; 34.9; 11; 0.0002
580; 35.0; 18; 0.0003
590; 34.7; 11; 0.0002
600; 34.0; 0; 0.0000
610; 33.4; 0; 0.0000
620; 32.6; 0; 0.0000
630; 31.7; 0; 0.0000
640; 31.3; 0; 0.0000
650; 31.3; 2; 0.0000
660; 30.8; 0; 0.0000
670; 30.0; 0; 0.0000
680; 29.3; 6; 0.0001
690; 29.3; 5; 0.0001
700; 28.9; 6; 0.0001
710; 28.2; 13; 0.0003
720; 27.6; 5; 0.0001
730; 26.9; 11; 0.0002
740; 27.0; 18; 0.0003
750; 26.3; 30; 0.0005
760; 26.1; 12; 0.0002
770; 25.8; 45; 0.0008
780; 25.3; 40; 0.0007
790; 25.1; 23; 0.0004
800; 24.6; 11; 0.0002
810; 24.7; 7; 0.0001
820; 24.1; 7; 0.0001
830; 23.9; 16; 0.0003
840; 23.4; 8; 0.0001
850; 23.0; 0; 0.0000
860; 22.6; 0; 0.0000
870; 22.4; 0; 0.0000
880; 22.0; 4; 0.0001
890; 21.8; 1; 0.0000
900; 21.7; 29; 0.0005
910; 21.1; 0; 0.0000
920; 20.8; 0; 0.0000
930; 21.1; 0; 0.0000
940; 20.7; 0; 0.0000
950; 20.3; 0; 0.0000
960; 20.1; 0; 0.0000
970; 20.1; 0; 0.0000
980; 20.1; 0; 0.0000
990; 19.6; 0; 0.0000
1000; 19.4; 0; 0.0000
1010; 19.2; 0; 0.0000
1020; 19.1; 0; 0.0000
1030; 19.3; 0; 0.0000
1040; 19.3; 0; 0.0000
1050; 19.5; 0; 0.0000
