Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;XLPE;;;Cable FIPEC 12 1x95 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 10:03:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;9;357;164.65;102.56;103.95;71.1;18.40;;;;0.008200;17.7;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.3; 15; 0.0005
5; 2.1; 0; 0.0005
10; 25.3; 785; 0.0362
15; 80.4; 293; 0.0303
20; 115.0; 317; 0.0357
25; 122.2; 246; 0.0295
30; 130.0; 344; 0.0443
35; 134.0; 334; 0.0424
40; 103.1; 403; 0.0490
45; 49.5; 584; 0.0617
50; 23.9; 490; 0.0502
55; 17.3; 446; 0.0460
60; 39.0; 383; 0.0406
65; 86.4; 431; 0.0448
70; 110.1; 594; 0.0547
75; 114.2; 743; 0.0555
80; 117.4; 986; 0.0529
85; 117.2; 1281; 0.0531
90; 117.6; 363; 0.0577
95; 116.4; 263; 0.0594
100; 116.4; 459; 0.0612
105; 114.0; 692; 0.0668
110; 111.5; 686; 0.0639
115; 111.4; 700; 0.0648
120; 110.7; 657; 0.0638
125; 110.3; 706; 0.0630
130; 110.3; 805; 0.0672
135; 108.6; 774; 0.0620
140; 107.9; 770; 0.0638
145; 109.2; 837; 0.0652
150; 109.2; 820; 0.0612
155; 108.7; 838; 0.0639
160; 109.6; 942; 0.0655
165; 110.3; 969; 0.0661
170; 109.4; 1011; 0.0626
175; 108.5; 1070; 0.0587
180; 107.9; 956; 0.0569
185; 105.9; 973; 0.0532
190; 106.5; 1096; 0.0509
195; 105.8; 966; 0.0502
200; 104.1; 1031; 0.0477
205; 103.1; 1046; 0.0425
210; 100.1; 1007; 0.0403
215; 98.3; 927; 0.0369
220; 95.9; 852; 0.0342
225; 95.5; 932; 0.0347
230; 94.7; 952; 0.0333
235; 92.3; 844; 0.0307
240; 93.2; 773; 0.0305
245; 94.1; 786; 0.0318
250; 97.6; 932; 0.0353
