Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;XLPE;;;Cable FIPEC 13 1x95 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-09-30 16:07:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;24;311;239.40;116.72;94.15;67.2;28.50;;;;0.008200;18.1;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.3; 0; 0.0000
5; 3.1; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.4; 21; 0.0002
20; 0.0; 164; 0.0042
25; 45.7; 178; 0.0116
30; 138.8; 110; 0.0102
35; 181.4; 200; 0.0175
40; 185.7; 256; 0.0220
45; 179.8; 273; 0.0226
50; 173.5; 265; 0.0203
55; 167.3; 280; 0.0218
60; 162.7; 306; 0.0232
65; 157.6; 344; 0.0238
70; 154.7; 374; 0.0253
75; 149.5; 378; 0.0243
80; 142.2; 384; 0.0243
85; 134.3; 412; 0.0236
90; 128.7; 432; 0.0218
95; 126.5; 355; 0.0205
100; 123.9; 361; 0.0203
105; 122.1; 406; 0.0191
110; 121.3; 371; 0.0202
115; 117.3; 374; 0.0184
120; 113.8; 368; 0.0175
125; 109.2; 297; 0.0143
130; 106.0; 347; 0.0138
135; 102.1; 279; 0.0118
140; 98.6; 269; 0.0108
145; 94.9; 235; 0.0077
150; 90.7; 201; 0.0069
155; 87.5; 125; 0.0053
160; 83.4; 138; 0.0049
165; 81.4; 91; 0.0031
170; 79.2; 92; 0.0031
175; 78.1; 77; 0.0025
180; 76.4; 72; 0.0023
185; 74.9; 61; 0.0019
190; 74.0; 71; 0.0024
195; 73.1; 61; 0.0018
200; 72.4; 55; 0.0017
205; 71.9; 93; 0.0022
210; 71.6; 77; 0.0022
215; 70.8; 58; 0.0022
220; 69.8; 66; 0.0021
225; 69.2; 65; 0.0017
230; 68.0; 48; 0.0015
235; 67.1; 52; 0.0013
240; 66.1; 38; 0.0010
245; 65.4; 24; 0.0007
250; 64.2; 29; 0.0006
255; 63.3; 16; 0.0005
260; 62.1; 7; 0.0002
265; 60.4; 1; 0.0000
270; 59.9; 0; 0.0000
275; 59.3; 0; 0.0000
280; 57.7; 0; 0.0000
285; 57.0; 0; 0.0000
290; 56.4; 0; 0.0000
295; 54.9; 0; 0.0000
300; 54.5; 0; 0.0000
305; 53.4; 0; 0.0000
310; 52.6; 0; 0.0000
315; 51.8; 0; 0.0000
320; 51.6; 0; 0.0000
325; 50.6; 0; 0.0000
330; 50.9; 0; 0.0000
335; 50.7; 0; 0.0000
340; 50.6; 0; 0.0000
345; 51.9; 0; 0.0000
350; 53.3; 0; 0.0000
355; 53.9; 0; 0.0000
360; 54.7; 0; 0.0000
365; 55.4; 0; 0.0000
370; 56.5; 0; 0.0000
375; 57.4; 0; 0.0000
380; 57.4; 0; 0.0000
385; 57.4; 0; 0.0000
390; 58.2; 0; 0.0000
395; 59.5; 0; 0.0000
400; 60.1; 0; 0.0000
405; 60.9; 0; 0.0000
410; 61.5; 0; 0.0000
415; 63.2; 0; 0.0000
420; 64.6; 0; 0.0000
425; 65.7; 0; 0.0000
430; 66.6; 0; 0.0000
435; 68.8; 0; 0.0000
440; 71.4; 0; 0.0000
445; 73.1; 7; 0.0002
450; 74.7; 0; 0.0000
455; 74.2; 21; 0.0005
460; 75.0; 18; 0.0005
465; 75.2; 22; 0.0006
470; 74.7; 22; 0.0006
475; 74.7; 10; 0.0003
480; 75.1; 17; 0.0004
485; 75.5; 14; 0.0003
490; 75.6; 18; 0.0005
495; 75.3; 0; 0.0000
500; 74.4; 7; 0.0002
505; 74.8; 0; 0.0000
510; 74.0; 0; 0.0000
515; 73.7; 0; 0.0000
520; 73.3; 0; 0.0000
525; 73.8; 10; 0.0003
530; 73.7; 0; 0.0000
535; 73.8; 0; 0.0000
540; 73.3; 0; 0.0000
545; 73.9; 3; 0.0001
550; 74.1; 0; 0.0000
555; 73.6; 0; 0.0000
560; 73.3; 0; 0.0000
565; 73.3; 0; 0.0000
570; 74.2; 0; 0.0000
575; 73.7; 0; 0.0000
580; 73.8; 0; 0.0000
585; 74.5; 0; 0.0000
590; 75.1; 0; 0.0000
595; 74.4; 0; 0.0000
600; 74.6; 3; 0.0001
605; 74.7; 0; 0.0000
610; 75.8; 0; 0.0000
615; 76.8; 3; 0.0001
620; 78.4; 4; 0.0001
625; 79.6; 13; 0.0004
630; 81.0; 27; 0.0008
635; 82.4; 23; 0.0007
640; 82.6; 37; 0.0011
645; 82.3; 33; 0.0011
650; 83.5; 41; 0.0013
655; 83.8; 11; 0.0003
660; 83.6; 13; 0.0004
665; 83.7; 26; 0.0009
670; 85.1; 33; 0.0010
675; 84.5; 32; 0.0010
680; 84.6; 36; 0.0011
685; 85.0; 30; 0.0009
690; 85.8; 28; 0.0008
695; 86.7; 40; 0.0013
700; 87.8; 45; 0.0014
705; 88.9; 43; 0.0014
710; 89.5; 48; 0.0018
715; 90.1; 43; 0.0014
720; 90.2; 64; 0.0019
725; 91.5; 63; 0.0022
730; 92.2; 63; 0.0024
735; 92.8; 65; 0.0022
740; 94.2; 87; 0.0026
745; 93.7; 92; 0.0031
750; 94.5; 74; 0.0027
755; 93.7; 89; 0.0032
