Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;XLPE;;;cable FIPEC-14 1x95 mm2 ;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:03:19
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;6;358;187.89;132.50;115.78;80.7;19.39;;;;0.008600;22;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0011
5; 41.8; 41; 0.0011
10; 127.7; 944; 0.0966
15; 162.7; 1024; 0.1459
20; 166.3; 1106; 0.1524
25; 168.7; 1080; 0.1453
30; 165.1; 1034; 0.1384
35; 160.9; 1030; 0.1254
40; 158.4; 1070; 0.1215
45; 155.5; 988; 0.1146
50; 153.1; 959; 0.1066
55; 152.3; 972; 0.1024
60; 149.0; 940; 0.0986
65; 148.0; 916; 0.0956
70; 146.8; 987; 0.0949
75; 145.0; 998; 0.0999
80; 143.4; 941; 0.0953
85; 141.7; 983; 0.0913
90; 139.6; 965; 0.0871
95; 135.0; 927; 0.0788
100; 133.7; 892; 0.0762
105; 131.6; 878; 0.0742
110; 126.5; 841; 0.0687
115; 122.4; 867; 0.0645
120; 119.7; 831; 0.0636
125; 117.6; 796; 0.0609
130; 117.0; 792; 0.0584
135; 116.4; 788; 0.0587
140; 117.2; 831; 0.0603
145; 116.5; 742; 0.0557
150; 116.1; 787; 0.0570
155; 114.6; 747; 0.0552
160; 112.6; 708; 0.0556
165; 110.9; 792; 0.0567
170; 106.1; 807; 0.0552
175; 102.0; 731; 0.0513
180; 97.3; 704; 0.0489
185; 91.8; 755; 0.0436
190; 88.9; 792; 0.0417
195; 86.6; 681; 0.0379
200; 84.8; 710; 0.0357
205; 85.0; 739; 0.0353
210; 85.3; 665; 0.0338
215; 84.3; 683; 0.0338
220; 84.0; 739; 0.0324
225; 82.7; 618; 0.0307
230; 82.4; 550; 0.0293
235; 82.6; 602; 0.0294
240; 83.0; 584; 0.0271
245; 84.0; 611; 0.0274
250; 86.1; 511; 0.0262
255; 87.7; 516; 0.0285
260; 89.9; 570; 0.0295
265; 90.8; 549; 0.0297
270; 93.2; 542; 0.0311
275; 95.6; 528; 0.0323
280; 96.8; 543; 0.0334
285; 98.1; 579; 0.0355
290; 101.1; 550; 0.0370
295; 102.9; 572; 0.0385
300; 105.0; 611; 0.0398
305; 106.7; 631; 0.0412
310; 108.0; 593; 0.0439
315; 109.8; 563; 0.0439
320; 113.3; 624; 0.0468
325; 115.5; 643; 0.0496
330; 119.7; 677; 0.0522
335; 124.3; 659; 0.0540
340; 128.8; 657; 0.0581
345; 133.5; 662; 0.0598
350; 138.5; 668; 0.0632
355; 139.1; 647; 0.0656
360; 144.5; 709; 0.0692
365; 148.7; 723; 0.0731
370; 152.3; 715; 0.0770
375; 156.4; 769; 0.0824
380; 160.8; 696; 0.0808
385; 163.1; 728; 0.0862
390; 167.5; 750; 0.0881
395; 171.0; 740; 0.0903
400; 172.8; 763; 0.0933
405; 174.5; 774; 0.0972
410; 174.3; 739; 0.0905
415; 176.3; 785; 0.0960
420; 176.7; 737; 0.0958
425; 178.8; 765; 0.0977
430; 179.5; 802; 0.0977
435; 181.4; 755; 0.0991
440; 182.3; 805; 0.1050
445; 183.5; 840; 0.1033
450; 186.8; 810; 0.1065
455; 188.8; 835; 0.1084
460; 189.3; 881; 0.1095
465; 191.8; 830; 0.1073
470; 194.1; 846; 0.1116
475; 194.7; 927; 0.1157
480; 198.5; 930; 0.1178
485; 198.8; 975; 0.1202
490; 202.4; 955; 0.1154
495; 201.9; 956; 0.1175
500; 201.3; 997; 0.1178
505; 201.1; 986; 0.1147
510; 199.9; 977; 0.1139
515; 198.9; 951; 0.1074
520; 199.4; 1026; 0.1107
525; 199.2; 1036; 0.1074
530; 198.7; 971; 0.1025
535; 196.8; 968; 0.1023
540; 198.8; 1089; 0.1058
545; 200.3; 1097; 0.1021
550; 199.7; 999; 0.1017
555; 200.2; 1030; 0.0976
560; 202.7; 1206; 0.1021
565; 202.3; 1072; 0.0990
570; 207.1; 1095; 0.0991
575; 212.1; 1055; 0.0971
580; 213.8; 1091; 0.1022
585; 215.5; 1134; 0.0959
590; 215.8; 1172; 0.1000
595; 215.9; 1101; 0.0944
600; 218.3; 1194; 0.0964
605; 219.1; 1175; 0.0949
610; 221.3; 1124; 0.0900
615; 223.3; 1225; 0.0897
620; 225.6; 1219; 0.0872
625; 226.0; 1128; 0.0866
630; 228.0; 1147; 0.0828
635; 228.5; 1162; 0.0825
640; 233.3; 1098; 0.0801
645; 237.9; 1146; 0.0843
650; 242.9; 1187; 0.0824
655; 249.6; 1279; 0.0846
660; 259.3; 1102; 0.0821
665; 274.4; 1103; 0.0885
670; 288.5; 1191; 0.0933
675; 302.3; 1139; 0.0957
680; 312.4; 1087; 0.0965
685; 319.9; 1190; 0.0974
690; 325.0; 1193; 0.0998
695; 333.9; 1141; 0.1004
700; 335.8; 1161; 0.1057
705; 346.3; 1121; 0.1059
710; 350.6; 1183; 0.1069
715; 355.3; 1124; 0.1035
720; 355.3; 1099; 0.1035
725; 357.7; 1121; 0.1047
730; 356.1; 1121; 0.1015
735; 346.9; 1172; 0.0993
740; 343.0; 1097; 0.0979
745; 337.6; 1100; 0.0992
750; 336.2; 1183; 0.0978
755; 332.3; 1205; 0.1027
760; 332.3; 1143; 0.1022
765; 331.7; 1212; 0.0998
770; 335.0; 1185; 0.1020
775; 326.1; 1099; 0.0944
780; 322.1; 1260; 0.0955
785; 314.0; 1051; 0.0967
790; 307.5; 979; 0.0926
795; 301.1; 1214; 0.0928
800; 296.3; 1195; 0.0883
805; 294.2; 1219; 0.0907
810; 288.5; 1176; 0.0863
815; 281.5; 1151; 0.0843
820; 275.4; 1132; 0.0823
825; 265.6; 1114; 0.0785
830; 261.7; 1197; 0.0775
835; 253.7; 1188; 0.0758
840; 244.9; 1141; 0.0732
845; 236.1; 1123; 0.0679
850; 230.1; 1153; 0.0643
855; 222.1; 1155; 0.0671
860; 212.5; 1080; 0.0603
865; 204.8; 1128; 0.0588
870; 196.0; 1019; 0.0555
875; 187.2; 1034; 0.0507
880; 180.8; 1160; 0.0504
885; 173.0; 1088; 0.0478
890; 165.1; 1026; 0.0452
895; 157.8; 995; 0.0412
900; 149.4; 973; 0.0370
905; 144.4; 952; 0.0358
910; 137.5; 944; 0.0337
915; 128.7; 950; 0.0296
920; 120.5; 795; 0.0272
925; 114.5; 817; 0.0260
930; 110.0; 888; 0.0221
935; 104.4; 649; 0.0196
940; 98.5; 643; 0.0171
945; 92.7; 623; 0.0150
950; 88.5; 433; 0.0122
955; 82.9; 450; 0.0099
960; 78.0; 438; 0.0083
965; 74.1; 316; 0.0067
970; 69.5; 242; 0.0052
975; 65.6; 236; 0.0044
980; 61.5; 197; 0.0034
985; 58.2; 153; 0.0025
990; 54.5; 91; 0.0018
995; 51.8; 83; 0.0014
1000; 49.5; 94; 0.0015
1005; 46.9; 76; 0.0012
1010; 45.2; 103; 0.0014
1015; 42.5; 100; 0.0013
1020; 40.8; 117; 0.0014
1025; 38.7; 75; 0.0014
1030; 36.8; 132; 0.0014
1035; 35.7; 87; 0.0010
1040; 34.8; 63; 0.0011
1045; 34.1; 69; 0.0007
1050; 32.9; 122; 0.0010
1055; 31.8; 62; 0.0008
1060; 31.4; 42; 0.0008
1065; 29.9; 103; 0.0010
1070; 28.3; 138; 0.0013
1075; 28.1; 101; 0.0011
1080; 27.5; 113; 0.0011
1085; 27.5; 82; 0.0012
1090; 27.1; 232; 0.0016
1095; 25.9; 405; 0.0013
1100; 26.0; 101; 0.0015
1105; 25.4; 85; 0.0014
1110; 24.6; 100; 0.0013
1115; 24.5; 117; 0.0014
1120; 23.6; 119; 0.0010
1125; 23.7; 134; 0.0012
1130; 23.0; 172; 0.0013
1135; 22.7; 94; 0.0009
1140; 22.4; 98; 0.0012
1145; 22.3; 104; 0.0013
1150; 22.0; 125; 0.0011
1155; 21.4; 147; 0.0014
1160; 21.5; 161; 0.0014
1165; 21.5; 233; 0.0012
1170; 20.9; 120; 0.0013
1175; 20.5; 112; 0.0012
1180; 20.5; 113; 0.0014
1185; 20.5; 147; 0.0015
1190; 19.9; 275; 0.0015
1195; 19.3; 234; 0.0015
1200; 19.7; 138; 0.0013
1205; 19.4; 172; 0.0016
1210; 19.3; 186; 0.0016
1215; 19.4; 145; 0.0014
1220; 19.3; 179; 0.0014
1225; 19.0; 132; 0.0013
1230; 19.1; 195; 0.0012
1235; 18.9; 147; 0.0011
1240; 18.6; 85; 0.0012
1245; 18.6; 424; 0.0017
