Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;XLPE;;;cable FIPEC-15 1x95 mm2 ;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:08:29
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;36;452;180.25;81.47;70.76;87.8;16.94;;;;0.008600;22.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 20; 0.0014
5; 8.9; 0; 0.0014
10; 57.9; 606; 0.0306
15; 105.4; 330; 0.0387
20; 118.4; 254; 0.0304
25; 119.3; 242; 0.0301
30; 122.1; 258; 0.0310
35; 124.8; 343; 0.0404
40; 130.3; 471; 0.0580
45; 133.9; 473; 0.0553
50; 127.5; 498; 0.0584
55; 121.3; 443; 0.0527
60; 117.4; 426; 0.0457
65; 113.3; 365; 0.0361
70; 112.2; 395; 0.0405
75; 110.2; 327; 0.0334
80; 106.9; 343; 0.0304
85; 107.3; 317; 0.0266
90; 105.7; 193; 0.0173
95; 101.8; 296; 0.0248
100; 96.8; 299; 0.0224
105; 92.9; 256; 0.0189
110; 89.5; 401; 0.0294
115; 88.0; 445; 0.0311
120; 82.5; 386; 0.0264
125; 78.9; 434; 0.0265
130; 75.2; 425; 0.0264
135; 71.0; 404; 0.0266
140; 67.8; 394; 0.0238
145; 65.1; 423; 0.0219
150; 62.3; 427; 0.0203
155; 59.6; 337; 0.0169
160; 58.0; 298; 0.0131
165; 55.7; 283; 0.0128
170; 55.0; 250; 0.0119
175; 54.7; 281; 0.0122
180; 53.7; 260; 0.0119
185; 53.6; 224; 0.0105
190; 53.9; 252; 0.0115
195; 53.6; 245; 0.0109
200; 53.3; 272; 0.0124
205; 53.2; 282; 0.0127
210; 53.8; 295; 0.0132
215; 54.7; 368; 0.0144
220; 55.1; 354; 0.0137
225; 55.8; 328; 0.0140
230; 55.2; 319; 0.0132
235; 55.0; 348; 0.0127
240; 55.4; 298; 0.0121
