Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;XLPE;;;cable FIPEC-16 1x95 mm2;Low Voltage 0.6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:18:11
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;22;353;290.10;81.83;72.25;97.1;25.85;;;;0.008800;25;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.6; 2; 0.0001
5; 0.8; 0; 0.0001
10; 0.0; 0; 0.0004
15; 0.6; 113; 0.0014
20; 1.9; 218; 0.0052
25; 41.0; 150; 0.0061
30; 89.1; 36; 0.0022
35; 108.1; 58; 0.0037
40; 118.3; 113; 0.0066
45; 122.8; 159; 0.0093
50; 123.4; 190; 0.0115
55; 122.0; 225; 0.0136
60; 116.3; 207; 0.0126
65; 112.3; 230; 0.0123
70; 106.1; 264; 0.0117
75; 101.1; 237; 0.0111
80; 96.6; 203; 0.0096
85; 90.9; 180; 0.0077
90; 87.4; 173; 0.0069
95; 84.1; 145; 0.0059
100; 81.2; 148; 0.0052
105; 78.1; 129; 0.0043
110; 75.7; 97; 0.0034
115; 73.4; 82; 0.0029
120; 71.4; 55; 0.0020
125; 69.9; 55; 0.0018
130; 68.1; 59; 0.0016
135; 66.7; 43; 0.0015
140; 65.9; 34; 0.0013
145; 65.1; 42; 0.0012
150; 64.0; 30; 0.0009
155; 64.3; 30; 0.0009
160; 63.9; 32; 0.0009
165; 63.9; 29; 0.0009
170; 63.5; 27; 0.0009
175; 63.2; 35; 0.0011
180; 63.9; 29; 0.0009
185; 63.5; 23; 0.0008
190; 64.2; 33; 0.0012
195; 63.6; 28; 0.0009
200; 62.1; 33; 0.0012
205; 61.8; 32; 0.0011
210; 61.6; 26; 0.0009
215; 61.3; 28; 0.0008
220; 60.8; 42; 0.0010
225; 60.9; 32; 0.0010
230; 60.6; 25; 0.0008
235; 60.4; 26; 0.0008
240; 59.8; 28; 0.0008
245; 59.5; 22; 0.0006
250; 58.9; 19; 0.0006
255; 58.3; 28; 0.0008
260; 57.7; 22; 0.0006
265; 58.1; 18; 0.0005
270; 56.7; 19; 0.0005
275; 56.8; 10; 0.0003
280; 57.0; 18; 0.0005
285; 56.5; 27; 0.0006
290; 56.3; 15; 0.0004
295; 55.8; 9; 0.0003
300; 55.5; 10; 0.0003
305; 55.4; 8; 0.0002
310; 54.7; 13; 0.0003
315; 54.3; 23; 0.0005
320; 54.1; 20; 0.0005
325; 53.8; 9; 0.0003
330; 53.5; 4; 0.0001
335; 53.8; 14; 0.0003
340; 53.6; 7; 0.0002
345; 53.2; 15; 0.0005
350; 52.7; 10; 0.0002
355; 53.2; 14; 0.0003
360; 52.2; 11; 0.0003
365; 51.3; 11; 0.0003
370; 51.5; 8; 0.0002
375; 51.5; 10; 0.0002
380; 51.5; 13; 0.0003
385; 51.4; 9; 0.0002
390; 51.3; 3; 0.0001
395; 50.9; 19; 0.0004
400; 50.7; 7; 0.0002
405; 50.3; 9; 0.0003
410; 49.5; 11; 0.0003
415; 49.2; 13; 0.0004
420; 49.8; 7; 0.0002
425; 48.5; 0; 0.0000
430; 48.4; 6; 0.0001
435; 47.7; 14; 0.0004
440; 47.3; 6; 0.0002
445; 46.9; 11; 0.0003
450; 46.6; 6; 0.0002
455; 46.9; 8; 0.0002
460; 46.5; 3; 0.0001
465; 46.2; 13; 0.0003
470; 45.6; 0; 0.0000
475; 44.9; 0; 0.0000
480; 44.3; 2; 0.0001
485; 44.3; 11; 0.0003
490; 44.5; 6; 0.0002
495; 44.2; 7; 0.0002
500; 43.6; 10; 0.0003
505; 43.3; 5; 0.0001
510; 42.8; 0; 0.0000
515; 42.6; 0; 0.0000
520; 41.9; 1; 0.0000
525; 41.6; 6; 0.0002
530; 40.9; 0; 0.0000
535; 40.8; 1; 0.0000
540; 40.8; 7; 0.0002
545; 40.7; 3; 0.0001
550; 40.2; 0; 0.0000
555; 40.0; 6; 0.0002
