Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;PEF;;;cable FIPEC-38 4x2x0,2 mm2;Data cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:24:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;10;111;17.92;66.38;50.66;18.7;5.20;;;;0.008800;4.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 5.6; 0; 0.0118
5; 30.8; 150; 0.0118
10; 77.3; 143; 0.0195
15; 108.3; 379; 0.0474
20; 110.0; 444; 0.0473
25; 100.4; 482; 0.0435
30; 90.9; 451; 0.0343
35; 85.5; 393; 0.0304
40; 83.6; 401; 0.0294
45; 84.8; 403; 0.0310
50; 91.6; 395; 0.0358
55; 101.6; 411; 0.0441
60; 110.7; 397; 0.0503
65; 110.9; 377; 0.0515
70; 94.2; 258; 0.0314
75; 74.8; 221; 0.0243
80; 60.3; 219; 0.0272
85; 54.6; 242; 0.0331
90; 55.1; 258; 0.0382
95; 60.9; 254; 0.0418
100; 67.4; 229; 0.0416
105; 71.0; 233; 0.0429
110; 71.1; 231; 0.0421
115; 69.8; 223; 0.0392
120; 67.3; 206; 0.0344
125; 64.6; 167; 0.0271
130; 62.7; 143; 0.0216
135; 59.8; 122; 0.0169
140; 56.8; 96; 0.0127
145; 51.9; 76; 0.0094
150; 46.5; 71; 0.0074
155; 41.6; 90; 0.0082
160; 37.4; 121; 0.0097
165; 33.8; 182; 0.0122
170; 31.3; 227; 0.0132
175; 30.0; 283; 0.0134
180; 29.5; 271; 0.0117
185; 29.3; 265; 0.0097
190; 29.1; 299; 0.0086
195; 29.9; 283; 0.0081
200; 29.7; 275; 0.0071
205; 29.2; 274; 0.0064
210; 29.9; 294; 0.0055
215; 29.7; 253; 0.0050
220; 29.4; 227; 0.0044
225; 28.7; 250; 0.0043
230; 28.2; 258; 0.0039
235; 28.0; 232; 0.0036
240; 28.8; 195; 0.0033
245; 30.2; 217; 0.0033
250; 29.1; 238; 0.0027
255; 27.4; 275; 0.0029
260; 26.8; 230; 0.0026
265; 26.2; 184; 0.0027
270; 26.0; 158; 0.0026
275; 25.7; 338; 0.0022
280; 25.8; 258; 0.0021
285; 25.2; 141; 0.0021
290; 24.6; 284; 0.0020
295; 24.4; 254; 0.0021
300; 23.8; 243; 0.0022
305; 23.5; 226; 0.0021
310; 23.2; 218; 0.0020
315; 22.6; 225; 0.0019
320; 22.3; 166; 0.0020
325; 22.1; 274; 0.0020
330; 22.0; 233; 0.0017
335; 21.6; 234; 0.0018
340; 21.2; 247; 0.0019
345; 20.8; 201; 0.0018
350; 20.9; 252; 0.0019
355; 20.5; 231; 0.0017
360; 20.4; 326; 0.0018
365; 20.0; 164; 0.0015
370; 19.9; 204; 0.0015
375; 19.7; 199; 0.0012
380; 19.3; 224; 0.0016
385; 19.1; 191; 0.0014
390; 18.9; 143; 0.0014
395; 18.6; 256; 0.0012
400; 19.0; 140; 0.0011
