Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;XLPE;;;Cable FIPEC-03 1x150 mm2;Medium Voltage 12/20 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:32:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;15;723;532.35;134.81;121.64;130.9;26.57;;;;0.006580;35;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.6; 36; 0.0008
5; 3.7; 0; 0.0008
10; 4.9; 0; 0.0013
15; 0.0; 108; 0.0024
20; 43.7; 501; 0.0328
25; 116.5; 694; 0.0644
30; 142.4; 738; 0.0719
35; 143.9; 874; 0.0772
40; 150.7; 823; 0.0771
45; 155.9; 823; 0.0764
50; 159.5; 902; 0.0784
55; 159.3; 859; 0.0724
60; 155.8; 776; 0.0656
65; 152.3; 764; 0.0626
70; 150.4; 664; 0.0572
75; 152.4; 725; 0.0608
80; 155.3; 705; 0.0585
85; 153.0; 617; 0.0504
90; 143.8; 739; 0.0489
95; 139.6; 633; 0.0457
100; 133.5; 557; 0.0405
105; 131.7; 642; 0.0440
110; 134.3; 650; 0.0474
115; 138.7; 636; 0.0462
120; 134.1; 558; 0.0401
125; 131.4; 571; 0.0394
130; 131.6; 646; 0.0406
135; 126.7; 589; 0.0387
140; 125.6; 535; 0.0374
145; 125.8; 624; 0.0396
150; 127.0; 609; 0.0397
155; 125.7; 526; 0.0373
160; 124.4; 514; 0.0345
165; 123.4; 504; 0.0322
170; 122.6; 524; 0.0332
175; 121.3; 506; 0.0327
180; 120.4; 464; 0.0327
185; 121.7; 494; 0.0313
190; 122.3; 560; 0.0313
195; 119.7; 441; 0.0277
200; 116.8; 408; 0.0264
205; 113.6; 417; 0.0240
210; 112.2; 421; 0.0242
215; 113.3; 416; 0.0252
220; 113.3; 459; 0.0255
225; 110.4; 412; 0.0243
230; 110.0; 405; 0.0241
235; 109.9; 462; 0.0253
240; 109.0; 370; 0.0219
245; 109.6; 344; 0.0199
250; 108.2; 347; 0.0211
255; 97.7; 347; 0.0211
260; 89.4; 425; 0.0240
265; 89.9; 382; 0.0222
270; 93.7; 386; 0.0205
275; 96.0; 417; 0.0224
280; 93.5; 414; 0.0236
285; 96.9; 417; 0.0225
290; 103.9; 412; 0.0231
295; 105.8; 301; 0.0179
300; 105.3; 351; 0.0189
305; 95.4; 340; 0.0190
310; 86.7; 313; 0.0191
315; 83.4; 373; 0.0204
320; 79.9; 435; 0.0194
325; 82.0; 374; 0.0188
330; 80.6; 394; 0.0201
335; 72.4; 420; 0.0197
340; 68.1; 425; 0.0188
345; 67.4; 486; 0.0190
350; 68.8; 425; 0.0184
355; 68.6; 410; 0.0184
360; 66.0; 399; 0.0164
365; 63.2; 375; 0.0152
370; 60.4; 360; 0.0156
375; 59.0; 365; 0.0142
380; 58.3; 378; 0.0142
385; 58.5; 364; 0.0127
390; 57.6; 322; 0.0120
395; 58.7; 321; 0.0127
400; 56.8; 323; 0.0109
405; 55.7; 291; 0.0109
410; 56.3; 272; 0.0096
415; 53.4; 292; 0.0079
420; 52.7; 224; 0.0078
425; 54.6; 232; 0.0087
430; 53.8; 254; 0.0078
435; 53.4; 301; 0.0097
440; 53.7; 246; 0.0078
445; 54.0; 312; 0.0075
450; 53.1; 255; 0.0067
455; 54.2; 214; 0.0070
460; 54.0; 253; 0.0077
465; 52.9; 267; 0.0072
470; 55.0; 213; 0.0062
475; 56.7; 305; 0.0080
480; 55.6; 303; 0.0078
485; 55.3; 239; 0.0072
490; 56.7; 250; 0.0077
495; 57.4; 267; 0.0067
500; 56.6; 248; 0.0066
505; 55.9; 205; 0.0062
510; 56.4; 233; 0.0055
515; 56.1; 201; 0.0048
520; 55.8; 145; 0.0038
525; 56.2; 134; 0.0042
530; 57.7; 154; 0.0047
535; 55.9; 154; 0.0037
540; 57.6; 144; 0.0035
545; 58.1; 161; 0.0042
550; 57.8; 162; 0.0044
555; 59.3; 153; 0.0044
560; 59.6; 151; 0.0051
565; 60.6; 132; 0.0045
570; 61.9; 198; 0.0064
575; 63.2; 192; 0.0061
580; 66.4; 252; 0.0072
585; 68.1; 163; 0.0047
590; 68.9; 189; 0.0067
595; 69.9; 191; 0.0068
600; 71.6; 249; 0.0089
605; 72.2; 248; 0.0086
610; 71.6; 237; 0.0090
615; 72.7; 205; 0.0087
620; 74.4; 213; 0.0075
625; 75.3; 247; 0.0091
630; 77.1; 257; 0.0101
635; 77.9; 229; 0.0090
640; 79.9; 222; 0.0098
645; 81.6; 230; 0.0102
650; 83.4; 236; 0.0103
655; 84.9; 283; 0.0113
660; 85.2; 279; 0.0117
665; 84.8; 226; 0.0109
670; 85.0; 222; 0.0108
675; 87.5; 303; 0.0121
680; 88.3; 239; 0.0108
685; 88.7; 249; 0.0125
690; 87.8; 251; 0.0114
695; 88.7; 291; 0.0128
700; 89.2; 243; 0.0119
705; 90.2; 222; 0.0116
710; 89.9; 249; 0.0115
715; 91.6; 298; 0.0118
720; 92.8; 272; 0.0126
725; 92.0; 260; 0.0128
730; 92.5; 274; 0.0125
735; 93.9; 265; 0.0120
740; 94.4; 253; 0.0123
745; 94.4; 210; 0.0113
750; 93.2; 304; 0.0145
755; 95.0; 300; 0.0138
760; 94.8; 291; 0.0135
765; 95.1; 262; 0.0139
770; 96.9; 266; 0.0144
775; 98.0; 292; 0.0141
780; 98.9; 305; 0.0154
785; 99.4; 294; 0.0146
790; 99.7; 306; 0.0155
795; 98.6; 291; 0.0149
800; 97.8; 302; 0.0150
805; 99.6; 289; 0.0156
810; 100.6; 338; 0.0164
815; 98.7; 335; 0.0160
820; 100.6; 303; 0.0162
825; 102.6; 308; 0.0163
830; 101.3; 331; 0.0167
835; 103.9; 327; 0.0184
840; 104.6; 336; 0.0185
845; 105.3; 384; 0.0179
850; 105.8; 368; 0.0185
855; 106.4; 353; 0.0188
860; 107.8; 313; 0.0169
865; 107.2; 366; 0.0181
870; 106.6; 354; 0.0186
875; 108.5; 363; 0.0197
880; 109.2; 377; 0.0196
885; 109.5; 346; 0.0194
890; 111.2; 363; 0.0195
895; 114.6; 402; 0.0221
900; 116.0; 395; 0.0204
905; 116.2; 370; 0.0204
910; 116.8; 359; 0.0207
915; 117.7; 402; 0.0216
920; 119.7; 393; 0.0228
925; 123.8; 389; 0.0220
930; 125.7; 464; 0.0241
935; 126.7; 439; 0.0227
940; 126.6; 416; 0.0217
945; 124.9; 424; 0.0224
950; 125.0; 380; 0.0236
955; 126.6; 384; 0.0227
960; 128.1; 435; 0.0226
965; 128.4; 417; 0.0242
970; 131.3; 435; 0.0234
975; 133.1; 403; 0.0228
980; 132.9; 400; 0.0224
985; 134.4; 413; 0.0215
990; 135.8; 431; 0.0222
995; 135.7; 455; 0.0252
1000; 136.8; 412; 0.0237
1005; 136.6; 531; 0.0241
1010; 137.1; 481; 0.0252
1015; 139.1; 459; 0.0258
1020; 140.3; 457; 0.0246
1025; 141.0; 438; 0.0249
1030; 142.4; 515; 0.0270
1035; 142.5; 496; 0.0260
1040; 141.7; 503; 0.0279
1045; 145.0; 488; 0.0273
1050; 146.4; 526; 0.0269
1055; 145.8; 496; 0.0269
1060; 151.1; 537; 0.0284
1065; 152.7; 589; 0.0272
1070; 155.6; 552; 0.0274
1075; 156.2; 546; 0.0274
1080; 157.7; 527; 0.0298
1085; 165.1; 494; 0.0303
1090; 167.7; 564; 0.0300
1095; 166.1; 612; 0.0301
1100; 169.4; 605; 0.0307
1105; 172.6; 611; 0.0300
1110; 174.0; 537; 0.0303
1115; 171.6; 578; 0.0302
1120; 169.8; 679; 0.0298
1125; 172.5; 572; 0.0288
1130; 176.9; 630; 0.0322
1135; 176.4; 647; 0.0314
1140; 177.4; 627; 0.0310
1145; 178.0; 591; 0.0316
1150; 178.3; 616; 0.0306
1155; 179.3; 616; 0.0305
1160; 180.7; 571; 0.0314
1165; 185.3; 583; 0.0305
1170; 191.9; 752; 0.0344
1175; 196.3; 625; 0.0337
1180; 197.0; 615; 0.0331
1185; 199.8; 682; 0.0320
1190; 206.0; 639; 0.0329
1195; 214.9; 639; 0.0344
1200; 220.1; 637; 0.0339
1205; 227.5; 653; 0.0351
1210; 230.1; 680; 0.0324
1215; 228.9; 684; 0.0320
1220; 234.6; 614; 0.0344
1225; 236.2; 625; 0.0345
1230; 240.3; 677; 0.0391
1235; 249.7; 624; 0.0365
1240; 257.2; 662; 0.0366
1245; 257.5; 689; 0.0358
1250; 249.9; 631; 0.0326
1255; 254.2; 648; 0.0352
1260; 265.5; 604; 0.0332
1265; 273.1; 638; 0.0370
1270; 269.7; 635; 0.0345
1275; 273.5; 684; 0.0360
1280; 281.4; 644; 0.0357
1285; 286.0; 582; 0.0331
1290; 291.8; 621; 0.0363
1295; 299.1; 538; 0.0362
1300; 303.1; 559; 0.0367
