Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PE;XLPE;;;Cable FIPEC-04 1x150 mm2;Medium Voltage 12/20 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:46:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;93;194;463.02;91.10;85.84;125.5;28.23;;;;0.007708;40;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.2; 0; 0.0000
10; 2.9; 0; 0.0000
20; 0.0; 0; 0.0000
30; 0.0; 0; 0.0000
40; 0.0; 0; 0.0000
50; 0.0; 0; 0.0000
60; 0.0; 0; 0.0000
70; 0.0; 0; 0.0000
80; 0.0; 48; 0.0003
90; 1.5; 160; 0.0024
100; 35.9; 0; 0.0000
110; 86.4; 0; 0.0000
120; 105.7; 0; 0.0000
130; 114.9; 0; 0.0000
140; 112.5; 0; 0.0000
150; 106.2; 0; 0.0000
160; 99.5; 0; 0.0000
170; 94.5; 0; 0.0000
180; 97.3; 0; 0.0000
190; 98.0; 0; 0.0000
200; 88.7; 0; 0.0000
210; 86.9; 0; 0.0000
220; 84.6; 0; 0.0000
230; 83.3; 0; 0.0000
240; 80.8; 0; 0.0000
250; 82.2; 0; 0.0000
260; 81.1; 0; 0.0000
270; 79.5; 0; 0.0000
280; 79.6; 0; 0.0000
290; 80.8; 0; 0.0000
300; 80.2; 0; 0.0000
310; 79.3; 0; 0.0000
320; 77.9; 0; 0.0000
330; 76.0; 0; 0.0000
340; 74.9; 0; 0.0000
350; 76.0; 0; 0.0000
360; 76.6; 0; 0.0000
370; 77.5; 0; 0.0000
380; 79.0; 0; 0.0000
390; 78.7; 0; 0.0000
400; 77.5; 0; 0.0000
410; 77.5; 0; 0.0000
420; 76.6; 0; 0.0000
430; 77.4; 0; 0.0000
440; 78.9; 0; 0.0000
450; 81.5; 0; 0.0000
460; 86.9; 0; 0.0000
470; 89.4; 0; 0.0000
480; 90.7; 0; 0.0000
490; 93.2; 0; 0.0000
500; 93.4; 0; 0.0000
510; 93.3; 0; 0.0000
520; 94.4; 0; 0.0000
530; 95.0; 0; 0.0000
540; 96.2; 0; 0.0000
550; 97.1; 0; 0.0000
560; 97.5; 0; 0.0000
570; 95.6; 0; 0.0000
580; 95.2; 0; 0.0000
590; 95.0; 0; 0.0000
600; 95.5; 0; 0.0000
610; 94.5; 0; 0.0000
620; 93.5; 0; 0.0000
630; 93.3; 0; 0.0000
640; 92.5; 0; 0.0000
650; 91.7; 0; 0.0000
660; 90.8; 0; 0.0000
670; 90.1; 0; 0.0000
680; 89.5; 0; 0.0000
690; 87.8; 0; 0.0000
700; 86.9; 0; 0.0000
710; 86.9; 0; 0.0000
720; 85.7; 0; 0.0000
730; 85.4; 0; 0.0000
740; 82.2; 0; 0.0000
750; 78.2; 0; 0.0000
760; 72.6; 0; 0.0000
770; 67.4; 0; 0.0000
780; 65.3; 0; 0.0000
