Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
ZHPolyolefin;XLPE;;;Cable FIPEC-22 7x2.5 mm2;Low Voltage 0,6/1 kV;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-03 08:59:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;91;129;207.06;84.98;67.93;60.4;29.27;;;;0.008584;13;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.7; 3; 0.0000
5; 2.7; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0000
25; 0.0; 0; 0.0000
30; 0.0; 0; 0.0000
35; 0.0; 0; 0.0000
40; 0.0; 208; 0.0006
45; 0.0; 217; 0.0009
50; 0.0; 193; 0.0011
55; 0.0; 244; 0.0013
60; 0.0; 233; 0.0018
65; 0.0; 246; 0.0018
70; 0.0; 354; 0.0026
75; 0.0; 342; 0.0034
80; 0.0; 349; 0.0040
85; 0.3; 303; 0.0039
90; 0.3; 211; 0.0045
95; 27.2; 8; 0.0003
100; 68.0; 0; 0.0000
105; 86.6; 6; 0.0003
110; 93.7; 21; 0.0011
115; 101.6; 30; 0.0015
120; 106.1; 75; 0.0033
125; 107.7; 84; 0.0036
130; 108.8; 80; 0.0039
135; 109.3; 101; 0.0050
140; 109.6; 112; 0.0048
145; 109.1; 139; 0.0055
150; 109.4; 139; 0.0058
155; 110.0; 134; 0.0060
160; 108.7; 152; 0.0061
165; 107.7; 155; 0.0062
170; 107.5; 211; 0.0071
175; 104.9; 161; 0.0067
180; 103.3; 189; 0.0080
185; 101.3; 182; 0.0062
190; 95.0; 172; 0.0054
195; 90.1; 168; 0.0050
200; 85.9; 196; 0.0049
205; 82.2; 130; 0.0038
210; 79.5; 92; 0.0030
215; 75.0; 86; 0.0020
220; 70.9; 104; 0.0023
225; 67.2; 86; 0.0022
230; 64.9; 67; 0.0018
235; 61.7; 78; 0.0018
240; 59.6; 86; 0.0018
245; 58.6; 68; 0.0018
250; 58.2; 48; 0.0012
255; 56.6; 25; 0.0005
260; 54.6; 0; 0.0000
265; 53.5; 4; 0.0001
270; 53.1; 5; 0.0001
275; 51.4; 14; 0.0002
280; 50.5; 0; 0.0000
285; 50.3; 0; 0.0000
290; 48.1; 0; 0.0000
295; 45.5; 0; 0.0000
300; 44.0; 0; 0.0000
305; 44.9; 0; 0.0000
310; 44.2; 0; 0.0000
315; 42.8; 0; 0.0000
320; 43.0; 0; 0.0000
325; 42.7; 0; 0.0000
330; 41.3; 0; 0.0000
335; 41.7; 0; 0.0000
340; 41.9; 0; 0.0000
345; 41.8; 0; 0.0000
350; 40.7; 0; 0.0000
355; 40.2; 0; 0.0000
360; 39.9; 0; 0.0000
365; 39.7; 0; 0.0000
370; 40.2; 0; 0.0000
375; 37.7; 0; 0.0000
380; 36.7; 0; 0.0000
385; 36.8; 0; 0.0000
390; 37.3; 0; 0.0000
395; 36.9; 0; 0.0000
400; 35.9; 0; 0.0000
405; 34.4; 0; 0.0000
410; 34.3; 0; 0.0000
415; 34.6; 0; 0.0000
420; 33.5; 4; 0.0000
425; 32.8; 0; 0.0000
430; 33.3; 0; 0.0000
435; 32.7; 0; 0.0000
440; 31.2; 3; 0.0001
445; 30.4; 0; 0.0000
450; 31.1; 9; 0.0001
455; 29.9; 14; 0.0003
460; 30.1; 0; 0.0000
465; 30.1; 0; 0.0000
470; 28.5; 0; 0.0000
475; 29.4; 0; 0.0000
480; 29.3; 0; 0.0000
485; 28.4; 2; 0.0000
490; 28.1; 0; 0.0000
495; 27.9; 0; 0.0000
500; 28.4; 32; 0.0004
505; 27.4; 0; 0.0000
510; 28.8; 0; 0.0000
515; 29.2; 15; 0.0002
520; 28.5; 0; 0.0000
525; 28.6; 2; 0.0000
530; 28.0; 29; 0.0004
535; 27.6; 12; 0.0002
540; 28.0; 0; 0.0000
545; 27.3; 0; 0.0000
550; 27.2; 0; 0.0000
