Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC-30 10 pairs;Telephone cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:08:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;13;197;68.21;117.37;117.34;50.5;11.48;;;;0.008840;10;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.1; 0; 0.0000
5; 4.7; 0; 0.0000
10; 0.2; 0; 0.0002
15; 14.1; 438; 0.0188
20; 16.7; 901; 0.0956
25; 23.7; 586; 0.0901
30; 127.0; 715; 0.1334
35; 197.1; 764; 0.1391
40; 187.8; 874; 0.1419
45; 177.2; 880; 0.1325
50; 165.6; 849; 0.1196
55; 156.5; 884; 0.1164
60; 152.9; 891; 0.1120
65; 147.7; 867; 0.1016
70; 140.8; 925; 0.0973
75; 136.1; 895; 0.0909
80; 132.1; 853; 0.0857
85; 125.5; 858; 0.0790
90; 121.6; 813; 0.0720
95; 118.7; 829; 0.0701
100; 114.9; 768; 0.0687
105; 113.7; 719; 0.0664
110; 110.9; 757; 0.0628
115; 106.5; 719; 0.0576
120; 104.8; 677; 0.0553
125; 104.1; 645; 0.0540
130; 102.5; 640; 0.0524
135; 99.4; 599; 0.0486
140; 98.7; 592; 0.0490
145; 98.2; 594; 0.0491
150; 98.3; 572; 0.0471
155; 98.0; 609; 0.0498
160; 98.4; 644; 0.0510
165; 98.9; 595; 0.0512
170; 100.0; 589; 0.0519
175; 99.5; 597; 0.0498
180; 99.9; 612; 0.0523
185; 101.0; 566; 0.0515
190; 102.6; 592; 0.0535
195; 104.0; 617; 0.0554
200; 104.6; 589; 0.0544
205; 105.6; 615; 0.0564
210; 106.5; 583; 0.0547
215; 106.5; 576; 0.0562
220; 106.6; 573; 0.0550
225; 106.9; 597; 0.0555
230; 107.6; 620; 0.0596
235; 109.9; 572; 0.0575
240; 110.2; 587; 0.0600
245; 111.2; 575; 0.0587
250; 114.8; 624; 0.0641
255; 115.9; 611; 0.0633
260; 117.8; 611; 0.0653
265; 119.2; 603; 0.0667
270; 120.5; 615; 0.0682
275; 121.9; 636; 0.0699
280; 121.5; 622; 0.0704
285; 123.0; 646; 0.0716
290; 125.8; 637; 0.0725
295; 126.0; 629; 0.0735
300; 127.4; 663; 0.0768
305; 130.2; 629; 0.0765
310; 130.2; 611; 0.0769
315; 131.3; 628; 0.0799
320; 132.4; 620; 0.0804
325; 134.4; 638; 0.0850
330; 137.1; 652; 0.0885
335; 138.4; 634; 0.0882
340; 141.4; 660; 0.0930
345; 143.9; 684; 0.0960
350; 145.0; 636; 0.0956
355; 147.8; 620; 0.0925
360; 148.9; 714; 0.1006
365; 149.0; 701; 0.1010
370; 149.5; 701; 0.0983
375; 149.4; 714; 0.0974
380; 147.9; 746; 0.0936
385; 143.7; 760; 0.0853
390; 138.9; 747; 0.0826
395; 133.1; 753; 0.0772
400; 127.3; 739; 0.0679
405; 121.9; 743; 0.0646
410; 115.7; 751; 0.0573
415; 108.7; 739; 0.0495
420; 101.6; 658; 0.0416
425; 94.0; 645; 0.0359
430; 86.7; 654; 0.0313
435; 80.5; 590; 0.0241
440; 76.5; 570; 0.0221
445; 74.2; 570; 0.0200
450; 71.5; 504; 0.0184
455; 71.8; 544; 0.0191
460; 70.3; 664; 0.0199
465; 70.1; 678; 0.0221
470; 72.1; 723; 0.0227
475; 74.0; 750; 0.0249
480; 76.8; 794; 0.0273
485; 78.8; 906; 0.0304
490; 81.9; 927; 0.0339
495; 85.3; 991; 0.0363
500; 87.0; 1028; 0.0369
505; 90.1; 1089; 0.0403
510; 93.5; 1069; 0.0416
515; 96.6; 1155; 0.0423
520; 97.6; 1178; 0.0440
525; 98.4; 1156; 0.0446
530; 99.4; 1198; 0.0439
535; 99.5; 1159; 0.0455
540; 99.0; 1099; 0.0419
545; 96.3; 1161; 0.0397
550; 93.4; 1108; 0.0378
555; 90.6; 1008; 0.0348
560; 87.0; 1019; 0.0300
565; 82.5; 1005; 0.0272
570; 78.7; 837; 0.0233
575; 76.1; 900; 0.0217
580; 72.7; 700; 0.0174
585; 69.3; 643; 0.0155
590; 64.7; 591; 0.0132
595; 58.8; 550; 0.0115
600; 55.3; 548; 0.0091
605; 52.7; 357; 0.0074
610; 48.8; 247; 0.0049
615; 45.7; 253; 0.0044
620; 42.1; 158; 0.0028
625; 37.8; 157; 0.0026
630; 34.1; 185; 0.0025
635; 30.4; 167; 0.0028
640; 28.0; 148; 0.0025
645; 26.7; 260; 0.0029
650; 24.7; 129; 0.0017
655; 22.8; 139; 0.0022
660; 21.2; 196; 0.0025
665; 20.6; 229; 0.0020
670; 19.9; 246; 0.0026
675; 20.6; 152; 0.0022
680; 20.9; 150; 0.0020
685; 19.3; 203; 0.0024
690; 20.0; 195; 0.0022
695; 20.7; 211; 0.0025
700; 21.0; 193; 0.0023
705; 20.7; 236; 0.0023
710; 21.4; 190; 0.0022
715; 21.0; 238; 0.0027
720; 21.3; 228; 0.0030
725; 21.0; 215; 0.0027
730; 20.8; 359; 0.0032
735; 21.6; 267; 0.0026
740; 21.5; 202; 0.0025
745; 21.0; 219; 0.0027
750; 21.1; 265; 0.0030
755; 20.9; 136; 0.0025
