Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC-30 10 pairs;Telephone cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:09:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;29;157;77.58;104.76;117.34101.82;51.3;12.90;;;;0.008840;10;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 6.2; 2; 0.0000
5; 6.8; 0; 0.0000
10; 5.3; 0; 0.0000
15; 2.6; 0; 0.0006
20; 0.1; 252; 0.0008
25; 4.0; 518; 0.0097
30; 21.1; 539; 0.0361
35; 77.6; 373; 0.0470
40; 134.0; 472; 0.0670
45; 156.2; 628; 0.0873
50; 156.8; 782; 0.1056
55; 147.6; 834; 0.0996
60; 138.5; 842; 0.0953
65; 133.0; 800; 0.0906
70; 128.7; 850; 0.0859
75; 122.2; 770; 0.0757
80; 119.1; 790; 0.0760
85; 117.5; 832; 0.0734
90; 115.8; 843; 0.0727
95; 114.5; 827; 0.0693
100; 111.6; 861; 0.0644
105; 107.1; 761; 0.0577
110; 103.0; 770; 0.0556
115; 101.1; 771; 0.0511
120; 97.7; 674; 0.0488
125; 96.8; 693; 0.0490
130; 95.1; 663; 0.0447
135; 93.7; 661; 0.0418
140; 91.3; 587; 0.0395
145; 90.3; 555; 0.0380
150; 89.7; 591; 0.0353
155; 87.8; 568; 0.0357
160; 87.3; 526; 0.0340
165; 86.5; 599; 0.0344
170; 86.0; 511; 0.0329
175; 85.6; 505; 0.0327
180; 85.6; 475; 0.0321
185; 84.1; 468; 0.0322
190; 84.1; 550; 0.0314
195; 84.4; 484; 0.0308
200; 84.6; 452; 0.0319
205; 85.7; 518; 0.0328
210; 86.3; 505; 0.0341
215; 86.3; 484; 0.0327
220; 88.0; 545; 0.0352
225; 88.7; 467; 0.0338
230; 90.2; 488; 0.0355
235; 91.0; 489; 0.0358
240; 91.6; 518; 0.0368
245; 93.7; 486; 0.0367
250; 94.5; 460; 0.0367
255; 94.3; 519; 0.0376
260; 95.5; 502; 0.0373
265; 96.8; 473; 0.0391
270; 97.5; 528; 0.0408
275; 99.0; 531; 0.0412
280; 99.0; 503; 0.0412
285; 99.0; 502; 0.0420
290; 99.1; 517; 0.0435
295; 100.5; 520; 0.0427
300; 100.9; 522; 0.0432
305; 101.2; 557; 0.0465
310; 102.5; 536; 0.0442
315; 102.4; 510; 0.0434
320; 103.8; 513; 0.0433
325; 105.1; 519; 0.0445
330; 107.0; 505; 0.0456
335; 107.3; 512; 0.0462
340; 107.3; 480; 0.0453
345; 108.8; 501; 0.0467
350; 109.5; 488; 0.0462
355; 110.2; 484; 0.0470
360; 112.3; 508; 0.0481
365; 111.7; 475; 0.0473
370; 112.7; 497; 0.0500
375; 114.5; 511; 0.0501
380; 114.8; 482; 0.0501
385; 115.5; 526; 0.0545
390; 117.2; 501; 0.0532
395; 117.9; 517; 0.0558
400; 118.9; 501; 0.0543
405; 120.3; 543; 0.0588
410; 121.5; 537; 0.0590
415; 122.7; 512; 0.0600
420; 123.2; 511; 0.0590
425; 123.4; 544; 0.0608
430; 126.0; 546; 0.0605
435; 126.3; 537; 0.0594
440; 125.7; 576; 0.0614
445; 126.0; 564; 0.0603
450; 125.1; 556; 0.0582
455; 122.4; 580; 0.0590
460; 121.3; 569; 0.0567
