Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC-32 50 pairs ;Telephone cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:17:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;38;150;22.25;97.96;71.63;14.5;11.97;;;;0.008460;18;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.2; 81; 0.0012
5; 3.9; 0; 0.0012
10; 1.2; 0; 0.0002
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0008
25; 0.0; 667; 0.0012
30; 0.0; 123; 0.0003
35; 1.6; 583; 0.0104
40; 12.2; 605; 0.0311
45; 62.6; 443; 0.0433
50; 123.6; 613; 0.0683
55; 145.8; 649; 0.0784
60; 148.2; 679; 0.0829
65; 150.1; 736; 0.0859
70; 149.8; 694; 0.0839
75; 148.0; 636; 0.0707
80; 147.7; 700; 0.0789
85; 143.6; 710; 0.0776
90; 142.6; 720; 0.0790
95; 142.9; 707; 0.0703
100; 140.0; 691; 0.0635
105; 136.0; 649; 0.0578
110; 130.2; 646; 0.0487
115; 123.6; 583; 0.0441
120; 117.8; 594; 0.0391
125; 111.7; 552; 0.0354
130; 105.9; 435; 0.0283
135; 99.7; 435; 0.0238
140; 93.0; 376; 0.0211
145; 87.3; 368; 0.0206
150; 82.3; 315; 0.0140
155; 75.8; 408; 0.0144
160; 70.4; 267; 0.0111
165; 66.2; 286; 0.0121
170; 63.8; 264; 0.0098
175; 60.9; 310; 0.0103
180; 58.2; 287; 0.0085
185; 55.8; 238; 0.0081
190; 52.9; 162; 0.0063
195; 50.6; 203; 0.0064
200; 49.5; 202; 0.0058
205; 50.2; 208; 0.0067
210; 49.9; 234; 0.0063
215; 49.1; 222; 0.0069
220; 48.2; 175; 0.0069
225; 48.4; 168; 0.0060
230; 49.4; 155; 0.0051
235; 50.5; 165; 0.0060
240; 49.2; 224; 0.0071
245; 47.9; 155; 0.0051
250; 44.7; 96; 0.0038
255; 40.4; 120; 0.0040
260; 37.4; 144; 0.0043
265; 32.4; 142; 0.0042
270; 35.5; 135; 0.0043
275; 40.0; 111; 0.0043
280; 36.6; 182; 0.0062
285; 37.0; 140; 0.0048
290; 39.8; 146; 0.0052
295; 41.1; 124; 0.0042
300; 48.0; 118; 0.0046
305; 39.8; 203; 0.0080
310; 19.7; 348; 0.0117
315; 11.6; 325; 0.0111
320; 9.6; 300; 0.0101
325; 8.4; 344; 0.0108
330; 8.1; 296; 0.0109
335; 7.5; 276; 0.0095
340; 7.9; 276; 0.0106
345; 9.2; 246; 0.0098
350; 9.4; 339; 0.0116
355; 8.6; 303; 0.0104
360; 8.1; 255; 0.0105
365; 7.9; 308; 0.0119
370; 8.2; 286; 0.0100
375; 8.4; 299; 0.0106
380; 7.8; 291; 0.0105
385; 8.1; 247; 0.0098
390; 7.8; 288; 0.0116
395; 7.7; 265; 0.0101
400; 7.7; 295; 0.0105
405; 7.0; 143; 0.0098
