Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;Polyolefin;;;Cable FIPEC-37 1,5 mm2;Wire;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:21:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;175;295;35.32;175.85;114.62;11.1;26.15;;;;0.008460;2.9;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 6.3; 0; 0.0000
5; 3.8; 0; 0.0000
10; 3.0; 0; 0.0000
15; 2.1; 0; 0.0000
20; 1.7; 0; 0.0000
25; 3.9; 0; 0.0000
30; 3.6; 0; 0.0000
35; 1.9; 0; 0.0003
40; 1.1; 0; 0.0000
45; 0.8; 0; 0.0000
50; 0.9; 0; 0.0000
55; 0.5; 0; 0.0000
60; 0.4; 0; 0.0000
65; 0.0; 74; 0.0005
70; 0.0; 69; 0.0008
75; 2.9; 182; 0.0016
80; 1.9; 127; 0.0019
85; 3.0; 147; 0.0030
90; 5.1; 188; 0.0035
95; 5.9; 184; 0.0042
100; 6.4; 233; 0.0058
105; 8.0; 253; 0.0065
110; 7.4; 229; 0.0064
115; 4.7; 289; 0.0075
120; 3.8; 254; 0.0072
125; 3.5; 227; 0.0076
130; 2.5; 265; 0.0084
135; 3.8; 292; 0.0087
140; 4.8; 287; 0.0091
145; 4.0; 244; 0.0086
150; 3.9; 287; 0.0095
155; 4.0; 294; 0.0098
160; 5.2; 303; 0.0100
165; 6.3; 302; 0.0096
170; 6.3; 272; 0.0094
175; 8.3; 208; 0.0071
180; 14.1; 102; 0.0036
185; 28.8; 14; 0.0006
190; 52.6; 8; 0.0004
195; 76.1; 50; 0.0028
200; 94.3; 72; 0.0042
205; 109.7; 114; 0.0065
210; 129.2; 149; 0.0088
215; 148.1; 188; 0.0117
220; 163.3; 202; 0.0132
225; 182.6; 212; 0.0155
230; 203.5; 272; 0.0193
235; 225.4; 306; 0.0213
240; 241.5; 294; 0.0226
245; 253.9; 311; 0.0245
250; 264.4; 339; 0.0260
255; 272.9; 345; 0.0271
260; 278.7; 347; 0.0267
265; 287.4; 355; 0.0274
270; 295.0; 328; 0.0282
275; 291.2; 333; 0.0276
280; 283.1; 385; 0.0275
285; 273.7; 359; 0.0256
290; 259.8; 351; 0.0247
295; 245.0; 382; 0.0240
300; 232.7; 444; 0.0239
305; 215.8; 408; 0.0230
310; 198.2; 368; 0.0211
315; 178.2; 472; 0.0197
320; 158.4; 412; 0.0159
325; 137.5; 283; 0.0115
330; 118.2; 234; 0.0069
335; 101.5; 145; 0.0037
340; 89.7; 39; 0.0010
345; 78.0; 2; 0.0000
350; 67.3; 0; 0.0000
355; 59.9; 0; 0.0000
360; 55.6; 0; 0.0000
365; 50.1; 0; 0.0000
370; 44.8; 0; 0.0000
375; 41.0; 0; 0.0000
380; 38.2; 0; 0.0000
385; 34.6; 0; 0.0000
390; 31.2; 0; 0.0000
395; 29.1; 0; 0.0000
400; 26.3; 9; 0.0001
405; 23.9; 42; 0.0003
410; 22.1; 0; 0.0000
415; 20.9; 15; 0.0001
420; 20.0; 0; 0.0000
425; 18.0; 0; 0.0000
430; 16.3; 0; 0.0000
435; 15.3; 54; 0.0004
440; 13.8; 0; 0.0000
445; 12.7; 5; 0.0000
450; 11.9; 0; 0.0000
455; 10.7; 0; 0.0000
460; 9.1; 0; 0.0000
465; 8.9; 0; 0.0000
470; 8.0; 0; 0.0000
475; 8.0; 0; 0.0000
480; 7.9; 0; 0.0000
485; 6.3; 0; 0.0000
490; 6.1; 0; 0.0000
495; 5.0; 0; 0.0000
500; 4.5; 14; 0.0001
505; 4.3; 0; 0.0000
510; 3.7; 0; 0.0000
515; 4.0; 0; 0.0000
520; 3.8; 3; 0.0000
525; 3.4; 0; 0.0000
530; 3.0; 0; 0.0000
535; 2.9; 0; 0.0000
540; 2.7; 0; 0.0000
545; 2.3; 0; 0.0000
550; 2.4; 0; 0.0000
555; 2.7; 0; 0.0000
560; 3.7; 0; 0.0000
565; 2.9; 0; 0.0000
570; 2.6; 0; 0.0000
575; 2.9; 0; 0.0000
580; 2.4; 0; 0.0000
585; 3.0; 0; 0.0000
