Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;PA;;;Cable FIPEC-41 multiple;Optical cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:25:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;40;199;86.29;172.88;156.10;31.2;23.78;;;;0.008840;6;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.4; 35; 0.0002
5; 5.9; 0; 0.0002
10; 4.4; 0; 0.0003
15; 0.7; 256; 0.0005
20; 0.0; 428; 0.0022
25; 0.0; 368; 0.0049
30; 0.0; 297; 0.0070
35; 0.0; 291; 0.0081
40; 2.7; 114; 0.0043
45; 15.6; 8; 0.0004
50; 51.0; 53; 0.0034
55; 97.6; 131; 0.0093
60; 136.2; 187; 0.0142
65; 166.5; 227; 0.0175
70; 185.5; 246; 0.0199
75; 186.0; 287; 0.0212
80; 185.3; 325; 0.0222
85; 184.2; 325; 0.0229
90; 179.7; 371; 0.0262
95; 177.7; 386; 0.0258
100; 177.3; 424; 0.0267
105; 176.5; 448; 0.0298
110; 178.0; 421; 0.0289
115; 179.6; 444; 0.0302
120; 180.2; 479; 0.0318
125; 184.2; 490; 0.0315
130; 187.5; 488; 0.0321
135; 190.1; 485; 0.0337
140; 188.8; 470; 0.0326
145; 189.8; 486; 0.0344
150; 191.8; 478; 0.0348
155; 195.7; 523; 0.0368
160; 196.6; 474; 0.0345
165; 198.1; 448; 0.0330
170; 198.9; 491; 0.0340
175; 196.3; 459; 0.0332
180; 192.3; 470; 0.0315
185; 188.1; 496; 0.0325
190; 185.1; 460; 0.0315
195; 180.1; 478; 0.0308
200; 174.6; 447; 0.0292
205; 169.8; 453; 0.0285
210; 166.3; 449; 0.0273
215; 163.7; 439; 0.0271
220; 158.6; 434; 0.0268
225; 156.2; 436; 0.0255
230; 152.1; 443; 0.0243
235; 150.0; 416; 0.0244
240; 148.1; 377; 0.0222
245; 145.4; 380; 0.0219
250; 143.2; 380; 0.0218
255; 141.8; 379; 0.0218
260; 140.1; 352; 0.0197
265; 136.3; 363; 0.0201
270; 135.1; 342; 0.0192
275; 133.9; 369; 0.0200
280; 133.1; 338; 0.0180
285; 130.1; 341; 0.0178
290; 127.0; 319; 0.0172
295; 124.8; 302; 0.0162
300; 122.8; 294; 0.0152
305; 121.5; 283; 0.0151
310; 120.0; 299; 0.0145
315; 118.4; 300; 0.0142
320; 117.6; 278; 0.0142
325; 116.1; 288; 0.0142
330; 116.8; 330; 0.0155
335; 115.4; 315; 0.0153
340; 115.6; 295; 0.0149
345; 118.1; 331; 0.0158
350; 118.4; 377; 0.0176
355; 121.3; 387; 0.0187
360; 123.4; 416; 0.0193
365; 126.3; 436; 0.0207
370; 131.6; 461; 0.0233
375; 134.1; 435; 0.0223
380; 136.1; 457; 0.0227
385; 139.9; 456; 0.0232
390; 142.1; 443; 0.0234
395; 144.9; 493; 0.0260
400; 150.0; 504; 0.0261
405; 150.0; 518; 0.0257
410; 150.0; 496; 0.0262
415; 152.2; 526; 0.0262
420; 156.3; 492; 0.0258
425; 156.4; 476; 0.0264
430; 155.7; 573; 0.0283
435; 158.1; 584; 0.0279
440; 159.0; 592; 0.0296
445; 161.1; 518; 0.0276
450; 163.5; 518; 0.0275
455; 162.2; 600; 0.0287
460; 161.5; 556; 0.0269
465; 162.2; 508; 0.0262
470; 160.8; 590; 0.0271
475; 156.9; 575; 0.0261
480; 155.2; 504; 0.0246
485; 149.1; 499; 0.0226
490; 145.0; 520; 0.0223
495; 141.1; 511; 0.0211
500; 136.3; 528; 0.0204
505; 132.6; 454; 0.0186
510; 127.5; 398; 0.0158
515; 123.0; 424; 0.0147
520; 117.8; 393; 0.0141
525; 113.5; 330; 0.0120
530; 108.6; 306; 0.0100
535; 104.5; 303; 0.0085
540; 101.6; 241; 0.0072
545; 98.4; 166; 0.0057
550; 96.2; 149; 0.0047
555; 92.3; 128; 0.0035
560; 88.7; 91; 0.0025
565; 83.7; 73; 0.0021
570; 79.8; 77; 0.0019
575; 76.9; 60; 0.0013
580; 73.8; 36; 0.0009
585; 71.2; 33; 0.0008
590; 67.6; 18; 0.0004
595; 64.5; 18; 0.0004
600; 62.6; 17; 0.0003
605; 59.8; 2; 0.0000
610; 57.0; 1; 0.0000
615; 54.5; 0; 0.0000
620; 53.2; 0; 0.0000
625; 51.1; 0; 0.0000
630; 49.0; 0; 0.0000
635; 47.3; 0; 0.0000
640; 44.5; 0; 0.0000
645; 43.5; 0; 0.0000
650; 41.5; 0; 0.0000
655; 39.2; 0; 0.0000
660; 37.1; 0; 0.0000
665; 35.4; 0; 0.0000
670; 34.6; 0; 0.0000
675; 33.0; 0; 0.0000
680; 32.0; 0; 0.0000
685; 30.5; 0; 0.0000
690; 29.8; 0; 0.0000
695; 29.1; 0; 0.0000
700; 28.3; 0; 0.0000
705; 27.9; 0; 0.0000
710; 27.2; 0; 0.0000
715; 25.8; 0; 0.0000
720; 24.8; 0; 0.0000
725; 24.4; 0; 0.0000
730; 23.0; 0; 0.0000
735; 21.2; 0; 0.0000
740; 21.1; 0; 0.0000
745; 20.7; 0; 0.0000
750; 20.3; 0; 0.0000
755; 19.9; 0; 0.0000
760; 19.9; 0; 0.0000
765; 19.3; 0; 0.0000
770; 18.5; 0; 0.0000
775; 17.8; 3; 0.0000
780; 17.6; 0; 0.0000
785; 17.5; 0; 0.0000
790; 16.8; 0; 0.0000
795; 16.9; 0; 0.0000
800; 17.6; 0; 0.0000
805; 17.1; 0; 0.0000
810; 16.9; 0; 0.0000
815; 16.2; 0; 0.0000
820; 15.5; 0; 0.0000
825; 16.3; 0; 0.0000
830; 16.2; 0; 0.0000
835; 15.3; 0; 0.0000
