Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyolefin;PA;;;Cable FIPEC-42 Single;Optical cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:28:19
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;20;314;41.03;192.52;129.57;15.6;22.09;;;;0.008840;2.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.8; 0; 0.0000
5; 3.1; 0; 0.0000
10; 0.6; 219; 0.0026
15; 0.3; 317; 0.0118
20; 3.2; 187; 0.0120
25; 52.9; 27; 0.0023
30; 145.9; 121; 0.0122
35; 231.2; 214; 0.0246
40; 287.4; 231; 0.0283
45; 314.5; 241; 0.0292
50; 311.5; 259; 0.0313
55; 300.2; 294; 0.0343
60; 280.2; 279; 0.0299
65; 266.3; 261; 0.0286
70; 256.3; 279; 0.0306
75; 248.7; 321; 0.0318
80; 239.0; 319; 0.0310
85; 231.0; 286; 0.0282
90; 218.1; 292; 0.0267
95; 204.7; 336; 0.0291
100; 196.6; 336; 0.0287
105; 194.9; 355; 0.0296
110; 196.4; 424; 0.0324
115; 204.3; 475; 0.0375
120; 221.0; 513; 0.0434
125; 236.6; 577; 0.0479
130; 252.8; 571; 0.0476
135; 250.6; 497; 0.0400
140; 226.6; 567; 0.0382
145; 197.9; 397; 0.0253
150; 174.1; 378; 0.0240
155; 159.5; 394; 0.0210
160; 147.1; 350; 0.0165
165; 129.4; 230; 0.0104
170; 112.4; 133; 0.0052
175; 98.7; 23; 0.0008
180; 86.3; 0; 0.0000
185; 74.7; 0; 0.0000
190; 66.4; 0; 0.0000
195; 60.0; 0; 0.0000
200; 56.1; 0; 0.0000
205; 53.9; 0; 0.0000
210; 52.7; 0; 0.0000
215; 50.1; 0; 0.0000
220; 48.0; 0; 0.0000
225; 44.5; 0; 0.0000
230; 42.6; 0; 0.0000
235; 41.9; 0; 0.0000
240; 41.6; 0; 0.0000
245; 40.7; 0; 0.0000
250; 38.9; 0; 0.0000
255; 37.1; 6; 0.0001
260; 35.1; 0; 0.0000
265; 33.3; 0; 0.0000
270; 32.1; 83; 0.0012
275; 29.4; 49; 0.0008
280; 28.2; 50; 0.0006
285; 28.5; 59; 0.0008
290; 28.1; 59; 0.0007
295; 26.5; 57; 0.0007
300; 27.0; 80; 0.0011
305; 27.1; 82; 0.0008
310; 24.4; 19; 0.0002
315; 22.8; 59; 0.0007
320; 23.6; 77; 0.0011
325; 24.3; 43; 0.0005
330; 23.0; 108; 0.0011
335; 22.8; 90; 0.0011
340; 20.8; 51; 0.0005
345; 19.7; 55; 0.0006
350; 20.1; 72; 0.0010
355; 19.9; 42; 0.0006
360; 20.0; 117; 0.0010
365; 19.0; 146; 0.0010
370; 17.8; 68; 0.0007
375; 18.2; 79; 0.0009
380; 17.4; 106; 0.0013
385; 16.3; 87; 0.0010
390; 16.1; 124; 0.0011
395; 15.6; 124; 0.0009
400; 14.5; 155; 0.0011
405; 14.1; 147; 0.0014
410; 13.9; 88; 0.0007
415; 12.9; 142; 0.0009
420; 13.2; 151; 0.0007
425; 12.7; 155; 0.0014
430; 11.5; 74; 0.0009
435; 11.8; 78; 0.0008
