Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PE;;;Cable FIPEC-45 10 pairs;Telephone cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:35:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;17;279;104.08;92.91;101.54;46.8;19.35;;;;0.008840;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.5; 101; 0.0010
5; 1.5; 0; 0.0010
10; 0.0; 0; 0.0000
15; 0.0; 114; 0.0010
20; 26.0; 484; 0.0383
25; 107.4; 676; 0.0903
30; 148.9; 844; 0.0981
35; 149.1; 870; 0.0913
40; 142.8; 825; 0.0833
45; 134.9; 861; 0.0775
50; 124.7; 858; 0.0686
55; 114.2; 850; 0.0586
60; 103.8; 709; 0.0457
65; 96.4; 700; 0.0429
70; 92.9; 650; 0.0397
75; 89.9; 653; 0.0389
80; 88.2; 667; 0.0391
85; 88.9; 631; 0.0417
90; 91.6; 676; 0.0433
95; 93.5; 663; 0.0416
100; 95.0; 614; 0.0413
105; 94.5; 648; 0.0420
110; 93.3; 624; 0.0377
115; 91.4; 630; 0.0372
120; 89.5; 623; 0.0342
125; 86.8; 600; 0.0318
130; 86.3; 574; 0.0305
135; 84.8; 550; 0.0289
140; 83.5; 582; 0.0293
145; 82.8; 605; 0.0289
150; 81.4; 545; 0.0262
155; 79.1; 544; 0.0252
160; 77.9; 529; 0.0232
165; 76.3; 573; 0.0221
170; 73.9; 528; 0.0202
175; 71.5; 455; 0.0187
180; 70.6; 456; 0.0188
185; 70.2; 443; 0.0174
190; 70.1; 476; 0.0180
195; 70.2; 462; 0.0178
200; 71.0; 447; 0.0182
205; 72.1; 436; 0.0193
210; 73.5; 441; 0.0217
215; 75.7; 446; 0.0218
220; 78.7; 501; 0.0259
225; 82.8; 499; 0.0297
230; 87.2; 520; 0.0302
235; 92.8; 522; 0.0332
240; 96.7; 466; 0.0333
245; 98.3; 522; 0.0376
250; 101.7; 508; 0.0392
255; 105.9; 546; 0.0427
260; 109.2; 501; 0.0407
265; 114.0; 506; 0.0454
270; 119.5; 542; 0.0492
275; 122.5; 568; 0.0504
280; 125.1; 561; 0.0519
285; 130.2; 595; 0.0560
290; 135.6; 633; 0.0582
295; 142.9; 607; 0.0610
300; 149.2; 630; 0.0644
305; 157.7; 671; 0.0687
310; 167.7; 656; 0.0731
315; 177.9; 668; 0.0775
320; 189.9; 654; 0.0783
325; 200.5; 662; 0.0833
330; 212.6; 728; 0.0905
335; 229.4; 705; 0.0920
340; 245.0; 661; 0.0921
345; 256.5; 674; 0.0929
350; 265.5; 672; 0.0936
355; 272.6; 692; 0.0941
360; 275.3; 692; 0.0906
365; 278.5; 703; 0.0913
370; 275.6; 724; 0.0937
375; 271.3; 739; 0.0935
380; 261.4; 757; 0.0919
385; 244.2; 781; 0.0878
390; 226.7; 830; 0.0846
395; 209.7; 855; 0.0827
400; 196.2; 883; 0.0810
405; 183.4; 863; 0.0727
410; 177.2; 869; 0.0696
415; 169.1; 814; 0.0645
420; 160.5; 865; 0.0639
425; 155.9; 985; 0.0628
430; 150.1; 901; 0.0522
435; 146.4; 915; 0.0524
440; 144.6; 877; 0.0503
445; 143.7; 860; 0.0452
450; 143.6; 918; 0.0452
455; 143.2; 860; 0.0439
460; 143.4; 872; 0.0440
465; 146.1; 892; 0.0419
470; 150.2; 943; 0.0459
475; 154.2; 881; 0.0440
480; 158.9; 835; 0.0421
485; 165.4; 861; 0.0457
490; 168.4; 822; 0.0443
495; 171.2; 889; 0.0475
500; 174.5; 857; 0.0458
505; 175.2; 844; 0.0455
510; 176.9; 848; 0.0443
515; 178.0; 887; 0.0456
520; 179.3; 908; 0.0463
525; 180.7; 820; 0.0424
530; 182.3; 744; 0.0416
535; 181.8; 847; 0.0450
540; 178.6; 828; 0.0409
545; 177.1; 815; 0.0401
550; 173.0; 831; 0.0393
555; 169.1; 818; 0.0369
560; 165.6; 865; 0.0370
565; 161.7; 872; 0.0367
570; 157.6; 805; 0.0340
575; 153.3; 791; 0.0333
580; 148.9; 762; 0.0299
585; 145.3; 750; 0.0282
590; 141.6; 750; 0.0284
595; 137.5; 698; 0.0249
600; 131.9; 773; 0.0251
605; 127.0; 657; 0.0225
610; 123.9; 654; 0.0218
615; 116.8; 743; 0.0220
620; 113.2; 615; 0.0177
625; 110.7; 589; 0.0179
630; 107.5; 513; 0.0154
635; 104.4; 539; 0.0155
640; 100.1; 559; 0.0142
645; 98.8; 479; 0.0122
650; 95.6; 485; 0.0116
655; 93.5; 463; 0.0112
660; 90.7; 400; 0.0095
665; 88.6; 420; 0.0083
670; 86.5; 387; 0.0089
675; 82.3; 413; 0.0082
680; 80.1; 340; 0.0072
685; 78.5; 307; 0.0064
