Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PE;;;Cable FIPEC-46 50 pairs;Telephone cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-04 08:38:16
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;10;426;245.02;137.03;114.72;95.0;22.48;;;;0.008840;20;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.4; 4; 0.0002
5; 1.6; 0; 0.0002
10; 3.9; 45; 0.0012
15; 95.9; 788; 0.1017
20; 199.8; 816; 0.1540
25; 237.4; 874; 0.1617
30; 245.4; 955; 0.1715
35; 246.7; 984; 0.1768
40; 245.7; 1010; 0.1724
45; 234.4; 946; 0.1582
50; 218.6; 993; 0.1458
55; 201.5; 992; 0.1281
60; 188.0; 930; 0.1186
65; 177.8; 934; 0.1088
70; 168.8; 1006; 0.1044
75; 159.1; 943; 0.0934
80; 153.3; 910; 0.0873
85; 146.1; 919; 0.0821
90; 141.2; 917; 0.0803
95; 141.6; 871; 0.0771
100; 136.7; 843; 0.0716
105; 133.5; 907; 0.0689
110; 126.3; 871; 0.0607
115; 118.6; 781; 0.0533
120; 113.4; 700; 0.0454
125; 107.4; 633; 0.0421
130; 100.0; 677; 0.0420
135; 95.1; 773; 0.0386
140; 93.5; 707; 0.0361
145; 88.9; 655; 0.0352
150; 84.4; 670; 0.0310
155; 80.2; 543; 0.0274
160; 76.1; 571; 0.0245
165; 72.8; 448; 0.0195
170; 70.7; 387; 0.0167
175; 68.8; 427; 0.0144
180; 65.1; 313; 0.0123
185; 61.1; 298; 0.0100
190; 58.6; 214; 0.0085
195; 57.4; 207; 0.0082
200; 56.8; 184; 0.0074
205; 55.2; 202; 0.0074
210; 55.7; 270; 0.0068
215; 58.0; 170; 0.0063
220; 59.9; 171; 0.0075
225; 59.7; 238; 0.0088
230; 64.5; 333; 0.0098
235; 69.9; 492; 0.0116
240; 72.3; 393; 0.0134
245; 76.2; 300; 0.0132
250; 80.1; 429; 0.0149
255; 78.7; 394; 0.0147
260; 80.1; 428; 0.0159
265; 83.2; 512; 0.0171
270; 86.5; 410; 0.0172
275; 88.9; 409; 0.0173
280; 89.0; 487; 0.0185
285; 91.8; 540; 0.0214
290; 100.3; 424; 0.0235
295; 104.2; 497; 0.0259
300; 109.4; 597; 0.0288
305; 117.1; 675; 0.0304
310; 120.6; 566; 0.0316
315; 126.0; 519; 0.0324
320; 134.0; 749; 0.0358
325; 137.2; 586; 0.0341
330; 138.9; 611; 0.0359
335; 144.8; 685; 0.0373
340; 146.6; 735; 0.0414
345; 146.7; 705; 0.0425
