Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PVC;;;Cable FIPEC-24 12x2x0,5 mm2;Data Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:13:28
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;14;211.65;81.62;120.91;141.76;43.13;14.22;;;;0.008178;14.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.2464; -0.108951; 0
5; 3.68227; -0.309708; 0
10; 1.02628; 15.1126; 0.00533967
15; 1.5779; 175.236; 0.110304
20; 0; 0; 0.143679
25; 71.5084; 0; 0.132644
30; 172.873; 1898.27; 0.124139
35; 204.957; 428.77; 0.109383
40; 211.653; 371.716; 0.10821
45; 206; 311.695; 0.106064
50; 198.854; 222.001; 0.0973637
55; 195.547; 557.494; 0.0859328
60; 188.608; 0; 0.0718902
65; 180.281; 2075.8; 0.0593819
70; 161.848; 779.869; 0.0491663
75; 146.317; 817.669; 0.0406377
80; 137.481; 767.452; 0.0382469
85; 128.332; 889.036; 0.0408726
90; 117.891; 863.459; 0.0391817
95; 112.725; 739.36; 0.0331732
100; 108.936; 755.178; 0.0337596
105; 103.995; 658.492; 0.0311638
110; 101.234; 618.209; 0.0285143
115; 100.121; 621.503; 0.0287313
120; 97.3187; 614.773; 0.0292846
125; 97.7495; 653.175; 0.0317791
130; 96.8112; 653.215; 0.0317591
135; 94.9113; 733.214; 0.0375851
140; 95.0532; 650.671; 0.0369956
145; 93.9051; 522.196; 0.0326844
150; 90.8534; 476.4; 0.0315148
155; 90.7106; 516.033; 0.0348436
160; 90.9513; 513.853; 0.0381355
165; 88.4315; 499.363; 0.0399461
170; 89.6042; 546.937; 0.0448383
175; 94.1774; 578.138; 0.0505981
180; 101.229; 547.548; 0.0527673
185; 107.389; 522.645; 0.0549298
190; 113.551; 516.906; 0.0593643
195; 120.384; 523.07; 0.0645659
200; 126.243; 573.37; 0.0717514
205; 131.146; 560.664; 0.0720843
210; 137.563; 523.455; 0.0715863
215; 144.931; 506.95; 0.0724973
220; 153.299; 481.108; 0.071492
225; 164.904; 486.673; 0.074474
230; 170.879; 508.742; 0.0776402
235; 175.734; 506.749; 0.0795545
240; 181.926; 483.045; 0.0802422
245; 182.916; 511.851; 0.0844743
250; 183.77; 550.873; 0.0891037
255; 183.948; 545.212; 0.0850382
260; 185.415; 563.54; 0.0837886
265; 183.615; 588.699; 0.0911724
270; 182.281; 536.995; 0.0870819
275; 183.45; 497.78; 0.0769692
280; 183.582; 549.691; 0.0795582
285; 187.271; 607.897; 0.0871128
290; 190.709; 531.886; 0.0750757
295; 189.007; 505.37; 0.0687104
300; 190.266; 606.6; 0.079998
305; 191.287; 552.049; 0.071961
310; 192.466; 578.138; 0.0696633
315; 192.253; 638.56; 0.0720034
320; 188.149; 538.627; 0.0624972
325; 182.24; 632.378; 0.0672799
330; 182.495; 646.755; 0.0653021
335; 173.817; 643.916; 0.064131
340; 171.146; 723.908; 0.0646849
345; 164.246; 741.487; 0.0632884
350; 165.297; 747.385; 0.0609182
355; 160.631; 874.575; 0.0669143
360; 156.888; 971.872; 0.070801
365; 156.99; 1008.25; 0.0716493
370; 156.603; 1068.1; 0.0738431
375; 152.536; 1059.59; 0.068885
380; 151.813; 1176.96; 0.0720597
385; 153.637; 1332.45; 0.0802058
390; 150.225; 1469.19; 0.0839732
395; 151.38; 1590.73; 0.0871692
400; 154.221; 1698.44; 0.0925539
405; 149.295; 1818.8; 0.10287
410; 145.091; 1676.95; 0.0941177
415; 144.354; 1509.22; 0.0812617
420; 149.586; 1646.24; 0.0858972
425; 152.022; 1810.94; 0.0830401
430; 153.673; 2193.9; 0.097498
435; 148.555; 2067.5; 0.0927615
440; 149.726; 2145.96; 0.0919785
445; 154.703; 1794.12; 0.0782752
450; 155.976; 2032.57; 0.0818192
455; 159.013; 2165.81; 0.0794603
460; 164.027; 1692.85; 0.0629689
465; 161.493; 2029.91; 0.0654458
470; 156.79; 1695.45; 0.0469999
475; 143.169; 1997.82; 0.0364224
480; 140.108; 1926.96; 0.0340977
485; 129.965; 1111.48; 0.0262854
490; 120.805; 783.067; 0.0198921
495; 111.457; 685.755; 0.0161782
500; 102.392; 652.706; 0.0133048
505; 94.2662; 1963.1; 0.0105766
510; 84.0355; 0; 0.00688732
515; 82.3222; 240.079; 0.00343558
520; 72.8905; 113.497; 0.00175517
525; 69.0773; 23.668; 0.000353454
530; 64.2608; -27.1793; 0
535; 63.1415; -28.859; 0
540; 53.1201; -55.5329; 0
545; 50.8629; -103.848; 0
550; 51.003; -39.1215; 0
555; 43.4806; -21.7411; 0
560; 42.6057; -37.4713; 0
565; 40.7848; -54.5426; 0
570; 49.4868; -27.4478; 0
575; 45.396; -95.2095; 0
580; 41.325; 0; 0
585; 42.81; -58.3713; 0
590; 42.817; -10.4502; 0
595; 36.8219; -44.2448; 0
600; 36.3761; -34.8688; 0
605; 34.8644; -77.3209; 0
610; 32.0633; 0; 0
615; 32.0834; -201.816; 0
620; 29.6878; -52.8507; 0
625; 26.6345; -53.6711; 0
630; 25.0055; -28.1607; 0
635; 25.5859; -46.3292; 0
640; 27.4131; -196.326; 0
645; 24.773; 0; 0
650; 27.4406; -103.837; 0
655; 23.728; -62.0579; 0
660; 23.5447; -82.8755; 0
665; 26.9991; -13.0041; 0
670; 27.3466; -37.0436; 0
675; 26.2463; 0; 0
680; 24.2167; -136.509; 0
685; 25.7692; -53.9982; 0
690; 24.0715; -82.5658; 0
695; 28.5322; -402.923; 0
700; 22.546; -77.2728; 0
705; 22.7864; -65.8211; 0
710; 25.6083; -301.466; 0
715; 22.9507; -55.1027; 0
720; 23.4162; -60.4265; 0
725; 24.5923; -275.068; 0
730; 23.3126; -176.758; 0
735; 21.979; -283.355; 0
740; 24.4217; -511.438; 0
745; 23.5244; -59.3882; 0
750; 20.6297; -52.3722; 0
755; 22.5623; -117.907; 0
760; 22.9671; -82.1127; 0
765; 21.9893; -71.1966; 0
770; 21.9015; -88.8305; 0
775; 23.6912; -75.0146; 0
780; 24.0132; -32.4248; 0
785; 22.3312; -18.6267; 0
790; 24.4189; -15.2102; 0
