Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
RPPVC;PVC;;;Cable FIPEC-25 8x2x0,5 mm2;Data Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:25:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;39;178.93;100.56;87.24;91.27;53.58;14.38;;;;0.007896;14;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.54478; 0; 0
5; 0; -281.945; 0
10; 1.90091; -40.9458; 0
15; 0; -18.385; 0
20; 0; 110.545; 0.00392678
25; 0.652927; 199.655; 0.00742197
30; 1.49927; 598.081; 0.0251299
35; 0; 681.848; 0.0305279
40; 0; 263.16; 0.0143206
45; 0; 468.756; 0.030403
50; 0; 622.825; 0.0402382
55; 55.8885; 558.693; 0.0358606
60; 87.9822; 744.459; 0.0494749
65; 90.844; 697.683; 0.0512142
70; 93.9943; 560.865; 0.0426038
75; 99.659; 590.406; 0.0414159
80; 96.5257; 610.691; 0.0422231
85; 99.2117; 684.102; 0.0455332
90; 97.9672; 731.913; 0.04438
95; 100.915; 725.607; 0.0450498
100; 102.173; 675.309; 0.045254
105; 100.391; 640.773; 0.0453582
110; 101.329; 663.169; 0.0440339
115; 102.647; 722.562; 0.0413946
120; 101.019; 673.702; 0.0386468
125; 100.148; 608.769; 0.036865
130; 99.9054; 554.642; 0.0348113
135; 102.323; 497.505; 0.0334103
140; 102.556; 605.49; 0.0391495
145; 97.6999; 644.539; 0.0379156
150; 94.3713; 673.897; 0.0405398
155; 93.1083; 713.126; 0.0416013
160; 89.9265; 766.218; 0.0438678
165; 90.1228; 775.127; 0.0441016
170; 89.1069; 773.435; 0.0421547
175; 87.8336; 812.139; 0.0408101
180; 84.4881; 781.403; 0.0362283
185; 86.5531; 695.612; 0.0335036
190; 87.7782; 726.223; 0.0346123
195; 87.1875; 626.751; 0.0303017
200; 90.5745; 538.011; 0.0267018
205; 96.222; 551.564; 0.0250747
210; 94.8909; 556.019; 0.0234898
215; 91.0367; 565.706; 0.0252622
220; 88.6826; 620.113; 0.0284046
225; 86.4097; 659.327; 0.0297573
230; 84.8671; 683.595; 0.0332369
235; 80.7462; 599.862; 0.0330715
240; 78.4912; 509.419; 0.0285877
245; 72.914; 555.186; 0.0293226
250; 77.1446; 507.298; 0.0271897
255; 84.7427; 421.452; 0.0242658
