Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC;PE;;;Cable FIPEC-29 10 pairs;Telephone Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:28:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;27;211.98;91.70;120.77;130.66;39.68;20.10;;;;0.00884;8.2;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0; 0; 0
5; 0; -155.301; 0
10; 0; -22.5117; 0
15; 2.57122; -2.05075; 0
20; 0.408135; 11.6396; 0.00094522
25; 2.45786; 69.056; 0.00482397
30; 1.92358; 999.655; 0.0674885
35; 0; 1455.11; 0.104984
40; 40.81; 1153.15; 0.113001
45; 120.967; 1077.21; 0.11691
50; 154.807; 1097.44; 0.12436
55; 162.852; 975.6; 0.113462
60; 160.675; 1039.08; 0.105635
65; 157.2; 933.094; 0.0865391
70; 156.358; 822.218; 0.0698189
75; 153.185; 935.994; 0.075145
80; 143.054; 858.115; 0.069676
85; 135.889; 897.177; 0.0691284
90; 128.634; 894.268; 0.0676966
95; 119.458; 840.897; 0.0668741
100; 115.672; 786.081; 0.0650041
105; 117.424; 895.667; 0.0660393
110; 118.176; 948.412; 0.0711593
115; 118.243; 879.817; 0.0701706
120; 115.473; 868.89; 0.068705
125; 117.998; 932.91; 0.0719124
130; 118.917; 941.211; 0.0699036
135; 115.711; 803.378; 0.0606141
140; 114.386; 843.102; 0.0582396
145; 118.46; 841.573; 0.0616724
150; 121.998; 748.862; 0.0593867
155; 122.939; 701.819; 0.0525114
160; 123.938; 752.491; 0.0509948
165; 123.061; 708.206; 0.0508055
170; 122.636; 651.868; 0.0486777
175; 122.249; 718.063; 0.0489906
180; 124.278; 697.904; 0.050925
185; 124.298; 671.976; 0.0531998
190; 123.889; 726.045; 0.0524017
195; 124.073; 705.175; 0.0488796
200; 122.805; 569.515; 0.0442327
205; 124.134; 553.597; 0.0438056
210; 124.223; 556.52; 0.0434486
215; 121.832; 532.076; 0.0434414
220; 119.513; 589.204; 0.0495637
225; 119.636; 595.069; 0.0483262
230; 118.677; 578.175; 0.0464565
235; 114.829; 571.26; 0.0495906
240; 114.243; 523.141; 0.0498487
245; 114.587; 549.34; 0.0530929
250; 113.78; 566.665; 0.0552918
255; 114.294; 622.429; 0.0624633
260; 117.706; 665.47; 0.0665418
265; 122.002; 642.982; 0.0659373
