Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;PVC;;;Cable FIPEC-33 1,5 mm2;Wire;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:36:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;26;162.31;26.07;124.94;85.56;14.04;14.26;;;;0.00884;2.9;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0; -1.59185; 0
5; 0; -2.36163; 0
10; 3.88; -2.263; 0
15; 0; 3.45463; 0.000281723
20; 2.02099; 24.6394; 0.00166677
25; 0; 187.322; 0.00930333
30; 0; 1301.97; 0.0742611
35; 0; 1145.89; 0.102467
40; 84.8636; 1151.43; 0.123108
45; 134.161; 971.888; 0.120009
50; 154.002; 748.097; 0.0980759
55; 161.031; 829.802; 0.103231
60; 162.31; 814.007; 0.0920233
65; 157.642; 863.485; 0.0979718
70; 157.772; 851.594; 0.0969416
75; 158.096; 788.637; 0.0883804
80; 157.347; 768.742; 0.0883123
85; 159.766; 859.804; 0.0960993
90; 158.776; 1003.82; 0.101624
95; 158.158; 917.467; 0.0942228
100; 159.232; 862.359; 0.0934781
105; 156.739; 902.019; 0.0914383
110; 156.724; 1020.92; 0.0946305
115; 160.074; 991.077; 0.0842416
120; 159.823; 1051.93; 0.0810309
125; 159.364; 1088.97; 0.0786799
130; 154.287; 1173.8; 0.0791049
135; 143.265; 1023.44; 0.0630449
140; 134.574; 937.591; 0.0519531
145; 128.229; 994.032; 0.0462142
150; 117.91; 1155.34; 0.0435811
155; 108.738; 1488.94; 0.0476549
160; 100.906; 1825.31; 0.0535926
165; 93.3915; 1856.43; 0.0474031
170; 114.241; 1881.24; 0.0442099
175; 108.335; 1590.36; 0.0394727
180; 94.8913; 1501.04; 0.0293275
185; 92.2246; 1684.94; 0.0238286
190; 95.7027; 1093.75; 0.0183767
195; 86.5645; 681.216; 0.010262
200; 74.2325; 516.012; 0.0046584
205; 65.233; 171.499; 0.00164001
210; 58.4788; 171.985; 0.00203242
215; 48.8149; 297.251; 0.00204002
220; 41.8538; 239.272; 0.00102436
225; 36.0521; 104.624; 0.000588933
230; 32.7367; 312.895; 0.000453088
235; 28.4155; 79.336; 0.00029435
240; 25.3521; 10.8781; 9.15E-05
245; 28.401; -3.87263; 0
250; 26.1592; -6.63653; 0
255; 23.8028; 12.1402; 5.69E-05
260; 24.4219; 21.2343; 4.02E-05
265; 23.8411; 0; 0
270; 25.4868; 22.4035; 6.05E-05
275; 25.1901; 23.7492; 0.000114334
280; 22.372; 38.3758; 0.000167951
285; 19.8367; 19.6699; 0.000130926
290; 18.7722; -1.79567; 0
295; 21.0759; 11.4922; 4.25E-05
300; 22.9172; 0; 7.19E-05
305; 21.0084; 22.1173; 5.48E-05
310; 19.0178; 55.577; 0.000179967
315; 18.3878; 75.9061; 0.000273054
320; 19.99; 18.0187; 0.000170714
325; 22.2104; 27.1669; 0.000224391
330; 20.4305; 30.5943; 0.000327334
335; 19.5231; 19.1202; 0.000205282
340; 17.7947; 4.20816; 3.32E-05
345; 17.3385; 6.49548; 9.29E-05
350; 17.7438; 7.36506; 0.000192019
