Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;PVDF;;;Cable FIPEC-35 1,5 mm2;Wire;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:39:35
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;63;408.90;18.73;87.11;58.86;7.29;18.52;;;;0.00884;1.95;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.79935; -4.94365; 0
5; 0; -13.7234; 0
10; 0; -138.743; 0
15; 3.15819; -127.037; 0
20; 0.0682307; -18.6083; 0
25; 0.900606; 172.338; 0.00121781
30; 0; 302.431; 0.00324643
35; 0; 107.799; 0.0040707
40; 0; 131.216; 0.00712799
45; 2.40024; 96.4182; 0.00710218
50; 0; 94.3047; 0.00849197
55; 1.25155; 214.21; 0.0198878
60; 1.9501; 541.607; 0.0467453
65; 0; 835.081; 0.0730732
70; 156.762; 868.983; 0.0842348
75; 317.77; 788.973; 0.0833904
80; 396.537; 838.647; 0.0942404
85; 408.905; 702.431; 0.0833903
90; 369.625; 643.414; 0.075546
95; 287.062; 525.556; 0.0487149
100; 207.267; 393.874; 0.0272735
105; 139.355; 177.675; 0.00925132
110; 86.4951; 62.3966; 0.0020216
115; 57.3174; 43.1813; 0.000864736
120; 43.207; 28.7069; 0.000423179
125; 34.8178; -29.6109; 0
130; 30.0446; -32.4723; 0
135; 30.5589; -19.8623; 0
140; 29.6824; -43.5977; 0
145; 31.0997; -70.9957; 0
150; 30.7428; -85.1459; 0
155; 30.5247; -80.8895; 0
160; 30.8696; -117.123; 0
165; 33.8194; -82.4406; 0
170; 32.6782; -74.342; 0
175; 32.9331; -88.1213; 0
180; 31.333; -101.484; 0
185; 29.8492; -155.202; 0
190; 28.8073; -192.845; 0
195; 27.4241; -119.161; 0
200; 25.9012; -95.8573; 0
205; 24.8831; -109.329; 0
210; 24.6052; -90.9548; 0
215; 22.0023; -74.0855; 0
220; 21.0094; -89.7419; 0
225; 19.1894; -102.886; 0
230; 17.0144; -134.671; 0
235; 19.3766; -217.373; 0
240; 18.8531; -170.41; 0
245; 15.3474; -113.793; 0
250; 12.3526; -141.709; 0
255; 14.0439; -183.959; 0
260; 17.6603; -140.496; 0
265; 18.0283; -160.758; 0
270; 17.6229; -129.287; 0
275; 16.0834; -117.818; 0
280; 15.9974; -135.252; 0
285; 17.3605; -158.855; 0
290; 17.8329; -263.248; 0
295; 15.6999; -168.315; 0
300; 17.8406; -93.9887; 0
305; 21.4807; -90.0852; 0
310; 19.5213; -71.3231; 0
315; 17.2798; -58.3076; 0
320; 15.1506; -63.2469; 0
325; 15.6914; -110.563; 0
330; 16.8169; -136.918; 0
335; 17.1272; -133.288; 0
340; 17.6272; -191.028; 0
345; 14.9914; -122.383; 0
350; 13.4314; -61.9113; 0
355; 14.7388; -93.8321; 0
360; 16.4774; -113.227; 0
365; 17.1462; -108.26; 0
370; 15.0206; -202.882; 0
375; 15.9741; -168.074; 0
380; 18.8711; -98.4338; 0
385; 18.8319; -154.074; 0
390; 19.6361; 0; 0
395; 16.2945; -130.788; 0
400; 17.4394; -123.2; 0
405; 17.8796; -100.262; 0
410; 16.6508; -40.563; 0
415; 15.9691; -46.1672; 0
420; 14.5731; -43.898; 0
425; 12.1883; -26.3272; 0
