Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;Polyester;;;Cable FIPEC-36 1,5 mm2;Wire;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-05 08:44:03
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;59;106.73;22.18;95.31;69.37;6.67;22.79;;;;0.00884;2.1;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0; 0; 0.000306479
5; 1.61226; 0; 0.000307574
10; 0; 103.763; 0.000148926
15; 0; 0; 0.000150303
20; 0; 71.5843; 0.000251372
25; 0; 8.59476; 5.85E-05
30; 0; 0; 0.000256232
35; 0.33535; 45.7987; 0.000410624
40; 7.00528; 19.3416; 0.000624512
45; 0; 14.3404; 0.000671856
50; 2.31799; 28.0067; 0.00120857
55; 2.3978; 59.3877; 0.00241284
60; 0; 484.162; 0.011282
65; 0; 1019.48; 0.0169022
70; 69.1857; 390.356; 0.0216969
75; 169.559; 278.668; 0.0205684
80; 206.731; 247.391; 0.018432
85; 195.553; 207.276; 0.0147094
90; 173.472; 210.449; 0.0130738
95; 165.284; 283.918; 0.0127121
100; 158.319; 459.229; 0.0152241
105; 149.633; 368.85; 0.0136683
110; 141.657; 423.746; 0.0171001
115; 135.625; 404.475; 0.0147578
120; 125.054; 387.089; 0.012955
125; 113.107; 361.262; 0.0115543
130; 112.106; 322.236; 0.00817159
135; 107.61; 282.643; 0.00692263
140; 98.1425; 197.476; 0.00556562
145; 91.8179; 213.714; 0.00490346
150; 92.0306; 219.1; 0.00409925
155; 89.619; 160.93; 0.00332987
160; 82.3126; 144.556; 0.00251452
165; 78.0917; 82.1722; 0.00138665
170; 78.377; 43.5559; 0.000839987
175; 77.2946; 28.0223; 0.000461331
180; 73.7113; 14.7076; 0.000229501
185; 72.8159; 23.9759; 0.000357154
190; 70.036; 11.5162; 0.000139722
195; 64.8721; 4.18254; 5.82E-05
200; 62.0112; 9.21207; 0.000159472
205; 59.6283; 5.97552; 9.25E-05
210; 57.2479; 2.52783; 3.69E-05
215; 52.7384; 4.13059; 6.84E-05
220; 46.4892; -0.931717; 0
225; 44.3905; -3.08918; 0
230; 45.9378; 12.2993; 0.000129816
235; 46.557; 13.8969; 0.000182763
240; 48.1056; 10.8679; 0.000201887
245; 48.7972; 17.2802; 0.000301596
250; 43.2717; 12.7856; 0.000213593
255; 39.1119; 10.795; 0.000195987
260; 37.3633; 11.6956; 0.000153045
265; 34.3108; 3.06373; 2.84E-05
270; 33.0187; 2.33718; 3.58E-05
275; 32.6733; 3.06605; 5.62E-05
280; 29.1572; 6.84557; 0.000105846
285; 27.7412; 6.66225; 9.75E-05
290; 26.0767; 0.312506; 4.29E-06
295; 22.7089; 9.36132; 0.000135488
300; 24.6023; 12.8267; 0.000210314
305; 25.3933; 6.97051; 0.000104585
310; 25.5837; 9.48947; 0.000138018
315; 26.3352; 1.32094; 1.44E-05
320; 27.2297; -11.8043; 0
325; 31.6527; 2.99796; 3.93E-05
330; 30.171; 10.0974; 0.00017002
335; 26.4529; 17.186; 0.000245169
340; 29.1243; 12.4026; 0.000144579
345; 27.5569; 12.92; 0.000108084
350; 24.1164; 25.572; 0.000122702
355; 23.9514; 17.4474; 0.000114658
360; 21.885; 1.87135; 1.53E-05
365; 18.5624; 4.65497; 4.50E-05
370; 21.2705; 11.2206; 0.000124779
375; 22.9892; 10.4552; 9.47E-05
380; 18.1981; 12.466; 7.56E-05
385; 20.2285; 20.4326; 9.18E-05
390; 18.3186; -1.21059; 0
395; 15.4326; -23.9985; 0
400; 16.3779; -0.348207; 0
405; 17.2989; 0.969091; 1.44E-05
410; 16.9437; -14.2238; 0
415; 19.3863; -13.028; 0
420; 18.0004; -3.21713; 0
425; 17.0752; -7.81923; 0
430; 18.6649; -1.53496; 0
