Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
ZHPolyolefin;PP;;;FIPEC Cable 27 1x3x1.5 mm2;Data Cable;;ISO 5660;FIPEC Final Report on the European Commission, SMT4-CT96-2059, 410pp, ISBN 0 9532312 5 9, London 2000;;;1;2005-10-31 10:58:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;128;176;122.38;114.75;114.74;36.4;28.97;;;;0.008690;8.4;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.0; 11; 0.0005
5; 0.2; 0; 0.0005
10; 0.0; 0; 0.0004
15; 0.0; 84; 0.0006
20; 0.0; 421; 0.0006
25; 0.0; 0; 0.0007
30; 0.0; 0; 0.0009
35; 0.0; 78; 0.0008
40; 0.0; 284; 0.0008
45; 0.0; 0; 0.0009
50; 0.0; 0; 0.0009
55; 0.0; 0; 0.0010
60; 0.0; 0; 0.0013
65; 0.0; 456; 0.0022
70; 0.0; 394; 0.0021
75; 0.0; 0; 0.0023
80; 0.0; 0; 0.0027
85; 0.0; 1392; 0.0026
90; 0.0; 916; 0.0030
95; 0.0; 1154; 0.0032
100; 0.0; 483; 0.0032
105; 0.0; 767; 0.0031
110; 0.4; 0; 0.0033
115; 0.3; 465; 0.0032
120; 2.2; 909; 0.0031
125; 14.0; 0; 0.0029
130; 43.9; 276; 0.0024
135; 83.6; 335; 0.0067
140; 108.5; 379; 0.0115
145; 121.3; 436; 0.0141
150; 130.8; 358; 0.0130
155; 132.2; 319; 0.0133
160; 126.6; 352; 0.0146
165; 118.3; 321; 0.0140
170; 110.9; 333; 0.0129
175; 108.0; 371; 0.0118
180; 110.2; 362; 0.0129
185; 109.7; 374; 0.0135
190; 108.5; 365; 0.0130
195; 109.7; 345; 0.0120
200; 109.5; 347; 0.0129
205; 108.6; 323; 0.0129
210; 110.0; 342; 0.0116
215; 111.0; 394; 0.0133
220; 110.3; 364; 0.0135
225; 112.2; 376; 0.0134
230; 112.8; 364; 0.0137
235; 112.5; 367; 0.0134
240; 111.4; 422; 0.0147
245; 111.1; 369; 0.0138
250; 112.2; 408; 0.0144
255; 113.4; 427; 0.0142
260; 115.2; 414; 0.0152
265; 117.0; 364; 0.0139
270; 118.0; 383; 0.0149
275; 118.1; 392; 0.0153
280; 119.6; 385; 0.0151
285; 120.3; 425; 0.0160
290; 120.9; 446; 0.0158
295; 120.6; 356; 0.0157
300; 119.0; 411; 0.0161
305; 117.2; 433; 0.0154
310; 116.1; 359; 0.0144
315; 115.1; 411; 0.0147
320; 114.0; 389; 0.0144
325; 114.0; 384; 0.0147
330; 116.1; 449; 0.0145
335; 118.0; 391; 0.0145
340; 117.8; 316; 0.0138
345; 116.2; 377; 0.0135
350; 114.7; 390; 0.0141
355; 112.9; 353; 0.0138
360; 112.3; 423; 0.0144
365; 113.9; 417; 0.0144
370; 114.7; 357; 0.0144
375; 114.2; 351; 0.0139
380; 113.2; 396; 0.0142
385; 112.2; 382; 0.0143
390; 112.7; 406; 0.0137
