Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR Treated; Interliner: Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-01 10:09:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;98.00;18.00;;;19.700;;0.0212;7.203;9.060;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 7.7; 2; 0.0001
5; 14.5; 0; 0.0001
10; 96.3; 48; 0.0042
15; 97.9; 26; 0.0028
20; 68.0; 22; 0.0009
25; 54.8; 40; 0.0017
30; 58.7; 85; 0.0044
35; 70.1; 185; 0.0114
40; 81.0; 219; 0.0152
45; 88.9; 270; 0.0204
50; 92.4; 255; 0.0199
55; 91.5; 225; 0.0160
60; 83.1; 148; 0.0088
65; 70.7; 36; 0.0018
70; 55.5; 42; 0.0017
75; 40.5; 259; 0.0090
80; 30.7; 278; 0.0094
85; 25.5; 359; 0.0110
90; 20.5; 421; 0.0125
95; 17.9; 476; 0.0143
100; 15.7; 417; 0.0122
105; 13.5; 477; 0.0140
110; 11.3; 708; 0.0199
115; 9.5; 693; 0.0195
120; 7.7; 703; 0.0188
125; 7.0; 695; 0.0170
130; 6.3; 592; 0.0155
135; 6.1; 662; 0.0162
140; 5.9; 622; 0.0146
145; 5.9; 592; 0.0132
150; 6.0; 673; 0.0124
155; 5.9; 620; 0.0121
160; 5.9; 584; 0.0116
165; 6.0; 590; 0.0115
170; 5.8; 501; 0.0119
175; 5.9; 592; 0.0114
180; 5.9; 913; 0.0119
185; 5.8; 799; 0.0127
190; 6.3; 743; 0.0132
195; 6.2; 905; 0.0124
200; 6.4; 639; 0.0141
205; 6.6; 752; 0.0141
210; 6.2; 1192; 0.0132
215; 6.0; 846; 0.0138
220; 6.1; 831; 0.0145
225; 6.1; 911; 0.0135
230; 5.9; 3349; 0.0139
235; 5.7; 0; 0.0142
240; 5.7; 1555; 0.0154
245; 5.9; 640; 0.0145
250; 5.8; 786; 0.0165
255; 5.9; 856; 0.0174
260; 6.3; 776; 0.0175
265; 6.2; 762; 0.0171
270; 6.2; 757; 0.0172
275; 6.5; 707; 0.0187
280; 6.8; 714; 0.0175
285; 7.1; 906; 0.0204
290; 7.6; 704; 0.0186
295; 7.8; 741; 0.0192
300; 7.9; 823; 0.0212
305; 8.1; 696; 0.0193
310; 7.7; 646; 0.0178
315; 7.7; 704; 0.0207
320; 7.7; 630; 0.0184
325; 7.9; 812; 0.0212
330; 8.3; 697; 0.0199
335; 8.4; 641; 0.0199
340; 8.2; 660; 0.0197
345; 8.2; 671; 0.0193
350; 8.5; 678; 0.0200
355; 8.6; 513; 0.0184
360; 8.7; 692; 0.0196
365; 8.9; 712; 0.0179
370; 9.1; 590; 0.0165
375; 9.5; 577; 0.0179
380; 9.8; 513; 0.0161
385; 9.7; 665; 0.0171
390; 10.1; 440; 0.0152
395; 10.2; 509; 0.0148
400; 10.4; 495; 0.0135
405; 10.1; 429; 0.0139
410; 10.3; 482; 0.0148
415; 10.6; 468; 0.0148
420; 10.7; 432; 0.0130
425; 11.1; 383; 0.0119
430; 11.2; 433; 0.0131
435; 11.0; 489; 0.0138
440; 11.2; 445; 0.0127
445; 11.4; 453; 0.0132
450; 11.2; 449; 0.0128
455; 11.6; 417; 0.0124
460; 11.7; 402; 0.0109
465; 12.1; 431; 0.0115
470; 12.1; 299; 0.0091
475; 12.2; 352; 0.0102
480; 11.7; 315; 0.0083
485; 11.6; 363; 0.0096
490; 12.0; 346; 0.0094
495; 11.7; 336; 0.0092
500; 11.0; 364; 0.0089
505; 11.2; 356; 0.0090
510; 10.9; 305; 0.0074
515; 14.5; 300; 0.0075
520; 33.0; 77; 0.0019
525; 48.0; 1; 0.0000
530; 58.1; 4; 0.0001
535; 65.9; 18; 0.0006
540; 70.9; 44; 0.0016
545; 74.5; 34; 0.0013
550; 76.7; 42; 0.0017
555; 76.3; 53; 0.0020
560; 74.3; 58; 0.0018
565; 72.3; 54; 0.0016
570; 71.3; 24; 0.0008
575; 67.2; 41; 0.0013
580; 63.1; 36; 0.0011
585; 60.2; 30; 0.0010
590; 57.3; 41; 0.0011
595; 52.7; 46; 0.0011
600; 47.7; 35; 0.0007
605; 44.8; 53; 0.0009
610; 40.9; 47; 0.0008
615; 36.2; 0; 0.0000
620; 34.5; 9; 0.0001
625; 32.1; 37; 0.0005
630; 29.5; 14; 0.0002
635; 27.9; 35; 0.0004
640; 25.3; 22; 0.0002
645; 25.0; 0; 0.0000
650; 22.2; 0; 0.0000
655; 22.8; 0; 0.0000
660; 19.9; 0; 0.0000
665; 17.6; 33; 0.0004
670; 15.5; 75; 0.0005
