Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR Treated; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:15:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;186;40;;;22.4;;0.0254;3.07;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 5.1; 0; 0.0000
5; 16.0; 0; 0.0000
10; 113.1; 36; 0.0028
15; 115.9; 70; 0.0090
20; 118.6; 132; 0.0120
25; 118.5; 195; 0.0161
30; 120.4; 163; 0.0130
35; 143.2; 203; 0.0172
40; 175.8; 199; 0.0196
45; 185.9; 230; 0.0254
50; 149.2; 244; 0.0230
55; 103.8; 223; 0.0136
60; 72.2; 40; 0.0017
65; 56.6; 16; 0.0006
70; 49.8; 13; 0.0005
75; 47.2; 6; 0.0003
80; 45.7; 8; 0.0004
85; 44.7; 0; 0.0000
90; 44.1; 16; 0.0006
95; 43.4; 4; 0.0002
100; 42.1; 7; 0.0003
105; 42.4; 12; 0.0005
110; 41.5; 9; 0.0004
115; 38.4; 13; 0.0005
120; 34.9; 30; 0.0011
125; 33.6; 26; 0.0008
130; 33.5; 22; 0.0006
135; 33.8; 22; 0.0007
140; 35.1; 15; 0.0005
145; 37.1; 20; 0.0007
150; 40.0; 14; 0.0005
155; 44.2; 27; 0.0010
160; 49.9; 17; 0.0006
165; 55.7; 42; 0.0016
170; 61.3; 48; 0.0021
175; 65.5; 48; 0.0022
180; 69.7; 82; 0.0036
185; 73.7; 84; 0.0038
190; 78.1; 96; 0.0046
195; 81.5; 117; 0.0057
200; 84.5; 120; 0.0055
205; 88.2; 133; 0.0063
210; 90.8; 145; 0.0071
215; 93.2; 167; 0.0078
220; 95.4; 180; 0.0088
225; 97.1; 173; 0.0085
230; 98.0; 187; 0.0091
235; 98.1; 186; 0.0090
240; 98.6; 211; 0.0100
245; 98.4; 222; 0.0109
250; 98.3; 212; 0.0103
255; 98.9; 229; 0.0107
260; 100.6; 208; 0.0112
265; 100.7; 218; 0.0104
270; 99.9; 283; 0.0107
275; 99.2; 263; 0.0116
280; 98.2; 269; 0.0119
285; 96.8; 223; 0.0113
290; 95.3; 233; 0.0106
295; 93.8; 303; 0.0111
300; 92.1; 225; 0.0104
305; 92.1; 207; 0.0096
310; 91.2; 261; 0.0104
315; 91.1; 242; 0.0098
320; 90.9; 235; 0.0100
325; 90.1; 227; 0.0095
330; 89.7; 255; 0.0097
335; 88.0; 237; 0.0100
340; 87.7; 221; 0.0092
345; 86.2; 239; 0.0092
350; 85.7; 229; 0.0089
355; 84.1; 225; 0.0084
360; 82.3; 234; 0.0085
365; 79.8; 224; 0.0080
370; 78.0; 199; 0.0073
375; 77.3; 181; 0.0063
380; 75.9; 149; 0.0054
385; 74.5; 141; 0.0054
390; 73.4; 193; 0.0059
395; 72.2; 152; 0.0049
400; 69.9; 120; 0.0044
405; 68.5; 144; 0.0049
410; 67.3; 122; 0.0044
415; 65.8; 117; 0.0041
420; 64.9; 146; 0.0043
425; 63.5; 130; 0.0035
430; 62.4; 102; 0.0030
435; 61.5; 92; 0.0026
440; 60.2; 123; 0.0034
445; 58.7; 129; 0.0035
450; 58.1; 113; 0.0027
455; 56.2; 146; 0.0033
460; 54.0; 74; 0.0024
465; 52.9; 107; 0.0023
470; 50.2; 187; 0.0022
475; 47.5; 86; 0.0021
480; 45.6; 72; 0.0015
485; 43.8; 50; 0.0010
490; 42.1; 67; 0.0016
495; 40.1; 70; 0.0014
500; 38.0; 65; 0.0010
505; 35.7; 44; 0.0008
510; 33.8; 28; 0.0004
515; 31.9; 48; 0.0007
520; 30.3; 21; 0.0003
525; 29.2; 11; 0.0001
530; 26.9; 15; 0.0002
535; 25.4; 20; 0.0003
540; 24.2; 37; 0.0005
545; 22.5; 20; 0.0003
550; 21.1; 18; 0.0002
555; 19.2; 52; 0.0005
560; 17.7; 0; 0.0000
565; 16.2; 0; 0.0000
570; 14.7; 11; 0.0001
575; 13.4; 27; 0.0003
580; 12.6; 4; 0.0000
585; 11.4; 27; 0.0002
590; 10.2; 32; 0.0002
595; 8.8; 40; 0.0003
600; 7.6; 54; 0.0005
605; 7.1; 73; 0.0006
610; 6.5; 46; 0.0005
615; 6.7; 21; 0.0003
