Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR Treated; Interliner: Kevlar;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:18:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;165;35;;;17.9;19.680;0.237;1.374;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 5.0; 2; 0.0002
5; 24.3; 0; 0.0002
10; 118.5; 44; 0.0043
15; 134.0; 82; 0.0120
20; 159.1; 233; 0.0217
25; 165.0; 284; 0.0237
30; 162.9; 262; 0.0232
35; 160.9; 253; 0.0221
40; 155.7; 251; 0.0203
45; 147.0; 264; 0.0213
50; 133.2; 266; 0.0182
55; 119.1; 248; 0.0148
60; 107.8; 166; 0.0104
65; 100.7; 111; 0.0061
70; 94.3; 82; 0.0040
75; 90.0; 54; 0.0027
80; 87.0; 36; 0.0018
85; 82.5; 38; 0.0018
90; 77.9; 12; 0.0005
95; 74.9; 19; 0.0008
100; 70.6; 23; 0.0010
105; 67.2; 25; 0.0010
110; 64.6; 4; 0.0002
115; 60.1; 6; 0.0002
120; 56.4; 9; 0.0003
125; 51.5; 9; 0.0003
130; 47.6; 3; 0.0001
135; 45.3; 7; 0.0002
140; 41.1; 0; 0.0000
145; 38.0; 23; 0.0005
150; 35.4; 17; 0.0003
155; 32.2; 31; 0.0006
160; 32.3; 7; 0.0001
165; 31.4; 0; 0.0000
170; 32.1; 26; 0.0004
175; 33.1; 19; 0.0004
180; 32.8; 26; 0.0006
185; 34.9; 18; 0.0004
190; 34.4; 14; 0.0003
195; 34.8; 14; 0.0003
200; 34.3; 7; 0.0001
205; 34.7; 0; 0.0000
210; 34.3; 0; 0.0000
215; 34.8; 5; 0.0002
220; 35.3; 9; 0.0002
225; 36.4; 0; 0.0000
230; 38.8; 0; 0.0000
235; 39.9; 0; 0.0000
240; 43.0; 10; 0.0003
245; 44.6; 0; 0.0000
250; 48.8; 8; 0.0002
255; 50.9; 6; 0.0002
260; 55.3; 9; 0.0003
265; 58.5; 18; 0.0005
270; 60.8; 24; 0.0008
275; 66.2; 17; 0.0006
280; 71.3; 12; 0.0004
285; 74.5; 23; 0.0008
290; 79.1; 25; 0.0010
295; 81.8; 30; 0.0011
300; 87.3; 42; 0.0015
305; 91.1; 58; 0.0023
310; 95.6; 62; 0.0027
315; 97.5; 81; 0.0035
320; 99.4; 64; 0.0029
325; 101.5; 63; 0.0030
330; 100.9; 76; 0.0033
335; 101.6; 75; 0.0030
340; 101.0; 89; 0.0035
345; 100.9; 65; 0.0026
350; 99.8; 46; 0.0017
355; 96.6; 68; 0.0024
360; 95.7; 90; 0.0025
365; 92.0; 96; 0.0019
370; 88.2; 68; 0.0021
375; 84.7; 36; 0.0013
380; 80.6; 33; 0.0010
385; 74.7; 36; 0.0011
390; 71.9; 37; 0.0011
395; 66.2; 21; 0.0007
400; 61.2; 0; 0.0000
405; 56.7; 40; 0.0007
410; 50.2; 40; 0.0007
415; 48.0; 22; 0.0004
420; 45.2; 22; 0.0004
425; 42.0; 23; 0.0005
430; 37.2; 50; 0.0007
435; 35.9; 28; 0.0003
440; 34.4; 0; 0.0000
445; 32.6; 0; 0.0000
450; 29.4; 14; 0.0002
455; 29.4; 9; 0.0001
460; 28.5; 4; 0.0000
465; 27.6; 2; 0.0000
470; 24.6; 33; 0.0004
475; 24.8; 5; 0.0001
480; 24.7; 8; 0.0001
485; 23.5; 0; 0.0000
490; 23.0; 9; 0.0001
495; 22.9; 0; 0.0000
500; 22.6; 8; 0.0001
505; 22.1; 22; 0.0003
510; 21.3; 0; 0.0000
515; 20.7; 6; 0.0001
520; 20.7; 0; 0.0000
525; 20.7; 14; 0.0001
530; 19.8; 36; 0.0003
535; 19.2; 0; 0.0000
540; 17.8; 19; 0.0002
545; 15.1; 0; 0.0000
550; 14.1; 4; 0.0000
555; 13.9; 0; 0.0000
560; 13.0; 0; 0.0000
565; 12.4; 41; 0.0003
570; 12.3; 13; 0.0001
575; 12.0; 0; 0.0000
580; 10.7; 0; 0.0000
585; 9.6; 0; 0.0000
590; 9.0; 5; 0.0000
595; 9.0; 51; 0.0001
600; 9.1; 45; 0.0001
605; 8.8; 0; 0.0000
610; 8.5; 0; 0.0000
615; 7.6; 8; 0.0001
620; 7.6; 20; 0.0001
625; 8.3; 0; 0.0000
