Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR Treated; ;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:30:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;246;38;;;18.5;20.56;0.0371;3.241;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 6.0; 10; 0.0007
5; 34.1; 0; 0.0007
10; 169.0; 60; 0.0068
15; 246.5; 144; 0.0261
20; 225.8; 240; 0.0326
25; 185.5; 320; 0.0342
30; 169.5; 353; 0.0342
35; 170.5; 372; 0.0371
40; 167.7; 309; 0.0332
45; 157.9; 310; 0.0292
50; 150.6; 275; 0.0242
55; 142.1; 194; 0.0176
60; 136.0; 170; 0.0144
65; 131.1; 157; 0.0126
70; 123.4; 123; 0.0094
75; 115.0; 109; 0.0076
80; 111.9; 84; 0.0057
85; 112.7; 85; 0.0060
90; 115.9; 101; 0.0070
95; 119.9; 114; 0.0084
100; 125.6; 137; 0.0108
105; 129.7; 146; 0.0115
110; 134.7; 218; 0.0159
115; 147.5; 228; 0.0166
120; 168.5; 249; 0.0201
125; 197.6; 265; 0.0244
130; 226.2; 264; 0.0260
135; 239.5; 240; 0.0240
140; 241.2; 226; 0.0217
145; 238.2; 214; 0.0217
150; 232.7; 195; 0.0194
155; 222.3; 216; 0.0173
160; 208.6; 215; 0.0159
165; 188.2; 216; 0.0159
170; 166.8; 177; 0.0118
175; 150.9; 170; 0.0092
180; 135.5; 121; 0.0064
185; 123.4; 88; 0.0040
190; 112.4; 70; 0.0028
195; 102.5; 45; 0.0019
200; 94.6; 36; 0.0014
205; 86.2; 29; 0.0010
210; 78.4; 6; 0.0002
215; 72.7; 1; 0.0000
220; 67.1; 0; 0.0000
225; 63.6; 0; 0.0000
230; 60.3; 0; 0.0000
235; 56.1; 0; 0.0000
240; 52.5; 0; 0.0000
245; 48.5; 0; 0.0000
250; 44.2; 0; 0.0000
255; 41.3; 0; 0.0000
260; 38.1; 0; 0.0000
265; 34.8; 0; 0.0000
270; 32.0; 0; 0.0000
275; 29.0; 0; 0.0000
280; 26.7; 0; 0.0000
285; 23.9; 0; 0.0000
290; 22.5; 0; 0.0000
295; 21.0; 0; 0.0000
300; 18.5; 0; 0.0000
305; 16.1; 0; 0.0000
310; 14.9; 0; 0.0000
315; 14.6; 0; 0.0000
320; 14.7; 0; 0.0000
325; 14.4; 0; 0.0000
330; 14.4; 0; 0.0000
335; 13.7; 0; 0.0000
340; 13.0; 0; 0.0000
345; 11.5; 0; 0.0000
350; 10.9; 0; 0.0000
355; 10.9; 0; 0.0000
360; 10.7; 0; 0.0000
365; 10.5; 49; 0.0003
370; 10.5; 0; 0.0000
375; 10.4; 0; 0.0000
380; 10.9; 0; 0.0000
385; 11.0; 0; 0.0000
390; 10.9; 15; 0.0001
395; 10.4; 0; 0.0000
400; 10.9; 0; 0.0000
405; 10.8; 0; 0.0000
410; 10.9; 0; 0.0000
415; 10.5; 0; 0.0000
420; 10.3; 0; 0.0000
425; 10.1; 17; 0.0001
430; 10.0; 0; 0.0000
435; 10.3; 0; 0.0000
440; 10.8; 0; 0.0000
445; 10.9; 0; 0.0000
450; 11.2; 0; 0.0000
455; 11.1; 0; 0.0000
460; 10.7; 0; 0.0000
