Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR; Interliner: Polyester Wadding/Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:33:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;177;12;;;15.6;6.530;0.0537;4.3265;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 8.7; 0; 0.0000
5; 4.9; 0; 0.0000
10; 53.5; 0; 0.0023
15; 224.1; 35; 0.0026
20; 176.9; 0; 0.0000
25; 100.0; 13; 0.0015
30; 76.0; 12; 0.0006
35; 81.9; 22; 0.0011
40; 117.0; 115; 0.0084
45; 154.6; 331; 0.0342
50; 162.3; 441; 0.0537
55; 148.6; 415; 0.0463
60; 121.1; 371; 0.0360
65; 94.0; 253; 0.0185
70; 72.8; 119; 0.0063
75; 57.8; 4; 0.0002
80; 47.9; 9; 0.0004
85; 40.2; 8; 0.0003
90; 35.2; 53; 0.0018
95; 33.2; 56; 0.0019
100; 30.8; 43; 0.0013
105; 26.8; 81; 0.0027
110; 21.1; 141; 0.0041
115; 17.0; 219; 0.0054
120; 14.1; 276; 0.0067
125; 11.2; 324; 0.0068
130; 9.0; 358; 0.0069
135; 7.0; 428; 0.0067
140; 3.6; 525; 0.0071
145; 2.1; 698; 0.0102
150; 1.2; 667; 0.0093
155; 0.6; 1027; 0.0082
160; 0.9; 293; 0.0079
165; 1.0; 292; 0.0068
170; 1.2; 685; 0.0066
175; 1.2; 0; 0.0064
180; 1.2; 0; 0.0059
185; 1.1; 677; 0.0063
190; 0.8; 571; 0.0058
195; 0.7; 714; 0.0064
200; 0.4; 383; 0.0065
205; 0.4; 582; 0.0067
210; 0.6; 1879; 0.0066
215; 0.4; 532; 0.0066
220; 0.3; 699; 0.0066
225; 0.4; 653; 0.0062
230; 0.4; 476; 0.0061
235; 0.5; 629; 0.0062
240; 0.5; 728; 0.0061
245; 0.6; 699; 0.0062
250; 0.4; 598; 0.0058
255; 0.4; 522; 0.0059
260; 0.6; 440; 0.0053
265; 0.8; 585; 0.0071
270; 0.9; 478; 0.0060
275; 1.0; 634; 0.0066
280; 1.1; 558; 0.0063
285; 1.1; 430; 0.0055
290; 1.2; 485; 0.0061
295; 1.4; 583; 0.0071
300; 1.3; 545; 0.0074
305; 1.6; 451; 0.0066
310; 1.6; 452; 0.0064
315; 1.7; 465; 0.0067
320; 1.6; 457; 0.0068
325; 1.7; 438; 0.0070
330; 1.6; 488; 0.0072
335; 1.8; 559; 0.0068
340; 1.9; 515; 0.0073
345; 2.0; 354; 0.0067
350; 2.3; 454; 0.0060
355; 2.4; 684; 0.0070
360; 2.5; 470; 0.0069
365; 2.9; 404; 0.0062
370; 2.7; 376; 0.0065
375; 3.0; 457; 0.0064
380; 3.3; 378; 0.0071
385; 2.8; 415; 0.0068
390; 3.2; 570; 0.0076
395; 3.3; 321; 0.0063
400; 3.3; 374; 0.0062
405; 3.3; 410; 0.0067
410; 3.2; 388; 0.0066
415; 3.6; 426; 0.0069
420; 3.6; 351; 0.0063
425; 4.0; 346; 0.0062
430; 3.9; 394; 0.0069
435; 4.0; 343; 0.0059
440; 4.2; 334; 0.0052
445; 4.4; 386; 0.0064
450; 4.6; 275; 0.0053
455; 4.5; 235; 0.0049
460; 4.5; 292; 0.0052
465; 4.8; 304; 0.0048
470; 4.7; 229; 0.0045
475; 4.7; 210; 0.0045
480; 4.6; 327; 0.0060
485; 5.1; 322; 0.0057
490; 5.2; 290; 0.0057
495; 5.0; 276; 0.0054
500; 4.9; 242; 0.0040
505; 1.2; 298; 0.0053
510; 5.3; 205; 0.0047
515; 5.7; 250; 0.0049
520; 5.7; 174; 0.0050
525; 5.9; 276; 0.0055
530; 6.0; 497; 0.0045
535; 6.4; 242; 0.0047
540; 6.2; 211; 0.0048
545; 6.6; 214; 0.0048
550; 7.0; 210; 0.0048
555; 6.8; 217; 0.0046
560; 6.8; 244; 0.0042
565; 6.8; 218; 0.0044
570; 6.9; 227; 0.0049
575; 7.4; 159; 0.0035
580; 7.1; 230; 0.0048
585; 7.3; 220; 0.0045
590; 7.5; 202; 0.0043
595; 7.3; 174; 0.0037
600; 7.4; 185; 0.0037
605; 7.2; 153; 0.0031
610; 7.6; 149; 0.0030
615; 7.4; 207; 0.0044
620; 7.4; 149; 0.0030
625; 7.2; 174; 0.0036
630; 7.3; 119; 0.0024
635; 7.8; 140; 0.0027
640; 7.9; 145; 0.0030
645; 7.6; 116; 0.0024
650; 7.5; 114; 0.0024
655; 7.6; 146; 0.0025
660; 7.8; 153; 0.0029
665; 7.8; 133; 0.0027
670; 7.6; 95; 0.0018
675; 7.4; 96; 0.0020
680; 7.2; 96; 0.0018
685; 7.6; 83; 0.0015
690; 7.7; 74; 0.0013
695; 7.8; 90; 0.0018
700; 7.6; 45; 0.0013
