Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:35:07
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;211;43;;;24.5;17.480;0.017;1.789;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.6; 0; 0.0004
5; 0.2; 17; 0.0004
10; 10.6; 0; 0.0023
15; 123.2; 43; 0.0038
20; 201.1; 16; 0.0029
25; 186.5; 70; 0.0095
30; 164.5; 147; 0.0138
35; 154.7; 145; 0.0133
40; 189.1; 152; 0.0164
45; 211.4; 145; 0.0170
50; 183.7; 165; 0.0162
55; 132.3; 150; 0.0097
60; 93.0; 8; 0.0004
65; 72.0; 0; 0.0000
70; 61.6; 0; 0.0000
75; 56.3; 0; 0.0000
80; 53.4; 0; 0.0000
85; 50.8; 0; 0.0000
90; 48.7; 0; 0.0000
95; 46.9; 0; 0.0000
100; 45.1; 0; 0.0000
105; 43.1; 0; 0.0000
110; 42.5; 0; 0.0000
115; 41.7; 0; 0.0000
120; 36.4; 0; 0.0000
125; 32.1; 7; 0.0002
130; 28.9; 0; 0.0000
135; 29.3; 0; 0.0000
140; 31.1; 0; 0.0000
145; 33.7; 11; 0.0003
150; 40.3; 2; 0.0001
155; 46.4; 0; 0.0000
160; 54.8; 1; 0.0001
165; 60.2; 12; 0.0005
170; 64.8; 9; 0.0004
175; 68.2; 11; 0.0005
180; 69.9; 13; 0.0006
185; 72.2; 25; 0.0011
190; 73.0; 32; 0.0014
195; 76.1; 31; 0.0014
200; 78.0; 35; 0.0016
205; 80.5; 36; 0.0017
210; 82.9; 38; 0.0018
215; 85.8; 36; 0.0017
220; 88.5; 43; 0.0020
225; 90.7; 58; 0.0030
230; 93.8; 75; 0.0037
235; 96.3; 72; 0.0038
240; 99.8; 79; 0.0042
245; 102.8; 112; 0.0060
250; 105.9; 114; 0.0062
255; 109.7; 130; 0.0069
260; 112.4; 130; 0.0073
265; 115.7; 134; 0.0078
270; 118.0; 139; 0.0084
275; 121.0; 186; 0.0102
280; 122.1; 161; 0.0094
285; 123.0; 162; 0.0096
290; 124.6; 170; 0.0096
295; 126.2; 161; 0.0097
300; 126.3; 172; 0.0098
305; 127.4; 177; 0.0107
310; 126.8; 190; 0.0101
315; 127.5; 207; 0.0100
320; 126.7; 176; 0.0098
325; 125.0; 157; 0.0087
330; 123.4; 145; 0.0084
335; 120.8; 157; 0.0085
340; 117.0; 142; 0.0077
345; 114.8; 138; 0.0068
350; 111.6; 136; 0.0060
355; 108.5; 116; 0.0059
360; 103.8; 107; 0.0050
365; 99.9; 116; 0.0048
370; 94.9; 79; 0.0033
375; 89.1; 62; 0.0026
380; 83.0; 59; 0.0020
385; 77.5; 33; 0.0011
390; 72.8; 25; 0.0008
395; 68.2; 0; 0.0000
400; 63.2; 0; 0.0000
405; 60.0; 0; 0.0000
410; 56.4; 0; 0.0000
415; 54.0; 0; 0.0000
420; 51.3; 0; 0.0000
425; 48.9; 0; 0.0000
430; 46.3; 0; 0.0000
435; 44.1; 0; 0.0000
440; 42.5; 0; 0.0000
445; 41.2; 0; 0.0000
450; 39.2; 0; 0.0000
455; 37.4; 0; 0.0000
460; 35.6; 0; 0.0000
465; 34.4; 0; 0.0000
470; 32.9; 6; 0.0001
475; 31.5; 0; 0.0000
480; 29.9; 0; 0.0000
485; 28.3; 0; 0.0000
490; 27.2; 0; 0.0000
495; 25.6; 0; 0.0000
500; 24.4; 0; 0.0000
505; 23.4; 0; 0.0000
510; 21.9; 0; 0.0000
515; 20.6; 0; 0.0000
520; 19.4; 0; 0.0000
525; 17.9; 19; 0.0003
530; 16.4; 0; 0.0000
535; 14.8; 0; 0.0000
540; 13.0; 0; 0.0000
545; 12.1; 5; 0.0000
550; 11.0; 0; 0.0000
555; 10.0; 0; 0.0000
560; 9.0; 11; 0.0002
565; 8.8; 28; 0.0003
570; 8.6; 99; 0.0006
575; 7.6; 0; 0.0000
580; 7.4; 9; 0.0001
585; 7.3; 34; 0.0004
590; 7.3; 47; 0.0003
595; 7.9; 0; 0.0000
600; 8.6; 0; 0.0000
605; 9.6; 0; 0.0000
610; 10.9; 15; 0.0001
615; 11.0; 0; 0.0000
620; 10.2; 28; 0.0003
625; 10.7; 54; 0.0006
630; 14.2; 80; 0.0007
635; 15.6; 46; 0.0005
640; 13.2; 71; 0.0007
645; 12.0; 20; 0.0002
650; 10.0; 0; 0.0000
655; 6.2; 153; 0.0008
660; 3.9; 0; 0.0000
665; 2.6; 71; 0.0005
670; 1.8; 133; 0.0009
675; 1.3; 19; 0.0001
680; 1.4; 0; 0.0000
685; 1.1; 0; 0.0000
690; 0.6; 0; 0.0000
695; 0.7; 17; 0.0001
700; 1.1; 47; 0.0001
705; 1.2; 0; 0.0000
710; 0.7; 35; 0.0002
715; 1.1; 18; 0.0001
720; 0.5; 25; 0.0002
725; 0.6; 17; 0.0001
730; 0.5; 0; 0.0000
735; 0.0; 145; 0.0003
740; 0.5; 81; 0.0005
745; 1.0; 0; 0.0000
