Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR; Interliner: Kevlar;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:36:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;221;43;;;19.8;21.210;0.0199;1.669;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.2; 0; 0.0002
5; 2.8; 8; 0.0002
10; 13.4; 289; 0.0014
15; 129.8; 61; 0.0038
20; 210.5; 23; 0.0038
25; 209.9; 73; 0.0106
30; 221.5; 176; 0.0179
35; 219.2; 172; 0.0189
40; 219.1; 191; 0.0199
45; 190.9; 207; 0.0186
50; 146.2; 211; 0.0145
55; 116.0; 144; 0.0081
60; 105.3; 126; 0.0068
65; 101.9; 111; 0.0058
70; 99.9; 97; 0.0053
75; 98.6; 72; 0.0042
80; 96.6; 68; 0.0034
85; 93.9; 79; 0.0038
90; 91.3; 50; 0.0025
95; 89.3; 40; 0.0019
100; 85.8; 43; 0.0020
105; 80.8; 50; 0.0022
110; 73.2; 18; 0.0007
115; 67.5; 6; 0.0002
120; 62.8; 4; 0.0001
125; 58.8; 0; 0.0000
130; 55.4; 16; 0.0005
135; 53.6; 9; 0.0003
140; 53.0; 2; 0.0001
145; 53.9; 47; 0.0014
150; 55.6; 16; 0.0005
155; 57.6; 17; 0.0006
160; 60.1; 10; 0.0003
165; 61.5; 36; 0.0011
170; 61.0; 9; 0.0003
175; 60.4; 21; 0.0007
180; 58.9; 12; 0.0003
185; 57.5; 28; 0.0008
190; 58.2; 23; 0.0006
195; 61.7; 13; 0.0004
200; 68.4; 17; 0.0006
205; 76.5; 35; 0.0013
210; 84.9; 29; 0.0012
215; 93.6; 54; 0.0024
220; 103.9; 63; 0.0031
225; 113.3; 76; 0.0038
230; 123.2; 107; 0.0056
235; 130.1; 110; 0.0062
240; 136.4; 118; 0.0069
245; 141.1; 136; 0.0080
250; 143.9; 125; 0.0076
255; 146.6; 129; 0.0082
260; 146.6; 134; 0.0078
265; 145.6; 134; 0.0074
270; 143.1; 107; 0.0062
275; 139.7; 104; 0.0059
280; 133.9; 100; 0.0053
285; 129.1; 84; 0.0042
290; 123.2; 74; 0.0034
295; 117.1; 66; 0.0029
300; 110.3; 54; 0.0023
305; 104.0; 56; 0.0023
310; 97.7; 52; 0.0022
315; 91.1; 33; 0.0012
320; 85.7; 33; 0.0010
325; 81.1; 30; 0.0009
330; 77.5; 23; 0.0007
335; 73.1; 47; 0.0012
340; 69.0; 24; 0.0008
345; 65.1; 44; 0.0011
350; 61.2; 44; 0.0008
355; 57.5; 46; 0.0011
360; 55.1; 22; 0.0004
365; 52.4; 30; 0.0006
370; 49.4; 43; 0.0008
375; 47.6; 27; 0.0005
380; 45.4; 19; 0.0003
385; 42.6; 7; 0.0001
390; 39.7; 47; 0.0007
395; 37.2; 41; 0.0007
400; 34.2; 29; 0.0004
405; 31.5; 85; 0.0010
410; 29.3; 17; 0.0002
415; 26.8; 22; 0.0002
420; 24.4; 57; 0.0005
425; 22.6; 107; 0.0009
430; 19.2; 88; 0.0008
435; 16.3; 29; 0.0002
440; 14.9; 85; 0.0006
445; 14.5; 135; 0.0009
450; 14.2; 5; 0.0000
455; 14.5; 94; 0.0006
460; 14.3; 54; 0.0004
465; 14.3; 0; 0.0000
470; 14.6; 50; 0.0004
475; 14.3; 78; 0.0005
480; 14.3; 154; 0.0010
485; 14.5; 45; 0.0003
490; 14.4; 136; 0.0008
495; 14.4; 103; 0.0008
500; 14.1; 41; 0.0003
505; 14.4; 38; 0.0002
510; 14.6; 135; 0.0008
515; 14.7; 55; 0.0007
520; 15.0; 86; 0.0008
525; 15.1; 147; 0.0010
530; 15.2; 137; 0.0014
535; 15.2; 240; 0.0017
540; 15.1; 206; 0.0017
545; 15.2; 143; 0.0018
550; 15.9; 421; 0.0023
555; 16.0; 458; 0.0018
560; 16.4; 207; 0.0018
565; 16.4; 242; 0.0019
570; 16.5; 103; 0.0012
575; 16.7; 112; 0.0012
580; 17.1; 95; 0.0010
585; 17.6; 138; 0.0016
590; 17.1; 168; 0.0016
595; 17.1; 167; 0.0015
600; 17.1; 139; 0.0014
605; 17.5; 200; 0.0014
610; 17.9; 129; 0.0012
615; 17.7; 43; 0.0006
620; 17.9; 114; 0.0010
625; 17.8; 140; 0.0010
630; 17.7; 92; 0.0008
635; 17.5; 60; 0.0006
640; 17.3; 71; 0.0007
645; 17.1; 97; 0.0008
650; 17.6; 81; 0.0006
655; 17.6; 57; 0.0006
660; 17.2; 75; 0.0008
665; 16.7; 71; 0.0004
670; 16.4; 68; 0.0003
675; 16.6; 63; 0.0006
680; 16.4; 41; 0.0004
685; 16.3; 275; 0.0009
690; 16.0; 40; 0.0005
