Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR; Interliner: Polyester Wadding;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:39:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;247;41;;;21.9;18.210;0.0515;5.2195;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.5; 0; 0.0000
5; 0.1; 0; 0.0000
10; 0.0; 114; 0.0011
15; 97.3; 262; 0.0029
20; 219.4; 21; 0.0022
25; 189.9; 30; 0.0053
30; 144.2; 390; 0.0515
35; 134.4; 289; 0.0307
40; 140.5; 274; 0.0304
45; 152.3; 252; 0.0288
50; 161.9; 201; 0.0240
55; 170.2; 192; 0.0240
60; 172.6; 199; 0.0258
65; 169.4; 186; 0.0251
70; 170.1; 184; 0.0236
75; 173.6; 196; 0.0238
80; 166.3; 208; 0.0248
85; 156.6; 203; 0.0232
90; 154.0; 229; 0.0234
95; 153.3; 243; 0.0224
100; 149.8; 285; 0.0257
105; 158.2; 269; 0.0255
110; 174.0; 305; 0.0298
115; 192.9; 355; 0.0360
120; 213.4; 347; 0.0386
125; 227.8; 348; 0.0382
130; 225.6; 338; 0.0376
135; 230.8; 325; 0.0356
140; 229.1; 313; 0.0331
145; 244.3; 318; 0.0329
150; 247.3; 344; 0.0366
155; 238.1; 313; 0.0357
160; 235.5; 307; 0.0324
165; 223.8; 341; 0.0333
170; 218.1; 298; 0.0274
175; 205.3; 286; 0.0244
180; 199.4; 258; 0.0211
185; 192.4; 235; 0.0195
190; 184.1; 221; 0.0165
195; 177.7; 222; 0.0159
200; 171.1; 196; 0.0147
205; 158.3; 212; 0.0137
210; 142.9; 187; 0.0107
215; 125.6; 131; 0.0073
220; 105.9; 125; 0.0056
225; 85.9; 83; 0.0027
230; 68.7; 0; 0.0000
235; 55.8; 0; 0.0000
240; 44.2; 0; 0.0000
245; 34.7; 0; 0.0000
250; 28.3; 0; 0.0000
255; 22.0; 0; 0.0000
260; 16.9; 0; 0.0000
265; 12.9; 0; 0.0000
270; 10.7; 0; 0.0000
275; 9.6; 0; 0.0000
280; 8.6; 0; 0.0000
285; 8.7; 0; 0.0000
290; 8.2; 0; 0.0000
295; 8.1; 0; 0.0000
300; 7.5; 0; 0.0000
305; 7.2; 0; 0.0000
310; 6.9; 0; 0.0000
315; 6.7; 0; 0.0000
320; 6.2; 0; 0.0000
325; 5.9; 0; 0.0000
330; 5.6; 0; 0.0000
335; 4.9; 0; 0.0000
340; 4.9; 0; 0.0000
345; 4.4; 0; 0.0000
350; 4.2; 0; 0.0000
355; 4.1; 0; 0.0000
360; 4.0; 0; 0.0000
365; 4.1; 0; 0.0000
370; 3.9; 0; 0.0000
375; 3.5; 0; 0.0000
380; 3.3; 0; 0.0000
385; 3.6; 0; 0.0000
390; 3.3; 0; 0.0000
395; 3.4; 0; 0.0000
400; 3.2; 0; 0.0000
405; 3.3; 0; 0.0000
410; 3.4; 0; 0.0000
415; 3.6; 0; 0.0000
420; 3.5; 0; 0.0000
425; 3.9; 0; 0.0000
430; 3.8; 0; 0.0000
435; 4.2; 0; 0.0000
440; 4.3; 0; 0.0000
445; 4.4; 0; 0.0000
450; 4.8; 0; 0.0000
455; 4.0; 0; 0.0000
460; 4.1; 0; 0.0000
465; 4.4; 0; 0.0000
470; 4.5; 54; 0.0004
475; 4.2; 0; 0.0000
480; 3.7; 0; 0.0000
485; 4.0; 0; 0.0000
490; 4.1; 0; 0.0000
495; 4.1; 0; 0.0000
500; 3.9; 0; 0.0000
505; 3.9; 0; 0.0000
510; 4.1; 0; 0.0000
