Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Cotton FR; ;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:42:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;302;42;;;19.7;21.060;0.0319;3.622;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0008
5; 0.0; 60; 0.0008
10; 51.7; 760; 0.0043
15; 198.5; 38; 0.0045
20; 239.4; 22; 0.0043
25; 211.5; 201; 0.0266
30; 188.5; 295; 0.0317
35; 172.6; 312; 0.0304
40; 169.6; 318; 0.0319
45; 173.7; 278; 0.0290
50; 181.6; 297; 0.0314
55; 186.6; 278; 0.0300
60; 191.9; 274; 0.0310
65; 195.7; 250; 0.0287
70; 186.0; 233; 0.0250
75; 177.2; 215; 0.0208
80; 169.9; 243; 0.0211
85; 172.1; 208; 0.0185
90; 193.2; 240; 0.0253
95; 224.8; 253; 0.0298
100; 248.9; 218; 0.0269
105; 262.2; 194; 0.0238
110; 281.8; 190; 0.0233
115; 297.5; 175; 0.0225
120; 301.8; 191; 0.0242
125; 296.9; 197; 0.0233
130; 291.6; 184; 0.0216
135; 287.1; 177; 0.0211
140; 274.0; 163; 0.0188
145; 259.3; 173; 0.0172
150; 244.0; 197; 0.0168
155; 232.1; 146; 0.0137
160; 218.3; 145; 0.0127
165; 194.8; 127; 0.0090
170; 164.9; 99; 0.0063
175; 138.8; 50; 0.0025
180; 121.4; 63; 0.0021
185; 106.1; 24; 0.0009
190; 91.3; 11; 0.0004
195; 79.3; 2; 0.0001
200; 68.5; 17; 0.0004
205; 61.6; 1; 0.0000
210; 57.3; 0; 0.0000
215; 52.7; 0; 0.0000
220; 48.5; 7; 0.0001
225; 43.3; 0; 0.0000
230; 35.9; 9; 0.0001
235; 31.0; 0; 0.0000
240; 27.0; 0; 0.0000
245; 23.6; 68; 0.0003
250; 22.4; 4; 0.0000
255; 22.6; 0; 0.0000
260; 22.3; 0; 0.0000
265; 22.7; 0; 0.0000
270; 22.3; 0; 0.0000
275; 21.8; 0; 0.0000
280; 21.3; 0; 0.0000
285; 19.7; 0; 0.0000
290; 18.9; 0; 0.0000
295; 18.1; 0; 0.0000
300; 16.5; 0; 0.0000
305; 15.3; 0; 0.0000
310; 13.2; 0; 0.0000
315; 12.4; 0; 0.0000
320; 10.7; 0; 0.0000
325; 9.7; 7; 0.0000
330; 7.8; 0; 0.0000
335; 7.0; 0; 0.0000
340; 6.0; 0; 0.0000
345; 4.5; 102; 0.0002
350; 3.8; 0; 0.0000
355; 2.2; 0; 0.0000
360; 1.3; 317; 0.0007
365; 0.1; 189; 0.0005
370; 0.0; 76; 0.0004
375; 0.0; 0; 0.0005
380; 0.0; 0; 0.0010
385; 0.0; 393; 0.0008
390; 0.0; 0; 0.0004
395; 0.0; 0; 0.0006
400; 0.0; 0; 0.0005
405; 0.0; 103; 0.0001
410; 0.0; 304; 0.0005
415; 0.0; 0; 0.0004
420; 0.0; 0; 0.0002
425; 0.0; 150; 0.0005
430; 0.0; 0; 0.0005
435; 0.0; 0; 0.0007
440; 0.0; 0; 0.0003
445; 0.0; 90; 0.0001
450; 0.0; 94; 0.0002
455; 0.0; 0; 0.0003
460; 0.0; 0; 0.0001
465; 0.0; 114; 0.0003
470; 0.0; 0; 0.0000
475; 0.0; 0; 0.0002
480; 0.0; 0; 0.0001
485; 0.0; 0; 0.0003
