Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester; Interliner: Polyester Wadding/Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:45:02
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;136;38;;;21.3;17.010;0.0474;2.2305;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.3; 0; 0.0007
5; 1.6; 96; 0.0007
10; 0.0; 59; 0.0003
15; 0.0; 230; 0.0007
20; 0.0; 0; 0.0019
25; 0.0; 397; 0.0038
30; 44.8; 0; 0.0055
35; 109.5; 979; 0.0319
40; 136.5; 438; 0.0474
45; 136.4; 456; 0.0461
50; 127.8; 361; 0.0364
55; 117.3; 312; 0.0256
60; 107.5; 322; 0.0195
65; 98.2; 191; 0.0109
70; 91.5; 121; 0.0072
75; 88.9; 88; 0.0055
80; 87.6; 89; 0.0056
85; 87.5; 89; 0.0056
90; 88.3; 93; 0.0058
95; 87.9; 106; 0.0060
100; 91.4; 94; 0.0056
105; 93.4; 132; 0.0090
110; 92.7; 120; 0.0081
115; 88.1; 117; 0.0075
120; 82.1; 75; 0.0044
125; 76.7; 76; 0.0037
130; 70.7; 54; 0.0026
135; 64.9; 23; 0.0012
140; 60.2; 35; 0.0016
145; 55.2; 30; 0.0012
150; 51.6; 38; 0.0012
155; 50.2; 45; 0.0014
160; 47.5; 31; 0.0010
165; 44.5; 39; 0.0012
170; 42.2; 61; 0.0019
175; 41.3; 40; 0.0010
180; 39.7; 40; 0.0009
185; 37.2; 27; 0.0008
190; 35.8; 55; 0.0014
195; 35.9; 28; 0.0006
200; 37.1; 28; 0.0007
205; 38.6; 15; 0.0004
210; 39.7; 43; 0.0011
215; 43.0; 7; 0.0002
220; 46.7; 28; 0.0007
225; 50.7; 28; 0.0008
230; 53.1; 23; 0.0007
235; 55.7; 22; 0.0007
240; 57.5; 16; 0.0005
245; 58.7; 50; 0.0016
250; 59.6; 24; 0.0008
255; 59.9; 57; 0.0019
260; 59.4; 54; 0.0017
265; 59.7; 30; 0.0009
270; 58.8; 65; 0.0020
275; 58.0; 79; 0.0024
280; 55.8; 59; 0.0017
285; 53.6; 59; 0.0017
290; 51.7; 54; 0.0015
295; 50.1; 42; 0.0013
300; 49.5; 41; 0.0011
305; 48.7; 48; 0.0010
310; 48.5; 10; 0.0002
315; 47.7; 10; 0.0002
320; 47.3; 26; 0.0007
325; 47.7; 15; 0.0003
330; 48.8; 53; 0.0016
335; 49.5; 22; 0.0006
340; 49.5; 24; 0.0005
345; 50.2; 15; 0.0005
350; 51.3; 34; 0.0009
355; 51.9; 72; 0.0017
360; 53.1; 57; 0.0016
365; 54.3; 24; 0.0007
370; 54.9; 68; 0.0019
375; 55.5; 61; 0.0018
380; 56.3; 44; 0.0012
385; 56.1; 74; 0.0022
390; 56.2; 40; 0.0012
395; 56.1; 78; 0.0021
400; 56.0; 57; 0.0016
405; 55.5; 63; 0.0018
410; 55.1; 58; 0.0015
415; 54.7; 80; 0.0019
420; 53.8; 61; 0.0017
425; 53.9; 58; 0.0016
430; 53.8; 70; 0.0017
435; 53.1; 71; 0.0021
440; 52.6; 42; 0.0012
445; 51.7; 67; 0.0016
450; 50.0; 80; 0.0018
455; 50.2; 72; 0.0017
460; 50.6; 67; 0.0020
465; 49.6; 77; 0.0019
470; 49.2; 78; 0.0016
475; 49.1; 60; 0.0013
480; 48.6; 62; 0.0014
485; 47.8; 53; 0.0012
490; 46.4; 64; 0.0016
495; 45.2; 68; 0.0016
500; 44.1; 71; 0.0015
505; 43.3; 66; 0.0015
510; 43.0; 85; 0.0018
515; 42.5; 63; 0.0014
520; 41.6; 88; 0.0018
525; 41.7; 57; 0.0012
530; 40.2; 51; 0.0010
535; 38.8; 45; 0.0009
540; 38.5; 59; 0.0012
545; 37.6; 52; 0.0010
550; 35.3; 97; 0.0018
555; 33.7; 69; 0.0012
560; 31.9; 72; 0.0013
565; 30.5; 89; 0.0014
570; 30.0; 60; 0.0009
575; 29.6; 17; 0.0003
580; 28.3; 20; 0.0003
585; 27.8; 12; 0.0002
590; 27.2; 13; 0.0002
595; 26.4; 52; 0.0008
